Order,Welcome__Mouse.x,Welcome__Mouse.y,Welcome__Mouse.leftButton,Welcome__Mouse.midButton,Welcome__Mouse.rightButton,Welcome__Mouse.time,Welcome__Mouse.clicked_name,GenIns__Mouse.x,GenIns__Mouse.y,GenIns__Mouse.leftButton,GenIns__Mouse.midButton,GenIns__Mouse.rightButton,GenIns__Mouse.time,GenIns__Mouse.clicked_name,Welcome__Repeat__Loop.thisRepN,Welcome__Repeat__Loop.thisTrialN,Welcome__Repeat__Loop.thisN,Welcome__Repeat__Loop.thisIndex,Welcome__Repeat__Loop.ran,Welcome__Repeat__Loop.order,date,expName,psychopyVersion,frameRate,Prolific_ID,Age,Gender,EnglishFirstLang,Ethnicity,EthnicityOther,UsingMac,RetinaScreen,B1__DoYouUnderstand,B1NamFam__Mouse.x,B1NamFam__Mouse.y,B1NamFam__Mouse.leftButton,B1NamFam__Mouse.midButton,B1NamFam__Mouse.rightButton,B1NamFam__Mouse.time,B1NamFam__Mouse.clicked_name,B1NamFam__Mouse2.x,B1NamFam__Mouse2.y,B1NamFam__Mouse2.leftButton,B1NamFam__Mouse2.midButton,B1NamFam__Mouse2.rightButton,B1NamFam__Mouse2.time,B1NamFam__Mouse2.clicked_name,Naming_RT,Naming_Response,NamResp__Mouse.x,NamResp__Mouse.y,NamResp__Mouse.leftButton,NamResp__Mouse.midButton,NamResp__Mouse.rightButton,NamResp__Mouse.time,NamResp__Mouse.clicked_name,Familiarity,FamResp__Mouse.x,FamResp__Mouse.y,FamResp__Mouse.leftButton,FamResp__Mouse.midButton,FamResp__Mouse.rightButton,FamResp__Mouse.time,FamResp__Mouse.clicked_name,Block1__Nam__Fam__Loop.thisRepN,Block1__Nam__Fam__Loop.thisTrialN,Block1__Nam__Fam__Loop.thisN,Block1__Nam__Fam__Loop.thisIndex,Block1__Nam__Fam__Loop.ran,Block1__Nam__Fam__Loop.order,B1NamFam.thisRepN,B1NamFam.thisTrialN,B1NamFam.thisN,B1NamFam.thisIndex,B1NamFam.ran,B1NamFam.order,images6,words,colourorgreyscale,vccdbackground,CompleteB1__Mouse.x,CompleteB1__Mouse.y,CompleteB1__Mouse.leftButton,CompleteB1__Mouse.midButton,CompleteB1__Mouse.rightButton,CompleteB1__Mouse.time,CompleteB1__Mouse.clicked_name,B2__DoYouUnderstand,B2VCCD__Mouse.x,B2VCCD__Mouse.y,B2VCCD__Mouse.leftButton,B2VCCD__Mouse.midButton,B2VCCD__Mouse.rightButton,B2VCCD__Mouse.time,B2VCCD__Mouse.clicked_name,B2VCCD__Mouse2.x,B2VCCD__Mouse2.y,B2VCCD__Mouse2.leftButton,B2VCCD__Mouse2.midButton,B2VCCD__Mouse2.rightButton,B2VCCD__Mouse2.time,B2VCCD__Mouse2.clicked_name,VisualComplexity,VisCom__Mouse.x,VisCom__Mouse.y,VisCom__Mouse.leftButton,VisCom__Mouse.midButton,VisCom__Mouse.rightButton,VisCom__Mouse.time,VisCom__Mouse.clicked_name,Block2__VisCom__ColDia__Loop.thisRepN,Block2__VisCom__ColDia__Loop.thisTrialN,Block2__VisCom__ColDia__Loop.thisN,Block2__VisCom__ColDia__Loop.thisIndex,Block2__VisCom__ColDia__Loop.ran,Block2__VisCom__ColDia__Loop.order,B2VCCD.thisRepN,B2VCCD.thisTrialN,B2VCCD.thisN,B2VCCD.thisIndex,B2VCCD.ran,B2VCCD.order,ColourDiagnosticity,ColDia__Mouse.x,ColDia__Mouse.y,ColDia__Mouse.leftButton,ColDia__Mouse.midButton,ColDia__Mouse.rightButton,ColDia__Mouse.time,ColDia__Mouse.clicked_name,B2__ColDiaLoop.thisRepN,B2__ColDiaLoop.thisTrialN,B2__ColDiaLoop.thisN,B2__ColDiaLoop.thisIndex,B2__ColDiaLoop.ran,B2__ColDiaLoop.order,CompleteB2__Mouse.x,CompleteB2__Mouse.y,CompleteB2__Mouse.leftButton,CompleteB2__Mouse.midButton,CompleteB2__Mouse.rightButton,CompleteB2__Mouse.time,CompleteB2__Mouse.clicked_name,B3__DoYouUnderstand,B3MenIma__Mouse.x,B3MenIma__Mouse.y,B3MenIma__Mouse.leftButton,B3MenIma__Mouse.midButton,B3MenIma__Mouse.rightButton,B3MenIma__Mouse.time,B3MenIma__Mouse.clicked_name,B3MenIma__Mouse2.x,B3MenIma__Mouse2.y,B3MenIma__Mouse2.leftButton,B3MenIma__Mouse2.midButton,B3MenIma__Mouse2.rightButton,B3MenIma__Mouse2.time,B3MenIma__Mouse2.clicked_name,MentalImageryAgreement,MenIma__Mouse.x,MenIma__Mouse.y,MenIma__Mouse.leftButton,MenIma__Mouse.midButton,MenIma__Mouse.rightButton,MenIma__Mouse.time,MenIma__Mouse.clicked_name,Block3__Mental__Imagery__Loop.thisRepN,Block3__Mental__Imagery__Loop.thisTrialN,Block3__Mental__Imagery__Loop.thisN,Block3__Mental__Imagery__Loop.thisIndex,Block3__Mental__Imagery__Loop.ran,Block3__Mental__Imagery__Loop.order,Block3__MenIma__RespLoop.thisRepN,Block3__MenIma__RespLoop.thisTrialN,Block3__MenIma__RespLoop.thisN,Block3__MenIma__RespLoop.thisIndex,Block3__MenIma__RespLoop.ran,Block3__MenIma__RespLoop.order,DidYouHearBeep,Debrief_Comments,Debrief__Mouse.x,Debrief__Mouse.y,Debrief__Mouse.leftButton,Debrief__Mouse.midButton,Debrief__Mouse.rightButton,Debrief__Mouse.time,Debrief__Mouse.clicked_name,Debrief__Mouse2.x,Debrief__Mouse2.y,Debrief__Mouse2.leftButton,Debrief__Mouse2.midButton,Debrief__Mouse2.rightButton,Debrief__Mouse2.time,Debrief__Mouse2.clicked_name
A,"[0.2630208333333333,0.7018229166666666]","[-0.33203125,0.42578125]","[1,1]","[0,0]","[0,0]","[7.317000000000007,11.543000000000006]","[""Welcome__Next""]","[0.4973958333333333,0.72265625]","[-0.21875,0.4348958333333333]","[1,1]","[0,0]","[0,0]","[20.483999999999995,47.282]","[""GenIns__Next""]",20,0,20,0,1,19,2019-08-31_17h47.08.299,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,5cd942fdcc98b20019852b50,54,Female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,No - I am using another type of computer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-08-31_17h47.08.299,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,5cd942fdcc98b20019852b50,54,Female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,No - I am using another type of computer.,,Yes,"[-0.4947916666666667,-0.06901041666666667]","[-0.4466145833333333,-0.43359375]","[1,1]","[0,0]","[0,0]","[2.673000000000002,84.003]","[""B1NamFam__Yes""]",[0.70703125],[0.4244791666666667],[1],[0],[0],[92.55900000000001],"[""B1NamFam__Begin""]",6.266,Deer,[0.6796875],[-0.26953125],[1],[0],[0],[9.738],"[""NamResp__Next""]",Fam_5,[0.4921875],[-0.33984375],[1],[0],[0],[2.0410000000000252],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,12,1,43,images/stimuli/photos/deer3-photo-grey.png,images/stimuli/words/deer.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-08-31_17h47.08.299,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,5cd942fdcc98b20019852b50,54,Female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,No - I am using another type of computer.,,,,,,,,,,,,,,,,,5.473,Lamp,[0.6796875],[-0.2786458333333333],[1],[0],[0],[7.6370000000000005],"[""NamResp__Next""]",Fam_5,[0.48828125],[-0.3307291666666667],[1],[0],[0],[1.0300000000000011],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,21,1,43,images/stimuli/photos/lamp3-photo-colour.png,images/stimuli/words/lamp.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-08-31_17h47.08.299,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,5cd942fdcc98b20019852b50,54,Female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,No - I am using another type of computer.,,,,,,,,,,,,,,,,,11.321,waistcoat,"[-0.07552083333333333,0.6861979166666666]","[-0.1796875,-0.2799479166666667]","[1,1]","[0,0]","[0,0]","[11.14100000000002,13.152000000000015]","[""NamResp__Next""]",Fam_5,[0.4752604166666667],[-0.3411458333333333],[1],[0],[0],[1.33299999999997],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,43,1,43,images/stimuli/photos/vest3-photo-grey.png,images/stimuli/words/vest.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-08-31_17h47.08.299,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,5cd942fdcc98b20019852b50,54,Female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,No - I am using another type of computer.,,,,,,,,,,,,,,,,,3.494,Pear,[0.671875],[-0.25390625],[1],[0],[0],[5.170999999999992],"[""NamResp__Next""]",Fam_5,[0.5091145833333334],[-0.32421875],[1],[0],[0],[1.586999999999989],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,31,1,43,images/stimuli/photos/pear3-photo-colour.png,images/stimuli/words/pear.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-08-31_17h47.08.299,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,5cd942fdcc98b20019852b50,54,Female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,No - I am using another type of computer.,,,,,,,,,,,,,,,,,4.594,Sheep,[0.69921875],[-0.2669270833333333],[1],[0],[0],[6.539999999999964],"[""NamResp__Next""]",Fam_5,[0.5013020833333334],[-0.3385416666666667],[1],[0],[0],[1.5750000000000455],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,36,1,43,images/stimuli/photos/sheep3-photo-grey.png,images/stimuli/words/sheep.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-08-31_17h47.08.299,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,5cd942fdcc98b20019852b50,54,Female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,No - I am using another type of computer.,,,,,,,,,,,,,,,,,3.195,Lion,[0.6640625],[-0.2604166666666667],[1],[0],[0],[5.0049999999999955],"[""NamResp__Next""]",Fam_5,[0.5104166666666666],[-0.3372395833333333],[1],[0],[0],[0.7460000000000377],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,23,1,43,images/stimuli/photos/lion3-photo-grey.png,images/stimuli/words/lion.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-08-31_17h47.08.299,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,5cd942fdcc98b20019852b50,54,Female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,No - I am using another type of computer.,,,,,,,,,,,,,,,,,11.788,Lockandkey,[0.69921875],[-0.26953125],[1],[0],[0],[17.34699999999998],"[""NamResp__Next""]",Fam_5,[0.4869791666666667],[-0.3307291666666667],[1],[0],[0],[1.2989999999999782],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,25,1,43,images/stimuli/photos/lock3-photo-colour.png,images/stimuli/words/lock.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-08-31_17h47.08.299,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,5cd942fdcc98b20019852b50,54,Female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,No - I am using another type of computer.,,,,,,,,,,,,,,,,,8.517,cannon,[0.6809895833333334],[-0.2682291666666667],[1],[0],[0],[10.185999999999979],"[""NamResp__Next""]",Fam_4,[0.3216145833333333],[-0.3385416666666667],[1],[0],[0],[1.0979999999999563],"[""Fam__4""]",1,0,1,0,1,0,1,0,44,8,1,43,images/stimuli/photos/cannon3-photo-grey.png,images/stimuli/words/cannon.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-08-31_17h47.08.299,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,5cd942fdcc98b20019852b50,54,Female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,No - I am using another type of computer.,,,,,,,,,,,,,,,,,4.31,snowman,[0.6796875],[-0.2643229166666667],[1],[0],[0],[5.712999999999965],"[""NamResp__Next""]",Fam_5,[0.4934895833333333],[-0.3463541666666667],[1],[0],[0],[0.5660000000000309],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,39,1,43,images/stimuli/photos/snowman3-photo-grey.png,images/stimuli/words/snowman.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
