Welcome__Mouse.x,Welcome__Mouse.y,Welcome__Mouse.leftButton,Welcome__Mouse.midButton,Welcome__Mouse.rightButton,Welcome__Mouse.time,Welcome__Mouse.clicked_name,GenIns__Mouse.x,GenIns__Mouse.y,GenIns__Mouse.leftButton,GenIns__Mouse.midButton,GenIns__Mouse.rightButton,GenIns__Mouse.time,GenIns__Mouse.clicked_name,date,expName,psychopyVersion,OS,frameRate,B1__DoYouUnderstand,B1VCCD__Mouse.x,B1VCCD__Mouse.y,B1VCCD__Mouse.leftButton,B1VCCD__Mouse.midButton,B1VCCD__Mouse.rightButton,B1VCCD__Mouse.time,B1VCCD__Mouse.clicked_name,B1VCCD__Mouse2.x,B1VCCD__Mouse2.y,B1VCCD__Mouse2.leftButton,B1VCCD__Mouse2.midButton,B1VCCD__Mouse2.rightButton,B1VCCD__Mouse2.time,B1VCCD__Mouse2.clicked_name,VisualComplexity,images6,VisCom__Mouse.x,VisCom__Mouse.y,VisCom__Mouse.leftButton,VisCom__Mouse.midButton,VisCom__Mouse.rightButton,VisCom__Mouse.time,VisCom__Mouse.clicked_name,ColourDiagnosticity,ColDia__Mouse.x,ColDia__Mouse.y,ColDia__Mouse.leftButton,ColDia__Mouse.midButton,ColDia__Mouse.rightButton,ColDia__Mouse.time,ColDia__Mouse.clicked_name
[0.697328869047619],[0.44502604166666665],[1],[0],[0],[1.5869998931884766],"[""Welcome__Next""]",[0.6975855654761904],[0.4426971726190476],[1],[0],[0],[1.5820000171661377],"[""GenIns__Next""]",2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,Yes,[-0.06469866071428572],[-0.4177715773809524],[1],[0],[0],[1.7079999446868896],"[""B1VCCD__Yes""]","[0.12444568452380952,0.7281696428571428]","[-0.4576264880952381,0.4324813988095238]","[1,1]","[0,0]","[0,0]","[2.124000072479248,3.075000047683716]","[""B1VCCD__Begin""]",VisCom_1,images/stimuli/photos/seal3-photo-grey.png,[-0.13593377976190477],[-0.1659375],[1],[0],[0],[0.8029999732971191],"[""VisCom__1""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_1,images/stimuli/photos/kettle3-photo-colour.png,[-0.08748883928571428],[-0.15360119047619047],[1],[0],[0],[1.6150000095367432],"[""VisCom__1""]",ColDia_1,[-0.11516741071428571],[-0.3247061011904762],[1],[0],[0],[1.3469998836517334],"[""ColDia__1""]"
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_2,images/stimuli/photos/basket3-photo-colour.png,[0.008422619047619047],[-0.17351190476190476],[1],[0],[0],[0.33099985122680664],"[""VisCom__2""]",ColDia_2,[0.03180059523809524],[-0.32481770833333334],[1],[0],[0],[0.6820001602172852],"[""ColDia__2""]"
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_2,images/stimuli/photos/vest3-photo-grey.png,"[0.02993675595238095,0.02603050595238095]","[-0.12833705357142858,-0.14890252976190477]","[1,1]","[0,0]","[0,0]","[0.5319998264312744,0.8320000171661377]","[""VisCom__2""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_3,images/stimuli/photos/crown3-photo-colour.png,[0.1439174107142857],[-0.14593005952380952],[1],[0],[0],[0.3470001220703125],"[""VisCom__3""]",ColDia_3,[0.18642857142857142],[-0.3261793154761905],[1],[0],[0],[0.5659999847412109],"[""ColDia__3""]"
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_3,images/stimuli/photos/nail3-photo-colour.png,[0.17303943452380952],[-0.15590401785714286],[1],[0],[0],[0.3640000820159912],"[""VisCom__3""]",ColDia_3,[0.18626488095238095],[-0.3347284226190476],[1],[0],[0],[0.29799985885620117],"[""ColDia__3""]"
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_3,images/stimuli/photos/peacock3-photo-colour.png,[0.19317708333333333],[-0.16308779761904763],[1],[0],[0],[0.4460000991821289],"[""VisCom__3""]",ColDia_3,[0.19380580357142857],[-0.3183965773809524],[1],[0],[0],[0.27699995040893555],"[""ColDia__3""]"
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_3,images/stimuli/photos/rabbit3-photo-grey.png,[0.1869345238095238],[-0.16056919642857143],[1],[0],[0],[0.44899988174438477],"[""VisCom__3""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/doll3-photo-grey.png,[0.3121800595238095],[-0.1596391369047619],[1],[0],[0],[0.6960000991821289],"[""VisCom__4""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/iron3-photo-colour.png,[0.3121800595238095],[-0.1596391369047619],[1],[0],[0],[0.3320000171661377],"[""VisCom__4""]",ColDia_4,[0.3224181547619048],[-0.3252269345238095],[1],[0],[0],[0.3959999084472656],"[""ColDia__4""]"
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/pear3-photo-colour.png,[0.32990699404761903],[-0.16998139880952381],[1],[0],[0],[0.3990001678466797],"[""VisCom__4""]",ColDia_4,[0.3196391369047619],[-0.32299479166666667],[1],[0],[0],[0.3810000419616699],"[""ColDia__4""]"
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/apple3-photo-colour.png,[0.32816592261904765],[-0.17555803571428572],[1],[0],[0],[0.432999849319458],"[""VisCom__4""]",ColDia_4,[0.34651041666666665],[-0.34466145833333334],[1],[0],[0],[0.23000001907348633],"[""ColDia__4""]"
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/swing3-photo-colour.png,[0.3418526785714286],[-0.1482440476190476],[1],[0],[0],[0.5810000896453857],"[""VisCom__4""]",ColDia_4,[0.3453720238095238],[-0.3155208333333333],[1],[0],[0],[0.28100013732910156],"[""ColDia__4""]"
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/potato3-photo-colour.png,[0.34379464285714284],[-0.16889880952380953],[1],[0],[0],[0.4509999752044678],"[""VisCom__4""]",ColDia_4,"[0.33765997023809524,0.33672619047619046]","[-0.3590327380952381,-0.3257291666666667]","[1,1]","[0,0]","[0,0]","[0.24499988555908203,0.6459999084472656]","[""ColDia__4""]"
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/frog3-photo-grey.png,[0.3388913690476191],[-0.14916294642857142],[1],[0],[0],[0.4509999752044678],"[""VisCom__4""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h35.42.080,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,VisCom_5,images/stimuli/photos/snowman3-photo-grey.png,[0.48402901785714286],[-0.14985119047619047],[1],[0],[0],[0.5099999904632568],"[""VisCom__5""]",,,,,,,,
