Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1583233265954,03/03/2020 11:01:05,1583233265244,0,03/03/2020 11:01:05,10169,123,questionnaire-cnfv,,4070318,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1280x578,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1583233329517,03/03/2020 11:02:09,1583233328848,0,03/03/2020 11:02:08,10169,123,questionnaire-cnfv,,4070318,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,debrief_comments,the maths questions where all put on the end as answers so in the end you could use that as an base to make your answers take as litle effort as possable wich may distort the results
3,1583233329580,03/03/2020 11:02:09,1583233328851,0,03/03/2020 11:02:08,10169,123,questionnaire-cnfv,,4070318,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,63607
1,1583250009478,03/03/2020 15:40:09,1583249996979,0,03/03/2020 15:39:56,10169,123,questionnaire-cnfv,,4073309,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x657,Test_Checkpoint,Z. Debrief,13,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1583250035880,03/03/2020 15:40:35,1583250023396,0,03/03/2020 15:40:23,10169,123,questionnaire-cnfv,,4073309,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1349x657,Test_Checkpoint,Z. Debrief,13,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,debrief_comments,wake me up
3,1583250035958,03/03/2020 15:40:35,1583250023401,0,03/03/2020 15:40:23,10169,123,questionnaire-cnfv,,4073309,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1349x657,Test_Checkpoint,Z. Debrief,13,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,END QUESTIONNAIRE,26423
1,1583342427985,04/03/2020 17:20:27,1583342426985,0,04/03/2020 17:20:26,10169,123,questionnaire-cnfv,,4085194,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1440x818,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,BEGIN QUESTIONNAIRE,
2,1583342452676,04/03/2020 17:20:52,1583342450882,0,04/03/2020 17:20:50,10169,123,questionnaire-cnfv,,4085194,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1423x818,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,debrief_comments,.
3,1583342452863,04/03/2020 17:20:52,1583342450886,0,04/03/2020 17:20:50,10169,123,questionnaire-cnfv,,4085194,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1423x818,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,END QUESTIONNAIRE,23901
1,1583411130990,05/03/2020 12:25:30,1583411130806,0,05/03/2020 12:25:30,10169,123,questionnaire-cnfv,,4089679,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x625,Test_Checkpoint,Z. Debrief,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
