Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1583410177752,05/03/2020 12:09:37,1583410177585,0,05/03/2020 12:09:37,10169,123,questionnaire-k9m1,,4089547,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x625,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1583410187369,05/03/2020 12:09:47,1583410187241,0,05/03/2020 12:09:47,10169,123,questionnaire-k9m1,,4089547,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1349x625,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,9656
1,1583771880730,09/03/2020 16:38:00,1583771880672,0,09/03/2020 16:38:00,10169,123,questionnaire-k9m1,,4119315,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x937,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1583771914389,09/03/2020 16:38:34,1583771914336,0,09/03/2020 16:38:34,10169,123,questionnaire-k9m1,,4119315,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1903x937,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,33664
1,1583967540832,11/03/2020 22:59:00,1583967539614,0,11/03/2020 22:58:59,10169,123,questionnaire-k9m1,,4143311,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x757,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,BEGIN QUESTIONNAIRE,
2,1583967554665,11/03/2020 22:59:14,1583967553510,0,11/03/2020 22:59:13,10169,123,questionnaire-k9m1,,4143311,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1583x757,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,END QUESTIONNAIRE,13896
1,1584806350574,21/03/2020 15:59:10,1584806345499,0,21/03/2020 15:59:05,10169,123,questionnaire-k9m1,,4215455,13877,1192848,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,BEGIN QUESTIONNAIRE,
2,1584806374734,21/03/2020 15:59:34,1584806369719,0,21/03/2020 15:59:29,10169,123,questionnaire-k9m1,,4215455,13877,1192848,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1350x655,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,END QUESTIONNAIRE,24220
1,1585548134406,30/03/2020 06:02:14,1585548134231,8,30/03/2020 14:02:14,10169,123,questionnaire-k9m1,,4285205,13926,1215277,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x791,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1585548154472,30/03/2020 06:02:34,1585548154318,8,30/03/2020 14:02:34,10169,123,questionnaire-k9m1,,4285205,13926,1215277,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1520x791,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,20087
1,1585576272506,30/03/2020 13:51:12,1585576272547,1,30/03/2020 14:51:12,10169,123,questionnaire-k9m1,,4292997,13876,1216924,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1536x864,1536x754,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1585576415967,30/03/2020 13:53:35,1585576415812,1,30/03/2020 14:53:35,10169,123,questionnaire-k9m1,,4292997,13876,1216924,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1536x864,1519x754,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,143265
1,1585584559618,30/03/2020 16:09:19,1585584559169,1,30/03/2020 17:09:19,10169,123,questionnaire-k9m1,,4294601,13109,1217456,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.94.0,Chrome 80.0.3987.137,1366x768,1366x609,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1585584571134,30/03/2020 16:09:31,1585584570529,1,30/03/2020 17:09:30,10169,123,questionnaire-k9m1,,4294601,13109,1217456,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.94.0,Chrome 80.0.3987.137,1366x768,1366x609,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,11359
1,1585836941313,02/04/2020 14:15:41,1585836942581,1,02/04/2020 15:15:42,10169,123,questionnaire-k9m1,,4323755,13158,1227313,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1920x1080,1036x816,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1585836959088,02/04/2020 14:15:59,1585836960438,1,02/04/2020 15:16:00,10169,123,questionnaire-k9m1,,4323755,13158,1227313,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1920x1080,1036x816,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,17858
1,1585865811236,02/04/2020 22:16:51,1585865811482,1,02/04/2020 23:16:51,10169,123,questionnaire-k9m1,,4329105,13873,1229128,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1366x768,1366x625,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1585865822939,02/04/2020 22:17:02,1585865823242,1,02/04/2020 23:17:03,10169,123,questionnaire-k9m1,,4329105,13873,1229128,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1366x768,1349x625,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,11760
END OF FILE
