Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1583849082625,10/03/2020 14:04:42,1583849082527,0,10/03/2020 14:04:42,10169,123,questionnaire-kpni,,4125962,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x629,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,BEGIN QUESTIONNAIRE,
2,1583849107459,10/03/2020 14:05:07,1583849107419,0,10/03/2020 14:05:07,10169,123,questionnaire-kpni,,4125962,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x629,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,END QUESTIONNAIRE,24892
1,1584306507848,15/03/2020 21:08:27,1584306507749,0,15/03/2020 21:08:27,10169,123,questionnaire-kpni,,4170357,14108,1180214,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.5,1280x800,1280x800,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,BEGIN QUESTIONNAIRE,
2,1584306678948,15/03/2020 21:11:18,1584306678831,0,15/03/2020 21:11:18,10169,123,questionnaire-kpni,,4170357,14108,1180214,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.5,1280x800,1280x800,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,END QUESTIONNAIRE,171082
1,1584321743530,16/03/2020 01:22:23,1584321743486,0,16/03/2020 01:22:23,10169,123,questionnaire-kpni,,4172145,14128,1180685,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 80.0.3987.132,1680x1050,1680x939,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,BEGIN QUESTIONNAIRE,
2,1584321788233,16/03/2020 01:23:08,1584321788178,0,16/03/2020 01:23:08,10169,123,questionnaire-kpni,,4172145,14128,1180685,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 80.0.3987.132,1680x1050,1680x939,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,END QUESTIONNAIRE,44692
1,1584739310214,20/03/2020 21:21:50,1584739311160,0,20/03/2020 21:21:51,10169,123,questionnaire-kpni,,4212577,14070,1191704,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1280x720,1280x610,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,BEGIN QUESTIONNAIRE,
2,1584739344021,20/03/2020 21:22:24,1584739345021,0,20/03/2020 21:22:25,10169,123,questionnaire-kpni,,4212577,14070,1191704,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1280x720,1280x610,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,END QUESTIONNAIRE,33861
1,1585232521220,26/03/2020 14:22:01,1585232519850,0,26/03/2020 14:21:59,10169,123,questionnaire-kpni,,4263678,13930,1206890,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1280x720,1280x610,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,BEGIN QUESTIONNAIRE,
2,1585232565328,26/03/2020 14:22:45,1585232563694,0,26/03/2020 14:22:43,10169,123,questionnaire-kpni,,4263678,13930,1206890,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1280x720,1280x610,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,END QUESTIONNAIRE,43844
END OF FILE
