Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1583410459294,05/03/2020 12:14:19,1583410459098,0,05/03/2020 12:14:19,10169,123,questionnaire-zm5f,,4089577,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x625,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1583410490213,05/03/2020 12:14:50,1583410490118,0,05/03/2020 12:14:50,10169,123,questionnaire-zm5f,,4089577,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x625,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,31021
1,1583771983329,09/03/2020 16:39:43,1583771983230,0,09/03/2020 16:39:43,10169,123,questionnaire-zm5f,,4119337,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x937,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1583772084305,09/03/2020 16:41:24,1583772084278,0,09/03/2020 16:41:24,10169,123,questionnaire-zm5f,,4119337,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x937,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,101048
1,1585548208469,30/03/2020 06:03:28,1585548208281,8,30/03/2020 14:03:28,10169,123,questionnaire-zm5f,,4285211,13926,1215277,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x791,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1585548257113,30/03/2020 06:04:17,1585548256932,8,30/03/2020 14:04:16,10169,123,questionnaire-zm5f,,4285211,13926,1215277,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x791,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,48651
1,1585576501916,30/03/2020 13:55:01,1585576501947,1,30/03/2020 14:55:01,10169,123,questionnaire-zm5f,,4293033,13876,1216924,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1536x864,1536x754,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1585576647940,30/03/2020 13:57:27,1585576648032,1,30/03/2020 14:57:28,10169,123,questionnaire-zm5f,,4293033,13876,1216924,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1536x864,1536x754,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,146085
1,1585584630162,30/03/2020 16:10:30,1585584629704,1,30/03/2020 17:10:29,10169,123,questionnaire-zm5f,,4294621,13109,1217456,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.94.0,Chrome 80.0.3987.137,1366x768,1366x609,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1585584726427,30/03/2020 16:12:06,1585584725885,1,30/03/2020 17:12:05,10169,123,questionnaire-zm5f,,4294621,13109,1217456,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.94.0,Chrome 80.0.3987.137,1366x768,1366x609,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,96181
1,1585837028614,02/04/2020 14:17:08,1585837029758,1,02/04/2020 15:17:09,10169,123,questionnaire-zm5f,,4323771,13158,1227313,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1920x1080,1036x816,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1585837062644,02/04/2020 14:17:42,1585837064009,1,02/04/2020 15:17:44,10169,123,questionnaire-zm5f,,4323771,13158,1227313,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1920x1080,1036x816,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,34250
1,1585865938746,02/04/2020 22:18:58,1585865938957,1,02/04/2020 23:18:58,10169,123,questionnaire-zm5f,,4329139,13873,1229128,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1366x768,1366x625,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1585865975249,02/04/2020 22:19:35,1585865975537,1,02/04/2020 23:19:35,10169,123,questionnaire-zm5f,,4329139,13873,1229128,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.149,1366x768,1366x625,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,36580
END OF FILE
