Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1583232542941,03/03/2020 10:49:02,1583232542218,0,03/03/2020 10:49:02,10169,123,task-41u6,,4070203,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1280x578,Test_Checkpoint,E-10. Study_4_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1583232545939,03/03/2020 10:49:05,1583232545270,0,03/03/2020 10:49:05,10169,123,task-41u6,,4070203,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1280x578,Test_Checkpoint,E-10. Study_4_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_4_col_spreadsheet,1,1,1,check,script,force_advance,3030.554,,,,0,1,0,,,,,,fullscreen_check,,
3,1583232546409,03/03/2020 10:49:06,1583232545740,0,03/03/2020 10:49:05,10169,123,task-41u6,,4070203,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1280x720,Test_Checkpoint,E-10. Study_4_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_4_col_spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,482.8249999999998,,,,0,1,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
4,1583232548239,03/03/2020 10:49:08,1583232547592,0,03/03/2020 10:49:07,10169,123,task-41u6,,4070203,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1280x720,Test_Checkpoint,E-10. Study_4_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_4_col_spreadsheet,3,1,2,filler_start_stim,Zone1,response_button_image,1834.26499995403,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
5,1583232549098,03/03/2020 10:49:09,1583232548454,0,03/03/2020 10:49:08,10169,123,task-41u6,,4070203,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1280x720,Test_Checkpoint,E-10. Study_4_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_4_col_spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449.58500000000004,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
6,1583232550342,03/03/2020 10:49:10,1583232549699,0,03/03/2020 10:49:09,10169,123,task-41u6,,4070203,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1280x720,Test_Checkpoint,E-10. Study_4_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_4_col_spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,1235.6949999229982,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
7,1583232551279,03/03/2020 10:49:11,1583232550619,0,03/03/2020 10:49:10,10169,123,task-41u6,,4070203,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1280x720,Test_Checkpoint,E-10. Study_4_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_4_col_spreadsheet,65,1,1,fixation,fixation,fixation,499.02900000000045,,,,0,1,0,,,,,2,study_4_col,word.png,word_tomato.png
8,1583232551966,03/03/2020 10:49:11,1583232551321,0,03/03/2020 10:49:11,10169,123,task-41u6,,4070203,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1280x720,Test_Checkpoint,E-10. Study_4_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_4_col_spreadsheet,65,1,2,stim_4_col,buttonA,response_button_image,693.3250000001863,,word.png,1,1,0,0,,,,,2,study_4_col,word.png,word_tomato.png
9,1583232552889,03/03/2020 10:49:12,1583232552234,0,03/03/2020 10:49:12,10169,123,task-41u6,,4070203,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1280x720,Test_Checkpoint,E-10. Study_4_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_4_col_spreadsheet,17,2,1,fixation,fixation,fixation,499.5410000000011,,,,0,1,0,,,,,2,study_4_col,line-drawing.png,col_line_mitten.png
10,1583232553983,03/03/2020 10:49:13,1583232553331,0,03/03/2020 10:49:13,10169,123,task-41u6,,4070203,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1280x720,Test_Checkpoint,E-10. Study_4_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_4_col_spreadsheet,17,2,2,stim_4_col,Zone1,response_button_image,1088.7550000334159,,line-drawing.png,1,1,0,0,,,,,2,study_4_col,line-drawing.png,col_line_mitten.png
