Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
1,1583967685378,11/03/2020 23:01:25,1583967684011,0,11/03/2020 23:01:24,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x757,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1583967686643,11/03/2020 23:01:26,1583967685462,0,11/03/2020 23:01:25,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x757,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,1,1,1,check,script,force_advance,1466.4279999999999,,,,0,1,0,,,,,,fullscreen_check,,
3,1583967687129,11/03/2020 23:01:27,1583967685959,0,11/03/2020 23:01:25,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,2,1,1,Screen 1,fixation,fixation,499.9580000000001,,,,0,1,0,,,,,,fixation,,
4,1583967689625,11/03/2020 23:01:29,1583967688469,0,11/03/2020 23:01:28,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,10,1,1,OldNew,old,response_button_image,2431.110000004992,,old.png,1,0,1,0,,,,,1,filler,word_dress.png,new.png
5,1583967695616,11/03/2020 23:01:35,1583967694467,0,11/03/2020 23:01:34,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,10,1,2,RFBG,Zone1,response_button_image,5747.6999999489635,,familiarity.png,1,0,1,0,,,,,1,filler,word_dress.png,new.png
6,1583967696308,11/03/2020 23:01:36,1583967695157,0,11/03/2020 23:01:35,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,10,1,3,Fixation,fixation,fixation,499.90100000000166,,,,0,1,0,,,,,1,filler,word_dress.png,new.png
7,1583967698185,11/03/2020 23:01:38,1583967697039,0,11/03/2020 23:01:37,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,6,2,1,OldNew,new,response_button_image,1796.4350000256673,,new.png,1,1,0,0,,,,,1,filler,grey_photo_bicycle1.png,new.png
8,1583967698850,11/03/2020 23:01:38,1583967697705,0,11/03/2020 23:01:37,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,6,2,3,Fixation,fixation,fixation,499.9240000000009,,,,0,1,0,,,,,1,filler,grey_photo_bicycle1.png,new.png
9,1583967700570,11/03/2020 23:01:40,1583967699435,0,11/03/2020 23:01:39,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,9,3,1,OldNew,old,response_button_image,1706.510000047274,,old.png,1,0,1,0,,,,,1,filler,word_chisel.png,new.png
10,1583967702960,11/03/2020 23:01:42,1583967701783,0,11/03/2020 23:01:41,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,9,3,2,RFBG,Zone1,response_button_image,2115.224999957718,,familiarity.png,1,0,1,0,,,,,1,filler,word_chisel.png,new.png
