Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1583414097270,05/03/2020 13:14:57,1583414097178,0,05/03/2020 13:14:57,10169,123,task-hjvs,,4090098,25123,1159701,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 11.1.2,1280x800,1125x606,Test_Checkpoint,E-7. Study_1_COL,5,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1583414099118,05/03/2020 13:14:59,1583414099036,0,05/03/2020 13:14:59,10169,123,task-hjvs,,4090098,25123,1159701,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 11.1.2,1280x800,1125x606,Test_Checkpoint,E-7. Study_1_COL,5,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_1_col_spreadsheet,1,1,1,check,script,force_advance,1772.0000000000005,,,,0,1,0,,,,,,fullscreen_check,,
3,1583414099508,05/03/2020 13:14:59,1583414099478,0,05/03/2020 13:14:59,10169,123,task-hjvs,,4090098,25123,1159701,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 11.1.2,1280x800,1280x800,Test_Checkpoint,E-7. Study_1_COL,5,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_1_col_spreadsheet,2,1,1,filler_start_fixation,fixation,fixation,448.99999999999955,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
4,1583414102277,05/03/2020 13:15:02,1583414102196,0,05/03/2020 13:15:02,10169,123,task-hjvs,,4090098,25123,1159701,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 11.1.2,1280x800,1280x800,Test_Checkpoint,E-7. Study_1_COL,5,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_1_col_spreadsheet,2,1,2,filler_start_stim,buttonA,response_button_image,2694.000000000001,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
5,1583414103112,05/03/2020 13:15:03,1583414103063,0,05/03/2020 13:15:03,10169,123,task-hjvs,,4090098,25123,1159701,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 11.1.2,1280x800,1280x800,Test_Checkpoint,E-7. Study_1_COL,5,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_1_col_spreadsheet,3,2,1,filler_start_fixation,fixation,fixation,450,,,,0,1,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
6,1583414104737,05/03/2020 13:15:04,1583414104717,0,05/03/2020 13:15:04,10169,123,task-hjvs,,4090098,25123,1159701,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 11.1.2,1280x800,1280x800,Test_Checkpoint,E-7. Study_1_COL,5,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_1_col_spreadsheet,3,2,2,filler_start_stim,Zone1,response_button_image,1638,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
7,1583414105674,05/03/2020 13:15:05,1583414105634,0,05/03/2020 13:15:05,10169,123,task-hjvs,,4090098,25123,1159701,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 11.1.2,1280x800,1280x800,Test_Checkpoint,E-7. Study_1_COL,5,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_1_col_spreadsheet,20,1,1,fixation,fixation,fixation,501,,,,0,1,0,,,,,2,study_1_col,line-drawing.png,col_line_thumb.png
8,1583414107221,05/03/2020 13:15:07,1583414107207,0,05/03/2020 13:15:07,10169,123,task-hjvs,,4090098,25123,1159701,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 11.1.2,1280x800,1280x800,Test_Checkpoint,E-7. Study_1_COL,5,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_1_col_spreadsheet,20,1,2,stim_1_col,Zone1,response_button_image,1561,,line-drawing.png,1,1,0,0,,,,,2,study_1_col,line-drawing.png,col_line_thumb.png
9,1583414108221,05/03/2020 13:15:08,1583414108118,0,05/03/2020 13:15:08,10169,123,task-hjvs,,4090098,25123,1159701,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 11.1.2,1280x800,1280x800,Test_Checkpoint,E-7. Study_1_COL,5,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_1_col_spreadsheet,31,2,1,fixation,fixation,fixation,499.0000000000018,,,,0,1,0,,,,,2,study_1_col,photograph.png,col_photo_camel3.png
10,1583414109580,05/03/2020 13:15:09,1583414109560,0,05/03/2020 13:15:09,10169,123,task-hjvs,,4090098,25123,1159701,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 11.1.2,1280x800,1280x800,Test_Checkpoint,E-7. Study_1_COL,5,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,study_1_col_spreadsheet,31,2,2,stim_1_col,buttonB,response_button_image,1424,,photograph.png,1,1,0,0,,,,,2,study_1_col,photograph.png,col_photo_camel3.png
