Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1583438640347,05/03/2020 20:04:00,1583438639833,0,05/03/2020 20:03:59,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x625,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1583438644879,05/03/2020 20:04:04,1583438644374,0,05/03/2020 20:04:04,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x625,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,1,1,1,check,script,force_advance,4528.68,,,,0,1,0,,,,,,fullscreen_check,,
3,1583438645364,05/03/2020 20:04:05,1583438644904,0,05/03/2020 20:04:04,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,532.6080000000002,,,,0,1,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
4,1583438647879,05/03/2020 20:04:07,1583438647189,0,05/03/2020 20:04:07,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,3,1,2,filler_start_stim,Zone1,response_button_image,2241.0499999969034,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
5,1583438648537,05/03/2020 20:04:08,1583438648050,0,05/03/2020 20:04:08,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449.5069999999996,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
6,1583438650412,05/03/2020 20:04:10,1583438649951,0,05/03/2020 20:04:09,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,1882.3100000008708,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
7,1583438651445,05/03/2020 20:04:11,1583438650864,0,05/03/2020 20:04:10,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,36,1,1,fixation,fixation,fixation,499.47099999999955,,,,0,1,0,,,,,2,study_1_grey,photograph.png,grey_photo_fence3.png
8,1583438654288,05/03/2020 20:04:14,1583438653821,0,05/03/2020 20:04:13,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,36,1,2,stim_1_grey,buttonB,response_button_image,2940.4649999996764,,photograph.png,1,1,0,0,,,,,2,study_1_grey,photograph.png,grey_photo_fence3.png
9,1583438655195,05/03/2020 20:04:15,1583438654726,0,05/03/2020 20:04:14,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,37,2,1,fixation,fixation,fixation,499.41100000000006,,,,0,1,0,,,,,2,study_1_grey,photograph.png,grey_photo_nail3.png
10,1583438657621,05/03/2020 20:04:17,1583438656904,0,05/03/2020 20:04:16,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,37,2,2,stim_1_grey,buttonB,response_button_image,2161.0149999978603,,photograph.png,1,1,0,0,,,,,2,study_1_grey,photograph.png,grey_photo_nail3.png
11,1583438658293,05/03/2020 20:04:18,1583438657807,0,05/03/2020 20:04:17,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,40,3,1,fixation,fixation,fixation,499.4389999999985,,,,0,1,0,,,,,2,study_1_grey,photograph.png,grey_photo_pear1.png
12,1583438659871,05/03/2020 20:04:19,1583438659406,0,05/03/2020 20:04:19,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,40,3,2,stim_1_grey,buttonB,response_button_image,1582.1950000026845,,photograph.png,1,1,0,0,,,,,2,study_1_grey,photograph.png,grey_photo_pear1.png
13,1583438660778,05/03/2020 20:04:20,1583438660320,0,05/03/2020 20:04:20,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,66,4,1,fixation,fixation,fixation,499.5590000000011,,,,0,1,0,,,,,2,study_1_grey,word.png,word_train.png
14,1583438661919,05/03/2020 20:04:21,1583438661452,0,05/03/2020 20:04:21,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,66,4,2,stim_1_grey,buttonA,response_button_image,1114.4249999997555,,word.png,1,1,0,0,,,,,2,study_1_grey,word.png,word_train.png
15,1583438662825,05/03/2020 20:04:22,1583438662368,0,05/03/2020 20:04:22,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,35,5,1,fixation,fixation,fixation,499.48399999999674,,,,0,1,0,,,,,2,study_1_grey,photograph.png,grey_photo_drum1.png
16,1583438664684,05/03/2020 20:04:24,1583438664214,0,05/03/2020 20:04:24,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,35,5,2,stim_1_grey,buttonB,response_button_image,1829.699999994773,,photograph.png,1,1,0,0,,,,,2,study_1_grey,photograph.png,grey_photo_drum1.png
17,1583438665579,05/03/2020 20:04:25,1583438665115,0,05/03/2020 20:04:25,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,57,6,1,fixation,fixation,fixation,499.4500000000007,,,,0,1,0,,,,,2,study_1_grey,word.png,word_piano.png
18,1583438666687,05/03/2020 20:04:26,1583438666216,0,05/03/2020 20:04:26,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,57,6,2,stim_1_grey,buttonA,response_button_image,1085.5349999983446,,word.png,1,1,0,0,,,,,2,study_1_grey,word.png,word_piano.png
19,1583438667812,05/03/2020 20:04:27,1583438667113,0,05/03/2020 20:04:27,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,41,7,1,fixation,fixation,fixation,499.6140000000014,,,,0,1,0,,,,,2,study_1_grey,photograph.png,grey_photo_pliers2.png
20,1583438668906,05/03/2020 20:04:28,1583438668439,0,05/03/2020 20:04:28,10169,123,task-hqih,,4095737,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,41,7,2,stim_1_grey,buttonB,response_button_image,1309.865000002901,,photograph.png,1,1,0,0,,,,,2,study_1_grey,photograph.png,grey_photo_pliers2.png
