Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1583584761200,07/03/2020 12:39:21,1583584760659,0,07/03/2020 12:39:20,10169,123,task-rxq8,,4107876,13313,1163930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1536x864,1536x726,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1583584765075,07/03/2020 12:39:25,1583584764597,0,07/03/2020 12:39:24,10169,123,task-rxq8,,4107876,13313,1163930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1536x864,1536x726,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_3_col_spreadsheet,1,1,1,check,script,force_advance,3913.7250000000004,,,,0,1,0,,,,,,fullscreen_check,,
3,1583584765497,07/03/2020 12:39:25,1583584765033,0,07/03/2020 12:39:25,10169,123,task-rxq8,,4107876,13313,1163930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1536x864,1536x864,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_3_col_spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,449.10499999999956,,,,0,1,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
4,1583584767015,07/03/2020 12:39:27,1583584766581,0,07/03/2020 12:39:26,10169,123,task-rxq8,,4107876,13313,1163930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1536x864,1536x864,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_3_col_spreadsheet,3,1,2,filler_start_stim,Zone1,response_button_image,1524.1350000724196,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
5,1583584767889,07/03/2020 12:39:27,1583584767447,0,07/03/2020 12:39:27,10169,123,task-rxq8,,4107876,13313,1163930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1536x864,1536x864,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_3_col_spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449.39699999999993,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
6,1583584768905,07/03/2020 12:39:28,1583584768455,0,07/03/2020 12:39:28,10169,123,task-rxq8,,4107876,13313,1163930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1536x864,1536x864,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_3_col_spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,996.4499999769032,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
7,1583584769798,07/03/2020 12:39:29,1583584769362,0,07/03/2020 12:39:29,10169,123,task-rxq8,,4107876,13313,1163930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1536x864,1536x864,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_3_col_spreadsheet,62,1,1,fixation,fixation,fixation,499.59300000000076,,,,0,1,0,,,,,2,study_3_col,word.png,word_thumb.png
8,1583584770626,07/03/2020 12:39:30,1583584770186,0,07/03/2020 12:39:30,10169,123,task-rxq8,,4107876,13313,1163930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1536x864,1536x864,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_3_col_spreadsheet,62,1,2,stim_3_col,buttonA,response_button_image,813.1099999882281,,word.png,1,1,0,0,,,,,2,study_3_col,word.png,word_thumb.png
9,1583584771532,07/03/2020 12:39:31,1583584771094,0,07/03/2020 12:39:31,10169,123,task-rxq8,,4107876,13313,1163930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1536x864,1536x864,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_3_col_spreadsheet,66,2,1,fixation,fixation,fixation,499.72499999999854,,,,0,1,0,,,,,2,study_3_col,word.png,word_well.png
10,1583584773079,07/03/2020 12:39:33,1583584772658,0,07/03/2020 12:39:32,10169,123,task-rxq8,,4107876,13313,1163930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1536x864,1536x864,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_3_col_spreadsheet,66,2,2,stim_3_col,buttonA,response_button_image,1536.1549999797717,,word.png,1,1,0,0,,,,,2,study_3_col,word.png,word_well.png
