Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1583341503378,04/03/2020 17:05:03,1583341502398,0,04/03/2020 17:05:02,10169,123,task-xfbn,,4085058,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1440x818,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1583341509725,04/03/2020 17:05:09,1583341508724,0,04/03/2020 17:05:08,10169,123,task-xfbn,,4085058,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1440x818,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,study_5_col_spreadsheet,1,1,1,check,script,force_advance,6316.447,,,,0,1,0,,,,,,fullscreen_check,,
3,1583341510116,04/03/2020 17:05:10,1583341509165,0,04/03/2020 17:05:09,10169,123,task-xfbn,,4085058,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1440x960,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,study_5_col_spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,450.2349999999997,,,,0,1,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
4,1583341511991,04/03/2020 17:05:11,1583341511041,0,04/03/2020 17:05:11,10169,123,task-xfbn,,4085058,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1440x960,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,study_5_col_spreadsheet,3,1,2,filler_start_stim,Zone1,response_button_image,1825.5500000013853,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
5,1583341512804,04/03/2020 17:05:12,1583341511881,0,04/03/2020 17:05:11,10169,123,task-xfbn,,4085058,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1440x960,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,study_5_col_spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449.869999999999,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
6,1583341513945,04/03/2020 17:05:13,1583341513021,0,04/03/2020 17:05:13,10169,123,task-xfbn,,4085058,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1440x960,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,study_5_col_spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,1102.9949999992823,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
7,1583341514882,04/03/2020 17:05:14,1583341513897,0,04/03/2020 17:05:13,10169,123,task-xfbn,,4085058,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1440x960,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,study_5_col_spreadsheet,20,1,1,fixation,fixation,fixation,499.9549999999999,,,,0,1,0,,,,,2,study_5_col,line-drawing.png,col_line_snake.png
8,1583341516180,04/03/2020 17:05:16,1583341515257,0,04/03/2020 17:05:15,10169,123,task-xfbn,,4085058,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1440x960,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,study_5_col_spreadsheet,20,1,2,stim_5_col,Zone1,response_button_image,1341.6350000006787,,line-drawing.png,1,1,0,0,,,,,2,study_5_col,line-drawing.png,col_line_snake.png
9,1583341517071,04/03/2020 17:05:17,1583341516135,0,04/03/2020 17:05:16,10169,123,task-xfbn,,4085058,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1440x960,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,study_5_col_spreadsheet,63,2,1,fixation,fixation,fixation,500.4830000000002,,,,0,1,0,,,,,2,study_5_col,word.png,word_raccoon.png
10,1583341518320,04/03/2020 17:05:18,1583341517387,0,04/03/2020 17:05:17,10169,123,task-xfbn,,4085058,13284,1157680,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 81.0.416.20,1440x960,1440x960,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,study_5_col_spreadsheet,63,2,2,stim_5_col,buttonA,response_button_image,1173.1149999995978,,word.png,1,1,0,0,,,,,2,study_5_col,word.png,word_raccoon.png
