Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1591781886542,10/06/2020 09:38:06,1591781907128,1,10/06/2020 10:38:27,10169,127,questionnaire-aaj1,,5543622,587144a7d6df7000018746d4,1545065,,complete,,5ee0a7484b450a034f635608,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x657,Test_Checkpoint,Y-1. RFG Justifications,8,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1591781985704,10/06/2020 09:39:45,1591782006298,1,10/06/2020 10:40:06,10169,127,questionnaire-aaj1,,5543622,587144a7d6df7000018746d4,1545065,,complete,,5ee0a7484b450a034f635608,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1349x657,Test_Checkpoint,Y-1. RFG Justifications,8,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,rec_justification,I remebered clearly having seen the item. E.g. the birthday cake
3,1591781985939,10/06/2020 09:39:45,1591782006303,1,10/06/2020 10:40:06,10169,127,questionnaire-aaj1,,5543622,587144a7d6df7000018746d4,1545065,,complete,,5ee0a7484b450a034f635608,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1349x657,Test_Checkpoint,Y-1. RFG Justifications,8,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,fam_justification,I thought I had seen the item but was not sure
4,1591781985939,10/06/2020 09:39:45,1591782006303,1,10/06/2020 10:40:06,10169,127,questionnaire-aaj1,,5543622,587144a7d6df7000018746d4,1545065,,complete,,5ee0a7484b450a034f635608,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1349x657,Test_Checkpoint,Y-1. RFG Justifications,8,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,guess_justification,Applied mainly to the words
5,1591781985939,10/06/2020 09:39:45,1591782006304,1,10/06/2020 10:40:06,10169,127,questionnaire-aaj1,,5543622,587144a7d6df7000018746d4,1545065,,complete,,5ee0a7484b450a034f635608,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1349x657,Test_Checkpoint,Y-1. RFG Justifications,8,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,mem_skills_1,a little better
6,1591781985939,10/06/2020 09:39:45,1591782006305,1,10/06/2020 10:40:06,10169,127,questionnaire-aaj1,,5543622,587144a7d6df7000018746d4,1545065,,complete,,5ee0a7484b450a034f635608,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1349x657,Test_Checkpoint,Y-1. RFG Justifications,8,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,mem_skills_1-quantised,2
7,1591781985939,10/06/2020 09:39:45,1591782006305,1,10/06/2020 10:40:06,10169,127,questionnaire-aaj1,,5543622,587144a7d6df7000018746d4,1545065,,complete,,5ee0a7484b450a034f635608,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1349x657,Test_Checkpoint,Y-1. RFG Justifications,8,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,mem_skills_2,the same
8,1591781985939,10/06/2020 09:39:45,1591782006306,1,10/06/2020 10:40:06,10169,127,questionnaire-aaj1,,5543622,587144a7d6df7000018746d4,1545065,,complete,,5ee0a7484b450a034f635608,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1349x657,Test_Checkpoint,Y-1. RFG Justifications,8,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,mem_skills_2-quantised,3
9,1591781985939,10/06/2020 09:39:45,1591782006307,1,10/06/2020 10:40:06,10169,127,questionnaire-aaj1,,5543622,587144a7d6df7000018746d4,1545065,,complete,,5ee0a7484b450a034f635608,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1349x657,Test_Checkpoint,Y-1. RFG Justifications,8,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,attention_check,a lot better
10,1591781985939,10/06/2020 09:39:45,1591782006307,1,10/06/2020 10:40:06,10169,127,questionnaire-aaj1,,5543622,587144a7d6df7000018746d4,1545065,,complete,,5ee0a7484b450a034f635608,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1349x657,Test_Checkpoint,Y-1. RFG Justifications,8,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,attention_check-quantised,1
