Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1592483495949,18/06/2020 12:31:35,1592483495776,1,18/06/2020 13:31:35,10169,127,questionnaire-dphd,,5686826,5d544c3b93d694001ac3c1a8,1586742,,complete,,5eeb5d18626ce72c4badaea6,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x606,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1592483535676,18/06/2020 12:32:15,1592483535558,1,18/06/2020 13:32:15,10169,127,questionnaire-dphd,,5686826,5d544c3b93d694001ac3c1a8,1586742,,complete,,5eeb5d18626ce72c4badaea6,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x606,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,39782
1,1592483499464,18/06/2020 12:31:39,1592483499089,1,18/06/2020 13:31:39,10169,127,questionnaire-dphd,,5686829,5d546be661abf80001927306,1586744,,complete,,5eeb5d1dd655892b6adcb472,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1366x768,1366x695,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1592483581363,18/06/2020 12:33:01,1592483580999,1,18/06/2020 13:33:00,10169,127,questionnaire-dphd,,5686829,5d546be661abf80001927306,1586744,,complete,,5eeb5d1dd655892b6adcb472,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1366x768,1366x695,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,81910
1,1592562917312,19/06/2020 10:35:17,1592562917223,1,19/06/2020 11:35:17,10169,127,questionnaire-dphd,,5700453,5d3869444a0f0500198dc192,1591105,,complete,,5eec9379b188570320c6a100,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 81.0.4044.138,1280x800,1280x698,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1592562960180,19/06/2020 10:36:00,1592562960123,1,19/06/2020 11:36:00,10169,127,questionnaire-dphd,,5700453,5d3869444a0f0500198dc192,1591105,,complete,,5eec9379b188570320c6a100,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 81.0.4044.138,1280x800,1280x698,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,42900
1,1592562922364,19/06/2020 10:35:22,1592562922342,1,19/06/2020 11:35:22,10169,127,questionnaire-dphd,,5700455,5e7531c5d5af7809a40e80fc,1591109,,complete,,5eec937c31f6fe03016d9e94,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x754,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1592562974017,19/06/2020 10:36:14,1592562974061,1,19/06/2020 11:36:14,10169,127,questionnaire-dphd,,5700455,5e7531c5d5af7809a40e80fc,1591109,,complete,,5eec937c31f6fe03016d9e94,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x754,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,51719
1,1592563113971,19/06/2020 10:38:33,1592563395577,1,19/06/2020 11:43:15,10169,127,questionnaire-dphd,,5700529,5c879d4aeceaa40015d3f5c6,1591134,,complete,,5eec93753e770d028e7344e4,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1366x768,1366x654,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1592563157748,19/06/2020 10:39:17,1592563440134,1,19/06/2020 11:44:00,10169,127,questionnaire-dphd,,5700529,5c879d4aeceaa40015d3f5c6,1591134,,complete,,5eec93753e770d028e7344e4,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1366x768,1366x654,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,44558
1,1592563123348,19/06/2020 10:38:43,1592563123594,1,19/06/2020 11:38:43,10169,127,questionnaire-dphd,,5700532,5e88b403b7d189530ed1643f,1591150,,complete,,5eec93907c5a1701270794c2,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1366x768,1366x625,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
