Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1591781299352,10/06/2020 09:28:19,1591781299497,-5,10/06/2020 04:28:19,10169,127,questionnaire-kgqo,,5543372,5eac8b777b60c8129709fc10,1545028,,complete,,5ee0a67385410f03c1982778,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x625,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1591781321444,10/06/2020 09:28:41,1591781320898,-5,10/06/2020 04:28:40,10169,127,questionnaire-kgqo,,5543372,5eac8b777b60c8129709fc10,1545028,,complete,,5ee0a67385410f03c1982778,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1349x625,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,END QUESTIONNAIRE,21402
1,1591781435223,10/06/2020 09:30:35,1591781456050,1,10/06/2020 10:30:56,10169,127,questionnaire-kgqo,,5543446,587144a7d6df7000018746d4,1545065,,complete,,5ee0a7484b450a034f635608,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x657,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1591781453748,10/06/2020 09:30:53,1591781474325,1,10/06/2020 10:31:14,10169,127,questionnaire-kgqo,,5543446,587144a7d6df7000018746d4,1545065,,complete,,5ee0a7484b450a034f635608,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1349x657,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,END QUESTIONNAIRE,18275
1,1591781721530,10/06/2020 09:35:21,1591781720018,1,10/06/2020 10:35:20,10169,127,questionnaire-kgqo,,5543562,5d93b723e248c2001767fafa,1545076,,complete,,5ee0a716cb793a3e38d409da,computer,Desktop or Laptop,Windows 8.1,Chrome 83.0.4103.97,1536x864,1536x755,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1591781740159,10/06/2020 09:35:40,1591781738709,1,10/06/2020 10:35:38,10169,127,questionnaire-kgqo,,5543562,5d93b723e248c2001767fafa,1545076,,complete,,5ee0a716cb793a3e38d409da,computer,Desktop or Laptop,Windows 8.1,Chrome 83.0.4103.97,1536x864,1519x755,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,END QUESTIONNAIRE,18692
1,1591954281441,12/06/2020 09:31:21,1591954281078,10,12/06/2020 19:31:21,10169,127,questionnaire-kgqo,,5573725,5ecbd760289654057b389a3f,1555636,,complete,,5ee349bc8295f000083905e9,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1536x864,1536x722,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1591954296956,12/06/2020 09:31:36,1591954296636,10,12/06/2020 19:31:36,10169,127,questionnaire-kgqo,,5573725,5ecbd760289654057b389a3f,1555636,,complete,,5ee349bc8295f000083905e9,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1536x864,1519x722,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,END QUESTIONNAIRE,15558
1,1592483352115,18/06/2020 12:29:12,1592483352128,-4,18/06/2020 08:29:12,10169,127,questionnaire-kgqo,,5686749,5e9f60dd9d60ec0f754485d7,1586741,,complete,,5eeb5d1e20cb9a254816aa6d,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1752x1016,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1592483374358,18/06/2020 12:29:34,1592483374419,-4,18/06/2020 08:29:34,10169,127,questionnaire-kgqo,,5686749,5e9f60dd9d60ec0f754485d7,1586741,,complete,,5eeb5d1e20cb9a254816aa6d,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1752x1016,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,END QUESTIONNAIRE,22291
