Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1591781183554,10/06/2020 09:26:23,1591781183377,1,10/06/2020 10:26:23,10169,127,questionnaire-u8yj,,5543316,5d98bd5f32715c00165c7c89,1545054,,complete,,5ee0a6e984b8a10300588643,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1280x800,1280x670,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,BEGIN QUESTIONNAIRE,
2,1591781204592,10/06/2020 09:26:44,1591781204466,1,10/06/2020 10:26:44,10169,127,questionnaire-u8yj,,5543316,5d98bd5f32715c00165c7c89,1545054,,complete,,5ee0a6e984b8a10300588643,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1280x800,1280x670,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,END QUESTIONNAIRE,21089
1,1591781326242,10/06/2020 09:28:46,1591781327534,1,10/06/2020 10:28:47,10169,127,questionnaire-u8yj,,5543389,5b97e499c37a4e0001865002,1545061,,complete,,5ee0a732d4c7620302f804dc,computer,Desktop or Laptop,Windows 7,Chrome 83.0.4103.97,1024x820,1024x710,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1591781400689,10/06/2020 09:30:00,1591781402041,1,10/06/2020 10:30:02,10169,127,questionnaire-u8yj,,5543389,5b97e499c37a4e0001865002,1545061,,complete,,5ee0a732d4c7620302f804dc,computer,Desktop or Laptop,Windows 7,Chrome 83.0.4103.97,1024x820,1007x710,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,END QUESTIONNAIRE,74506
1,1591953914756,12/06/2020 09:25:14,1591953913205,1,12/06/2020 10:25:13,10169,127,questionnaire-u8yj,,5573591,5a33e4a10758280001030ce5,1555623,,complete,,5ee349b0fa4dc4000c8f9875,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1366x768,1518x694,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1591953935065,12/06/2020 09:25:35,1591953933212,1,12/06/2020 10:25:33,10169,127,questionnaire-u8yj,,5573591,5a33e4a10758280001030ce5,1555623,,complete,,5ee349b0fa4dc4000c8f9875,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1366x768,1499x694,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,20007
1,1591953936971,12/06/2020 09:25:36,1591953935079,1,12/06/2020 10:25:35,10169,127,questionnaire-u8yj,,5573599,5ce1d945feca32001bf94623,1555619,,complete,,5ee349a690ca050110aad385,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1366x768,1366x654,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,BEGIN QUESTIONNAIRE,
2,1591953969626,12/06/2020 09:26:09,1591953967638,1,12/06/2020 10:26:07,10169,127,questionnaire-u8yj,,5573599,5ce1d945feca32001bf94623,1555619,,complete,,5ee349a690ca050110aad385,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1366x768,1349x654,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,END QUESTIONNAIRE,32559
1,1591954119237,12/06/2020 09:28:39,1591954118853,10,12/06/2020 19:28:38,10169,127,questionnaire-u8yj,,5573665,5ecbd760289654057b389a3f,1555636,,complete,,5ee349bc8295f000083905e9,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1536x864,1536x722,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1591954143204,12/06/2020 09:29:03,1591954142869,10,12/06/2020 19:29:02,10169,127,questionnaire-u8yj,,5573665,5ecbd760289654057b389a3f,1555636,,complete,,5ee349bc8295f000083905e9,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1536x864,1536x722,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,END QUESTIONNAIRE,24017
