Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1591781274730,10/06/2020 09:27:54,1591781275700,1,10/06/2020 10:27:55,10169,127,questionnaire-xx62,,5543357,5d9cac8dfe9f29001758b61f,1545037,,complete,,5ee0a6a1fd60a402a8c8672d,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1536x864,1536x722,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1591781282440,10/06/2020 09:28:02,1591781283459,1,10/06/2020 10:28:03,10169,127,questionnaire-xx62,,5543357,5d9cac8dfe9f29001758b61f,1545037,,complete,,5ee0a6a1fd60a402a8c8672d,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1536x864,1519x722,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,7759
1,1592483499136,18/06/2020 12:31:39,1592483498177,1,18/06/2020 13:31:38,10169,127,questionnaire-xx62,,5686828,5e8342f878ce070122ef1077,1586740,,complete,,5eeb5d13eef2122ba638ea2e,computer,Desktop or Laptop,Windows 10,Edge 18.17763,1333x750,1333x629,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1592483575107,18/06/2020 12:32:55,1592483574091,1,18/06/2020 13:32:54,10169,127,questionnaire-xx62,,5686828,5e8342f878ce070122ef1077,1586740,,complete,,5eeb5d13eef2122ba638ea2e,computer,Desktop or Laptop,Windows 10,Edge 18.17763,1333x750,1320x629,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,75914
1,1592562833926,19/06/2020 10:33:53,1592562833922,1,19/06/2020 11:33:53,10169,127,questionnaire-xx62,,5700415,5e7531c5d5af7809a40e80fc,1591109,,complete,,5eec937c31f6fe03016d9e94,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x754,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1592562847974,19/06/2020 10:34:07,1592562847996,1,19/06/2020 11:34:07,10169,127,questionnaire-xx62,,5700415,5e7531c5d5af7809a40e80fc,1591109,,complete,,5eec937c31f6fe03016d9e94,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1519x754,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,14074
1,1594647294372,13/07/2020 13:34:54,1594647298296,1,13/07/2020 14:34:58,10169,127,questionnaire-xx62,,6028937,5ddd4c9a5daaa6caa9127a74,1702809,,complete,,5f0c617e5be59e07adc7ab1d,computer,Desktop or Laptop,Windows 8.1,Chrome 83.0.4103.116,1366x768,1366x625,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594647324328,13/07/2020 13:35:24,1594647328152,1,13/07/2020 14:35:28,10169,127,questionnaire-xx62,,6028937,5ddd4c9a5daaa6caa9127a74,1702809,,complete,,5f0c617e5be59e07adc7ab1d,computer,Desktop or Laptop,Windows 8.1,Chrome 83.0.4103.116,1366x768,1349x625,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,END QUESTIONNAIRE,29857
1,1594649437935,13/07/2020 14:10:37,1594649437070,0,13/07/2020 14:10:37,10169,127,questionnaire-xx62,,6029990,5ce1d3785670c600013310d9,1702799,,complete,,5f0c618646f50807641b40c4,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1366x657,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594649594360,13/07/2020 14:13:14,1594649593552,0,13/07/2020 14:13:13,10169,127,questionnaire-xx62,,6029990,5ce1d3785670c600013310d9,1702799,,complete,,5f0c618646f50807641b40c4,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,156481
