Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1591781207060,10/06/2020 09:26:47,1591781206867,1,10/06/2020 10:26:46,10169,127,task-qw7d,,5543333,5d98bd5f32715c00165c7c89,1545054,,complete,,5ee0a6e984b8a10300588643,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1280x800,1280x670,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1591781208748,10/06/2020 09:26:48,1591781208599,1,10/06/2020 10:26:48,10169,127,task-qw7d,,5543333,5d98bd5f32715c00165c7c89,1545054,,complete,,5ee0a6e984b8a10300588643,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1280x800,1280x670,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,1,1,1,check,script,force_advance,1553,,,,0,1,0,,,,,,fullscreen_check,,
3,1591781209138,10/06/2020 09:26:49,1591781208981,1,10/06/2020 10:26:48,10169,127,task-qw7d,,5543333,5d98bd5f32715c00165c7c89,1545054,,complete,,5ee0a6e984b8a10300588643,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1280x800,1280x800,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,449,,,,0,1,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
4,1591781212264,10/06/2020 09:26:52,1591781212133,1,10/06/2020 10:26:52,10169,127,task-qw7d,,5543333,5d98bd5f32715c00165c7c89,1545054,,complete,,5ee0a6e984b8a10300588643,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1280x800,1280x800,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,3,1,2,filler_start_stim,Zone1,response_button_image,3131.9999999999995,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
5,1591781213170,10/06/2020 09:26:53,1591781212988,1,10/06/2020 10:26:52,10169,127,task-qw7d,,5543333,5d98bd5f32715c00165c7c89,1545054,,complete,,5ee0a6e984b8a10300588643,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1280x800,1280x800,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
6,1591781215311,10/06/2020 09:26:55,1591781215162,1,10/06/2020 10:26:55,10169,127,task-qw7d,,5543333,5d98bd5f32715c00165c7c89,1545054,,complete,,5ee0a6e984b8a10300588643,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1280x800,1280x800,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,2158,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
7,1591781216170,10/06/2020 09:26:56,1591781216014,1,10/06/2020 10:26:56,10169,127,task-qw7d,,5543333,5d98bd5f32715c00165c7c89,1545054,,complete,,5ee0a6e984b8a10300588643,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1280x800,1280x800,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,49,1,1,fixation,fixation,fixation,499,,,,0,1,0,,,,,2,study_6_col,word.png,word_cannon.png
8,1591781217522,10/06/2020 09:26:57,1591781217390,1,10/06/2020 10:26:57,10169,127,task-qw7d,,5543333,5d98bd5f32715c00165c7c89,1545054,,complete,,5ee0a6e984b8a10300588643,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1280x800,1280x800,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,49,1,2,stim_6_col,buttonA,response_button_image,1358,,word.png,1,1,0,0,,,,,2,study_6_col,word.png,word_cannon.png
9,1591781218428,10/06/2020 09:26:58,1591781218292,1,10/06/2020 10:26:58,10169,127,task-qw7d,,5543333,5d98bd5f32715c00165c7c89,1545054,,complete,,5ee0a6e984b8a10300588643,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1280x800,1280x800,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,9,2,1,fixation,fixation,fixation,499,,,,0,1,0,,,,,2,study_6_col,line-drawing.png,col_line_carrot.png
10,1591781219682,10/06/2020 09:26:59,1591781219487,1,10/06/2020 10:26:59,10169,127,task-qw7d,,5543333,5d98bd5f32715c00165c7c89,1545054,,complete,,5ee0a6e984b8a10300588643,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1280x800,1280x800,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,9,2,2,stim_6_col,Zone1,response_button_image,1179.0000000000018,,line-drawing.png,1,1,0,0,,,,,2,study_6_col,line-drawing.png,col_line_carrot.png
