Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Randomise questionnaire elements?,Question Key,Response
1,1601377451914,29/09/2020 11:04:11,1601377452944,1,29/09/2020 12:04:12,10169,131,questionnaire-gya3,,6998820,5e6ea8b7445f70000c5c4f0a,2021071,,complete,,5f731353e8352d037459758d,computer,Desktop or Laptop,Windows 10,Firefox 80.0,1536x864,1536x750,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377486686,29/09/2020 11:04:46,1601377487689,1,29/09/2020 12:04:47,10169,131,questionnaire-gya3,,6998820,5e6ea8b7445f70000c5c4f0a,2021071,,complete,,5f731353e8352d037459758d,computer,Desktop or Laptop,Windows 10,Firefox 80.0,1536x864,1536x750,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,END QUESTIONNAIRE,34745
1,1601377514137,29/09/2020 11:05:14,1601377515785,1,29/09/2020 12:05:15,10169,131,questionnaire-gya3,,6998848,5f709c84b22a0066f404f56f,2021074,,complete,,5f73134c43378e04301db2ae,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x754,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377569409,29/09/2020 11:06:09,1601377571100,1,29/09/2020 12:06:11,10169,131,questionnaire-gya3,,6998848,5f709c84b22a0066f404f56f,2021074,,complete,,5f73134c43378e04301db2ae,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x754,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,END QUESTIONNAIRE,55315
1,1601467503418,30/09/2020 12:05:03,1601467503264,1,30/09/2020 13:05:03,10169,131,questionnaire-gya3,,7016335,5f6bc9bc3c5b79139c01bf8c,2028970,,complete,,5f7473740f86730008e837ca,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.121,1440x900,1440x699,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601467518453,30/09/2020 12:05:18,1601467518272,1,30/09/2020 13:05:18,10169,131,questionnaire-gya3,,7016335,5f6bc9bc3c5b79139c01bf8c,2028970,,complete,,5f7473740f86730008e837ca,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.121,1440x900,1440x699,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,END QUESTIONNAIRE,15008
1,1601467591636,30/09/2020 12:06:31,1601467591635,1,30/09/2020 13:06:31,10169,131,questionnaire-gya3,,7016401,5a69d77a56585a0001633482,2028966,,complete,,5f74736b0584ae01bfd11d67,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1600x900,1600x757,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601467626453,30/09/2020 12:07:06,1601467626488,1,30/09/2020 13:07:06,10169,131,questionnaire-gya3,,7016401,5a69d77a56585a0001633482,2028966,,complete,,5f74736b0584ae01bfd11d67,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1600x900,1600x757,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,END QUESTIONNAIRE,34853
1,1601467654553,30/09/2020 12:07:34,1601467656768,1,30/09/2020 13:07:36,10169,131,questionnaire-gya3,,7016442,5e22e7bbd727e957d3337b47,2028964,,complete,,5f74736432763600083da15c,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601467736929,30/09/2020 12:08:56,1601467739137,1,30/09/2020 13:08:59,10169,131,questionnaire-gya3,,7016442,5e22e7bbd727e957d3337b47,2028964,,complete,,5f74736432763600083da15c,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,END QUESTIONNAIRE,82369
