Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Randomise questionnaire elements?,Question Key,Response
1,1601374042791,29/09/2020 10:07:22,1601374042725,1,29/09/2020 11:07:22,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601374067608,29/09/2020 10:07:47,1601374067585,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,age,25
3,1601374067655,29/09/2020 10:07:47,1601374067587,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,age-quantised,8
4,1601374067655,29/09/2020 10:07:47,1601374067588,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,gender,Male
5,1601374067655,29/09/2020 10:07:47,1601374067588,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,EngFirstLang,Yes
6,1601374067655,29/09/2020 10:07:47,1601374067588,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,EngFirstLang-quantised,1
7,1601374067655,29/09/2020 10:07:47,1601374067588,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,ethnicity,White
8,1601374067655,29/09/2020 10:07:47,1601374067589,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,ethnicity-quantised,1
9,1601374067655,29/09/2020 10:07:47,1601374067589,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,white_other,Irish
10,1601374067655,29/09/2020 10:07:47,1601374067589,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,ethnicity2,
