Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Randomise questionnaire elements?,Question Key,Response
1,1601373760490,29/09/2020 10:02:40,1601373760159,1,29/09/2020 11:02:40,10169,131,questionnaire-k9m1,,6997942,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601373787279,29/09/2020 10:03:07,1601373786985,1,29/09/2020 11:03:06,10169,131,questionnaire-k9m1,,6997942,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1519x722,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,END QUESTIONNAIRE,26826
1,1601374180776,29/09/2020 10:09:40,1601374182242,1,29/09/2020 11:09:42,10169,131,questionnaire-k9m1,,6998053,5cf8e846e289a80001b6e1f2,2020731,,complete,,5f73062ed95f3b02c92c621d,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1366x768,1366x657,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601374223636,29/09/2020 10:10:23,1601374225016,1,29/09/2020 11:10:25,10169,131,questionnaire-k9m1,,6998053,5cf8e846e289a80001b6e1f2,2020731,,complete,,5f73062ed95f3b02c92c621d,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,END QUESTIONNAIRE,42774
1,1601377304239,29/09/2020 11:01:44,1601377304917,1,29/09/2020 12:01:44,10169,131,questionnaire-k9m1,,6998743,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377328276,29/09/2020 11:02:08,1601377328931,1,29/09/2020 12:02:08,10169,131,questionnaire-k9m1,,6998743,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,END QUESTIONNAIRE,24014
1,1601377430731,29/09/2020 11:03:50,1601377430582,1,29/09/2020 12:03:50,10169,131,questionnaire-k9m1,,6998809,5c8f7c153b141f0012c8eec8,2021069,,complete,,5f73134f7c176f0480492e90,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1366x768,1366x635,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377456152,29/09/2020 11:04:16,1601377455936,1,29/09/2020 12:04:15,10169,131,questionnaire-k9m1,,6998809,5c8f7c153b141f0012c8eec8,2021069,,complete,,5f73134f7c176f0480492e90,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1366x768,1349x635,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,END QUESTIONNAIRE,25354
1,1601377476344,29/09/2020 11:04:36,1601377476226,1,29/09/2020 12:04:36,10169,131,questionnaire-k9m1,,6998828,5f5ccd308e6d034ce34b5abd,2021070,,complete,,5f73135490142603dce4498d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377493137,29/09/2020 11:04:53,1601377492913,1,29/09/2020 12:04:52,10169,131,questionnaire-k9m1,,6998828,5f5ccd308e6d034ce34b5abd,2021070,,complete,,5f73135490142603dce4498d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1519x722,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,END QUESTIONNAIRE,16687
1,1601377514013,29/09/2020 11:05:14,1601377514408,1,29/09/2020 12:05:14,10169,131,questionnaire-k9m1,,6998845,57c426fa9fe51d00012391f1,2021073,,complete,,5f731351e2865903ce4b9b74,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x578,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377525715,29/09/2020 11:05:25,1601377525703,1,29/09/2020 12:05:25,10169,131,questionnaire-k9m1,,6998845,57c426fa9fe51d00012391f1,2021073,,complete,,5f731351e2865903ce4b9b74,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1263x578,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,END QUESTIONNAIRE,11296
1,1601377583368,29/09/2020 11:06:23,1601377583317,1,29/09/2020 12:06:23,10169,131,questionnaire-k9m1,,6998876,5f4ef0fa544f111444a880da,2021093,,complete,,5f73135310efb203bd65d133,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 85.0.4183.102,1440x900,1440x798,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377608393,29/09/2020 11:06:48,1601377608351,1,29/09/2020 12:06:48,10169,131,questionnaire-k9m1,,6998876,5f4ef0fa544f111444a880da,2021093,,complete,,5f73135310efb203bd65d133,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 85.0.4183.102,1440x900,1440x798,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,END QUESTIONNAIRE,25035
1,1601377595505,29/09/2020 11:06:35,1601377592221,2,29/09/2020 13:06:32,10169,131,questionnaire-k9m1,,6998883,5c6409e5d00ce1000114abdb,2021080,,complete,,5f731350961ce403798994da,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1366x768,1366x625,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377678651,29/09/2020 11:07:58,1601377675391,2,29/09/2020 13:07:55,10169,131,questionnaire-k9m1,,6998883,5c6409e5d00ce1000114abdb,2021080,,complete,,5f731350961ce403798994da,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1366x768,1349x625,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,END QUESTIONNAIRE,83169
1,1601377599351,29/09/2020 11:06:39,1601377597804,1,29/09/2020 12:06:37,10169,131,questionnaire-k9m1,,6998885,5e643f7e142c3c1cb0dcfc45,2021095,,complete,,5f7313558e33b80486915659,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377609331,29/09/2020 11:06:49,1601377607796,1,29/09/2020 12:06:47,10169,131,questionnaire-k9m1,,6998885,5e643f7e142c3c1cb0dcfc45,2021095,,complete,,5f7313558e33b80486915659,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x625,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,END QUESTIONNAIRE,9993
1,1601377604156,29/09/2020 11:06:44,1601377605493,1,29/09/2020 12:06:45,10169,131,questionnaire-k9m1,,6998887,5e8b765e88065404c4d50fe2,2021060,,complete,,5f7313496b09bd03cfc85a2c,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1280x1024,1164x830,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377630649,29/09/2020 11:07:10,1601377631956,1,29/09/2020 12:07:11,10169,131,questionnaire-k9m1,,6998887,5e8b765e88065404c4d50fe2,2021060,,complete,,5f7313496b09bd03cfc85a2c,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1280x1024,1164x830,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,END QUESTIONNAIRE,26463
1,1601377694503,29/09/2020 11:08:14,1601377688838,1,29/09/2020 12:08:08,10169,131,questionnaire-k9m1,,6998929,5f3bfe9aa445a59de7c09def,2021101,,complete,,5f73133c38df3e0473e8ec8d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377727087,29/09/2020 11:08:47,1601377698774,1,29/09/2020 12:08:18,10169,131,questionnaire-k9m1,,6998929,5f3bfe9aa445a59de7c09def,2021101,,complete,,5f73133c38df3e0473e8ec8d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,END QUESTIONNAIRE,9937
1,1601377995645,29/09/2020 11:13:15,1601377994899,1,29/09/2020 12:13:14,10169,131,questionnaire-k9m1,,6999149,5d5af20d7d1e600001c0f202,2021139,,complete,,5f731427a3b3020487db600a,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1536x864,1536x754,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601378010595,29/09/2020 11:13:30,1601378009928,1,29/09/2020 12:13:29,10169,131,questionnaire-k9m1,,6999149,5d5af20d7d1e600001c0f202,2021139,,complete,,5f731427a3b3020487db600a,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1536x864,1519x754,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,END QUESTIONNAIRE,15029
1,1601378686077,29/09/2020 11:24:46,1601378684983,1,29/09/2020 12:24:44,10169,131,questionnaire-k9m1,,6999510,5f26ad14db44f940a40c86dd,2021231,,complete,,5f731359e5d80e04368c1efb,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x610,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601378715107,29/09/2020 11:25:15,1601378713981,1,29/09/2020 12:25:13,10169,131,questionnaire-k9m1,,6999510,5f26ad14db44f940a40c86dd,2021231,,complete,,5f731359e5d80e04368c1efb,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1263x610,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,END QUESTIONNAIRE,28998
1,1601379012193,29/09/2020 11:30:12,1601379011770,13,30/09/2020 00:30:11,10169,131,questionnaire-k9m1,,6999621,5f11838f9df7fd51e03c7d03,2021256,,complete,,5f73134bac69de03801cb033,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601379023758,29/09/2020 11:30:23,1601379023416,13,30/09/2020 00:30:23,10169,131,questionnaire-k9m1,,6999621,5f11838f9df7fd51e03c7d03,2021256,,complete,,5f73134bac69de03801cb033,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,END QUESTIONNAIRE,11646
1,1601382304751,29/09/2020 12:25:04,1601382304591,1,29/09/2020 13:25:04,10169,131,questionnaire-k9m1,,7000340,5bcdaa50bdb0060001d4a4a8,2021584,,complete,,5f73254d8e33b8063ba613eb,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 85.0.4183.121,1920x1080,1920x968,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601382351944,29/09/2020 12:25:51,1601382351916,1,29/09/2020 13:25:51,10169,131,questionnaire-k9m1,,7000340,5bcdaa50bdb0060001d4a4a8,2021584,,complete,,5f73254d8e33b8063ba613eb,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 85.0.4183.121,1920x1080,1920x968,Test_Checkpoint,F-1. Distractor__Ins,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,END QUESTIONNAIRE,47325
1,1601467450410,30/09/2020 12:04:10,1601467450290,1,30/09/2020 13:04:10,10169,131,questionnaire-k9m1,,7016299,5cc1d40a0c244900013b90b2,2028960,,complete,,5f7473650ec0280164a365d0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1707x960,1707x818,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601467463520,30/09/2020 12:04:23,1601467463382,1,30/09/2020 13:04:23,10169,131,questionnaire-k9m1,,7016299,5cc1d40a0c244900013b90b2,2028960,,complete,,5f7473650ec0280164a365d0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1707x960,1691x818,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,END QUESTIONNAIRE,13092
1,1601467457646,30/09/2020 12:04:17,1601467459811,1,30/09/2020 13:04:19,10169,131,questionnaire-k9m1,,7016305,5f687d93fd2d5b04432c4661,2028959,,complete,,5f747366463b110117df6ebe,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1366x768,1366x696,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601467468286,30/09/2020 12:04:28,1601467470484,1,30/09/2020 13:04:30,10169,131,questionnaire-k9m1,,7016305,5f687d93fd2d5b04432c4661,2028959,,complete,,5f747366463b110117df6ebe,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1366x768,1349x696,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,END QUESTIONNAIRE,10673
1,1601467472177,30/09/2020 12:04:32,1601467472372,1,30/09/2020 13:04:32,10169,131,questionnaire-k9m1,,7016317,5e4feb8037713502e9ed364b,2028969,,complete,,5f74736f8769e4015c43df81,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,Test_Checkpoint,F-1. Distractor__Ins,13,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
