Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Randomise questionnaire elements?,Question Key,Response
1,1601374288871,29/09/2020 10:11:28,1601374288523,1,29/09/2020 11:11:28,10169,131,questionnaire-n6oe,,6998080,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,Test_Checkpoint,Y-2. RFBG Justifications,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601374407849,29/09/2020 10:13:27,1601374407569,1,29/09/2020 11:13:27,10169,131,questionnaire-n6oe,,6998080,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1519x722,Test_Checkpoint,Y-2. RFBG Justifications,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,rec_justification,I remembered seeing it in the test
3,1601374407943,29/09/2020 10:13:27,1601374407571,1,29/09/2020 11:13:27,10169,131,questionnaire-n6oe,,6998080,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1519x722,Test_Checkpoint,Y-2. RFBG Justifications,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,fam_justification,I recognised it so assumed I'd seen it in the test
4,1601374407943,29/09/2020 10:13:27,1601374407571,1,29/09/2020 11:13:27,10169,131,questionnaire-n6oe,,6998080,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1519x722,Test_Checkpoint,Y-2. RFBG Justifications,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,both_justification,I didn't really use this as recollection was my key aim
5,1601374407943,29/09/2020 10:13:27,1601374407571,1,29/09/2020 11:13:27,10169,131,questionnaire-n6oe,,6998080,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1519x722,Test_Checkpoint,Y-2. RFBG Justifications,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,guess_justification,Particularly word based items. They sounded familiar but couldn't be sure
6,1601374407943,29/09/2020 10:13:27,1601374407571,1,29/09/2020 11:13:27,10169,131,questionnaire-n6oe,,6998080,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1519x722,Test_Checkpoint,Y-2. RFBG Justifications,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,mem_skills_1,a lot better
7,1601374407943,29/09/2020 10:13:27,1601374407571,1,29/09/2020 11:13:27,10169,131,questionnaire-n6oe,,6998080,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1519x722,Test_Checkpoint,Y-2. RFBG Justifications,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,mem_skills_1-quantised,1
8,1601374407943,29/09/2020 10:13:27,1601374407571,1,29/09/2020 11:13:27,10169,131,questionnaire-n6oe,,6998080,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1519x722,Test_Checkpoint,Y-2. RFBG Justifications,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,mem_skills_2,a little worse
9,1601374407943,29/09/2020 10:13:27,1601374407571,1,29/09/2020 11:13:27,10169,131,questionnaire-n6oe,,6998080,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1519x722,Test_Checkpoint,Y-2. RFBG Justifications,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,mem_skills_2-quantised,4
10,1601374407943,29/09/2020 10:13:27,1601374407571,1,29/09/2020 11:13:27,10169,131,questionnaire-n6oe,,6998080,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1519x722,Test_Checkpoint,Y-2. RFBG Justifications,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,attention_check,a lot better
