Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Randomise questionnaire elements?,Question Key,Response
1,1601377307375,29/09/2020 11:01:47,1601377309580,1,29/09/2020 12:01:49,10169,131,questionnaire-nazt,,6998745,5ccb5e96bca87900161275c2,2021083,,complete,,5f731359e21e37048f451d37,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377333931,29/09/2020 11:02:13,1601377335768,1,29/09/2020 12:02:15,10169,131,questionnaire-nazt,,6998745,5ccb5e96bca87900161275c2,2021083,,complete,,5f731359e21e37048f451d37,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1519x722,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,END QUESTIONNAIRE,26188
1,1601377380909,29/09/2020 11:03:00,1601377379337,1,29/09/2020 12:02:59,10169,131,questionnaire-nazt,,6998787,5e643f7e142c3c1cb0dcfc45,2021095,,complete,,5f7313558e33b80486915659,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377401722,29/09/2020 11:03:21,1601377400168,1,29/09/2020 12:03:20,10169,131,questionnaire-nazt,,6998787,5e643f7e142c3c1cb0dcfc45,2021095,,complete,,5f7313558e33b80486915659,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x625,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,END QUESTIONNAIRE,20831
1,1601377791138,29/09/2020 11:09:51,1601377790438,1,29/09/2020 12:09:50,10169,131,questionnaire-nazt,,6998973,5d5af20d7d1e600001c0f202,2021139,,complete,,5f731427a3b3020487db600a,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1536x864,1536x754,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377824624,29/09/2020 11:10:24,1601377823975,1,29/09/2020 12:10:23,10169,131,questionnaire-nazt,,6998973,5d5af20d7d1e600001c0f202,2021139,,complete,,5f731427a3b3020487db600a,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1536x864,1519x754,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,END QUESTIONNAIRE,33537
1,1601378453162,29/09/2020 11:20:53,1601378452065,1,29/09/2020 12:20:52,10169,131,questionnaire-nazt,,6999425,5f26ad14db44f940a40c86dd,2021231,,complete,,5f731359e5d80e04368c1efb,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x610,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601378500965,29/09/2020 11:21:40,1601378499841,1,29/09/2020 12:21:39,10169,131,questionnaire-nazt,,6999425,5f26ad14db44f940a40c86dd,2021231,,complete,,5f731359e5d80e04368c1efb,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1263x610,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,END QUESTIONNAIRE,47776
1,1601378763436,29/09/2020 11:26:03,1601378763053,13,30/09/2020 00:26:03,10169,131,questionnaire-nazt,,6999534,5f11838f9df7fd51e03c7d03,2021256,,complete,,5f73134bac69de03801cb033,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601378788389,29/09/2020 11:26:28,1601378788046,13,30/09/2020 00:26:28,10169,131,questionnaire-nazt,,6999534,5f11838f9df7fd51e03c7d03,2021256,,complete,,5f73134bac69de03801cb033,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,END QUESTIONNAIRE,24993
