Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1601373610179,29/09/2020 10:00:10,1601373609864,1,29/09/2020 11:00:09,10169,131,task-6xh1,,6997916,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_5_grey_spreadsheet,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1601373614547,29/09/2020 10:00:14,1601373614210,1,29/09/2020 11:00:14,10169,131,task-6xh1,,6997916,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,1,1,1,check,script,force_advance,4332.058,,,,0,1,0,,,,,,fullscreen_check,,
3,1601373614922,29/09/2020 10:00:14,1601373614652,1,29/09/2020 11:00:14,10169,131,task-6xh1,,6997916,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,449.7459999999992,,,,0,1,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
4,1601373618594,29/09/2020 10:00:18,1601373618312,1,29/09/2020 11:00:18,10169,131,task-6xh1,,6997916,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,3,1,2,filler_start_stim,Zone1,response_button_image,3636.129999998957,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
5,1601373619452,29/09/2020 10:00:19,1601373619183,1,29/09/2020 11:00:19,10169,131,task-6xh1,,6997916,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449.76400000000103,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
6,1601373620898,29/09/2020 10:00:20,1601373620626,1,29/09/2020 11:00:20,10169,131,task-6xh1,,6997916,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,1430.3499999223277,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
7,1601373621795,29/09/2020 10:00:21,1601373621533,1,29/09/2020 11:00:21,10169,131,task-6xh1,,6997916,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,24,1,1,fixation,fixation,fixation,499.61699999999837,,,,0,1,0,,,,,2,study_5_grey,line-drawing.png,grey_line_trumpet.png
8,1601373623143,29/09/2020 10:00:23,1601373622842,1,29/09/2020 11:00:22,10169,131,task-6xh1,,6997916,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,24,1,2,stim_5_grey,Zone1,response_button_image,1282.6900000218302,,line-drawing.png,1,1,0,0,,,,,2,study_5_grey,line-drawing.png,grey_line_trumpet.png
9,1601373624025,29/09/2020 10:00:24,1601373623765,1,29/09/2020 11:00:23,10169,131,task-6xh1,,6997916,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,32,2,1,fixation,fixation,fixation,500.1129999999994,,,,0,1,0,,,,,2,study_5_grey,photograph.png,grey_photo_giraffe1.png
10,1601373625261,29/09/2020 10:00:25,1601373625000,1,29/09/2020 11:00:25,10169,131,task-6xh1,,6997916,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,32,2,2,stim_5_grey,buttonB,response_button_image,1222.6399999344721,,photograph.png,1,1,0,0,,,,,2,study_5_grey,photograph.png,grey_photo_giraffe1.png
