Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1601377436533,29/09/2020 11:03:56,1601377435042,1,29/09/2020 12:03:55,10169,131,task-hqih,,6998813,5d4c9a1c6c31b50017b80f9e,2021102,,complete,,5f73143b3dfd4703cae554af,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1601377437840,29/09/2020 11:03:57,1601377436337,1,29/09/2020 12:03:56,10169,131,task-hqih,,6998813,5d4c9a1c6c31b50017b80f9e,2021102,,complete,,5f73143b3dfd4703cae554af,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,1,1,1,check,script,force_advance,1283.657,,,,0,1,0,,,,,,fullscreen_check,,
3,1601377438274,29/09/2020 11:03:58,1601377436779,1,29/09/2020 12:03:56,10169,131,task-hqih,,6998813,5d4c9a1c6c31b50017b80f9e,2021102,,complete,,5f73143b3dfd4703cae554af,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,450.0419999999999,,,,0,1,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
4,1601377439187,29/09/2020 11:03:59,1601377437704,1,29/09/2020 12:03:57,10169,131,task-hqih,,6998813,5d4c9a1c6c31b50017b80f9e,2021102,,complete,,5f73143b3dfd4703cae554af,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,3,1,2,filler_start_stim,Zone1,response_button_image,912.8900000359863,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
5,1601377440061,29/09/2020 11:04:00,1601377438587,1,29/09/2020 12:03:58,10169,131,task-hqih,,6998813,5d4c9a1c6c31b50017b80f9e,2021102,,complete,,5f73143b3dfd4703cae554af,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,450.10699999999997,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
6,1601377440796,29/09/2020 11:04:00,1601377439314,1,29/09/2020 12:03:59,10169,131,task-hqih,,6998813,5d4c9a1c6c31b50017b80f9e,2021102,,complete,,5f73143b3dfd4703cae554af,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,718.1149999960326,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
7,1601377441717,29/09/2020 11:04:01,1601377440246,1,29/09/2020 12:04:00,10169,131,task-hqih,,6998813,5d4c9a1c6c31b50017b80f9e,2021102,,complete,,5f73143b3dfd4703cae554af,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,18,1,1,fixation,fixation,fixation,500.02800000000025,,,,0,1,0,,,,,2,study_1_grey,line-drawing.png,grey_line_socks.png
8,1601377442713,29/09/2020 11:04:02,1601377441233,1,29/09/2020 12:04:01,10169,131,task-hqih,,6998813,5d4c9a1c6c31b50017b80f9e,2021102,,complete,,5f73143b3dfd4703cae554af,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,18,1,2,stim_1_grey,Zone1,response_button_image,977.4249999900348,,line-drawing.png,1,1,0,0,,,,,2,study_1_grey,line-drawing.png,grey_line_socks.png
9,1601377443651,29/09/2020 11:04:03,1601377442171,1,29/09/2020 12:04:02,10169,131,task-hqih,,6998813,5d4c9a1c6c31b50017b80f9e,2021102,,complete,,5f73143b3dfd4703cae554af,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,35,2,1,fixation,fixation,fixation,500.03999999999996,,,,0,1,0,,,,,2,study_1_grey,photograph.png,grey_photo_drum1.png
10,1601377444527,29/09/2020 11:04:04,1601377443047,1,29/09/2020 12:04:03,10169,131,task-hqih,,6998813,5d4c9a1c6c31b50017b80f9e,2021102,,complete,,5f73143b3dfd4703cae554af,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,35,2,2,stim_1_grey,buttonB,response_button_image,865.860000019893,,photograph.png,1,1,0,0,,,,,2,study_1_grey,photograph.png,grey_photo_drum1.png
