Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
1,1601373788897,29/09/2020 10:03:08,1601373788568,1,29/09/2020 11:03:08,10169,131,task-qd98,,6997947,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,Distractor__Spreadsheet,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1601373791123,29/09/2020 10:03:11,1601373790769,1,29/09/2020 11:03:10,10169,131,task-qd98,,6997947,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,1,1,1,Check,script,force_advance,2182.728,,,,0,1,0,,,,,,FullscreenCheck,,,,,,,,,,,
3,1601373795043,29/09/2020 10:03:15,1601373794745,1,29/09/2020 11:03:14,10169,131,task-qd98,,6997947,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,10,1,1,Questions,buttonA,response_button_text,3865.78999995254,,21,1,1,0,0,,,,,1,MathQ,21,<h4>3 x 7 =</h4>,1,21,24,18,19,correct_1,total_1,incorrect_1,<h4>21</h4>
4,1601373796008,29/09/2020 10:03:16,1601373795708,1,29/09/2020 11:03:15,10169,131,task-qd98,,6997947,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,10,1,3,Correct,Zone7,timelimit_screen,999.8630000000003,,,,0,1,0,,,1,,1,MathQ,21,<h4>3 x 7 =</h4>,1,21,24,18,19,correct_1,total_1,incorrect_1,<h4>21</h4>
5,1601373796071,29/09/2020 10:03:16,1601373795725,1,29/09/2020 11:03:15,10169,131,task-qd98,,6997947,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,10,1,4,Blank,Zone1,timelimit_screen,16.377000000000407,,,,0,1,0,,,1,,1,MathQ,21,<h4>3 x 7 =</h4>,1,21,24,18,19,correct_1,total_1,incorrect_1,<h4>21</h4>
6,1601373797732,29/09/2020 10:03:17,1601373797454,1,29/09/2020 11:03:17,10169,131,task-qd98,,6997947,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,4,2,1,Questions,buttonA,response_button_text,1683.115000021644,,16,1,1,0,0,,,,,1,MathQ,16,<h4>4 x 4 =</h4>,1,16,18,12,20,correct_1,total_1,incorrect_1,<h4>16</h4>
7,1601373798719,29/09/2020 10:03:18,1601373798441,1,29/09/2020 11:03:18,10169,131,task-qd98,,6997947,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,4,2,3,Correct,Zone7,timelimit_screen,999.598,,,,0,1,0,,,1,,1,MathQ,16,<h4>4 x 4 =</h4>,1,16,18,12,20,correct_1,total_1,incorrect_1,<h4>16</h4>
8,1601373798797,29/09/2020 10:03:18,1601373798459,1,29/09/2020 11:03:18,10169,131,task-qd98,,6997947,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,4,2,4,Blank,Zone1,timelimit_screen,16.466999999998734,,,,0,1,0,,,1,,1,MathQ,16,<h4>4 x 4 =</h4>,1,16,18,12,20,correct_1,total_1,incorrect_1,<h4>16</h4>
9,1601373801884,29/09/2020 10:03:21,1601373801579,1,29/09/2020 11:03:21,10169,131,task-qd98,,6997947,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,2,3,1,Questions,buttonA,response_button_text,3049.3849999038503,,18,1,1,0,0,,,,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
10,1601373802858,29/09/2020 10:03:22,1601373802573,1,29/09/2020 11:03:22,10169,131,task-qd98,,6997947,5d923f41e019d1001c713e2b,2020709,,complete,,5f7304f4a9aae4027aab187a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x864,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,2,3,3,Correct,Zone7,timelimit_screen,999.8810000000012,,,,0,1,0,,,1,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
