Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1592270428612,16/06/2020 01:20:28,1592270428485,-5,15/06/2020 20:20:28,19134,4,questionnaire-vwz9,,5624362,4apm5q99,1571142,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x941,Test_Checkpoint,F-1. Distractor__Ins,13,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,BEGIN QUESTIONNAIRE,
2,1592270439030,16/06/2020 01:20:39,1592270438982,-5,15/06/2020 20:20:38,19134,4,questionnaire-vwz9,,5624362,4apm5q99,1571142,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1903x941,Test_Checkpoint,F-1. Distractor__Ins,13,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,END QUESTIONNAIRE,10497
1,1593039260449,24/06/2020 22:54:20,1593039258873,1,24/06/2020 23:54:18,19134,4,questionnaire-vwz9,,5772164,ovae8iz2,1617183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,2560x1440,2560x1298,Test_Checkpoint,F-1. Distractor__Ins,13,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,BEGIN QUESTIONNAIRE,
2,1593039266901,24/06/2020 22:54:26,1593039265374,1,24/06/2020 23:54:25,19134,4,questionnaire-vwz9,,5772164,ovae8iz2,1617183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,2560x1440,2560x1298,Test_Checkpoint,F-1. Distractor__Ins,13,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,END QUESTIONNAIRE,6501
1,1594583554959,12/07/2020 19:52:34,1594583557243,-6,12/07/2020 13:52:37,19134,4,questionnaire-vwz9,,6017358,t9xbvpq5,1699794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1368x912,1368x802,Test_Checkpoint,F-1. Distractor__Ins,13,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,BEGIN QUESTIONNAIRE,
2,1594583592032,12/07/2020 19:53:12,1594583594397,-6,12/07/2020 13:53:14,19134,4,questionnaire-vwz9,,6017358,t9xbvpq5,1699794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1368x912,1351x802,Test_Checkpoint,F-1. Distractor__Ins,13,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,END QUESTIONNAIRE,37154
1,1594745767713,14/07/2020 16:56:07,1594745767614,-3,14/07/2020 13:56:07,19134,4,questionnaire-vwz9,,6054410,hyd1xem6,1709762,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.116,1440x900,1440x821,Test_Checkpoint,F-1. Distractor__Ins,13,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,BEGIN QUESTIONNAIRE,
2,1594745894754,14/07/2020 16:58:14,1594745894685,-3,14/07/2020 13:58:14,19134,4,questionnaire-vwz9,,6054410,hyd1xem6,1709762,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.116,1440x900,1440x821,Test_Checkpoint,F-1. Distractor__Ins,13,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,END QUESTIONNAIRE,127071
1,1597270189831,12/08/2020 22:09:49,1597270190113,-3,12/08/2020 19:09:50,19134,4,questionnaire-vwz9,,6474634,5zwy7n72,1846401,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.125,1536x864,1536x722,Test_Checkpoint,F-1. Distractor__Ins,13,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,BEGIN QUESTIONNAIRE,
2,1597270207651,12/08/2020 22:10:07,1597270208026,-3,12/08/2020 19:10:08,19134,4,questionnaire-vwz9,,6474634,5zwy7n72,1846401,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.125,1536x864,1519x722,Test_Checkpoint,F-1. Distractor__Ins,13,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,END QUESTIONNAIRE,17913
