Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1593039102651,24/06/2020 22:51:42,1593039101058,1,24/06/2020 23:51:41,19134,4,task-6t6c,,5772157,ovae8iz2,1617183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,2560x1440,2560x1298,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1593039104679,24/06/2020 22:51:44,1593039103147,1,24/06/2020 23:51:43,19134,4,task-6t6c,,5772157,ovae8iz2,1617183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,2560x1440,2560x1298,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,1,1,1,check,script,force_advance,2066.772,,,,0,1,0,,,,,,fullscreen_check,,
3,1593039105136,24/06/2020 22:51:45,1593039103581,1,24/06/2020 23:51:43,19134,4,task-6t6c,,5772157,ovae8iz2,1617183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,2560x1440,2560x1440,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,2,1,1,filler_start_fixation,fixation,fixation,450.009,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
4,1593039106632,24/06/2020 22:51:46,1593039105127,1,24/06/2020 23:51:45,19134,4,task-6t6c,,5772157,ovae8iz2,1617183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,2560x1440,2560x1440,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,2,1,2,filler_start_stim,buttonA,response_button_image,1535.7599999988452,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
5,1593039107512,24/06/2020 22:51:47,1593039105998,1,24/06/2020 23:51:45,19134,4,task-6t6c,,5772157,ovae8iz2,1617183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,2560x1440,2560x1440,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,3,2,1,filler_start_fixation,fixation,fixation,450.02800000000025,,,,0,1,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
6,1593039108653,24/06/2020 22:51:48,1593039107143,1,24/06/2020 23:51:47,19134,4,task-6t6c,,5772157,ovae8iz2,1617183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,2560x1440,2560x1440,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,3,2,2,filler_start_stim,Zone1,response_button_image,1133.5049999979674,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
7,1593039109570,24/06/2020 22:51:49,1593039108064,1,24/06/2020 23:51:48,19134,4,task-6t6c,,5772157,ovae8iz2,1617183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,2560x1440,2560x1440,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,18,1,1,fixation,fixation,fixation,500.0100000000002,,,,0,1,0,,,,,2,study_6_grey,line-drawing.png,grey_line_jacket.png
8,1593039110433,24/06/2020 22:51:50,1593039108899,1,24/06/2020 23:51:48,19134,4,task-6t6c,,5772157,ovae8iz2,1617183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,2560x1440,2560x1440,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,18,1,2,stim_6_grey,Zone1,response_button_image,825.5449999996927,,line-drawing.png,1,1,0,0,,,,,2,study_6_grey,line-drawing.png,grey_line_jacket.png
9,1593039111324,24/06/2020 22:51:51,1593039109815,1,24/06/2020 23:51:49,19134,4,task-6t6c,,5772157,ovae8iz2,1617183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,2560x1440,2560x1440,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,25,2,1,fixation,fixation,fixation,500.04399999999987,,,,0,1,0,,,,,2,study_6_grey,photograph.png,grey_photo_doll1.png
10,1593039113097,24/06/2020 22:51:53,1593039111595,1,24/06/2020 23:51:51,19134,4,task-6t6c,,5772157,ovae8iz2,1617183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,2560x1440,2560x1440,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,25,2,2,stim_6_grey,buttonB,response_button_image,1767.8850000011153,,photograph.png,1,1,0,0,,,,,2,study_6_grey,photograph.png,grey_photo_doll1.png
