Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1591466204799,06/06/2020 17:56:44,1591466204675,-3,06/06/2020 14:56:44,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1324x760,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1591466207949,06/06/2020 17:56:47,1591466207862,-3,06/06/2020 14:56:47,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1324x760,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,1,1,1,check,script,force_advance,3099,,,,0,1,0,,,,,,fullscreen_check,,
3,1591466208402,06/06/2020 17:56:48,1591466208325,-3,06/06/2020 14:56:48,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,2,1,1,filler_start_fixation,fixation,fixation,483,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
4,1591466210405,06/06/2020 17:56:50,1591466210335,-3,06/06/2020 14:56:50,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,2,1,2,filler_start_stim,buttonA,response_button_image,1989.000000000001,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
5,1591466211467,06/06/2020 17:56:51,1591466211191,-3,06/06/2020 14:56:51,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,3,2,1,filler_start_fixation,fixation,fixation,449,,,,0,1,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
6,1591466214414,06/06/2020 17:56:54,1591466214352,-3,06/06/2020 14:56:54,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,3,2,2,filler_start_stim,Zone1,response_button_image,3141,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
7,1591466215341,06/06/2020 17:56:55,1591466215259,-3,06/06/2020 14:56:55,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,18,1,1,fixation,fixation,fixation,500,,,,0,1,0,,,,,2,study_5_grey,line-drawing.png,grey_line_shoe.png
8,1591466216437,06/06/2020 17:56:56,1591466216365,-3,06/06/2020 14:56:56,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,18,1,2,stim_5_grey,Zone1,response_button_image,1091,,line-drawing.png,1,1,0,0,,,,,2,study_5_grey,line-drawing.png,grey_line_shoe.png
9,1591466217345,06/06/2020 17:56:57,1591466217276,-3,06/06/2020 14:56:57,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,12,2,1,fixation,fixation,fixation,500,,,,0,1,0,,,,,2,study_5_grey,line-drawing.png,grey_line_lobster.png
10,1591466218767,06/06/2020 17:56:58,1591466218682,-3,06/06/2020 14:56:58,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,12,2,2,stim_5_grey,Zone1,response_button_image,1390.9999999999982,,line-drawing.png,1,1,0,0,,,,,2,study_5_grey,line-drawing.png,grey_line_lobster.png
