Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1591587440928,08/06/2020 03:37:20,1591587439596,-5,07/06/2020 22:37:19,19134,4,task-gb72,,5463169,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x969,Test_Checkpoint,E-4. Study_4_GREY,4,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1591587443866,08/06/2020 03:37:23,1591587442557,-5,07/06/2020 22:37:22,19134,4,task-gb72,,5463169,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x969,Test_Checkpoint,E-4. Study_4_GREY,4,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_4_grey_spreadsheet,1,1,1,check,script,force_advance,2950.062,,,,0,1,0,,,,,,fullscreen_check,,
3,1591587444288,08/06/2020 03:37:24,1591587442997,-5,07/06/2020 22:37:22,19134,4,task-gb72,,5463169,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,E-4. Study_4_GREY,4,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_4_grey_spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,449.9849999999997,,,,0,1,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
4,1591587445757,08/06/2020 03:37:25,1591587444447,-5,07/06/2020 22:37:24,19134,4,task-gb72,,5463169,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,E-4. Study_4_GREY,4,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_4_grey_spreadsheet,3,1,2,filler_start_stim,Zone1,response_button_image,1438.9299999456853,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
5,1591587446616,08/06/2020 03:37:26,1591587445315,-5,07/06/2020 22:37:25,19134,4,task-gb72,,5463169,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,E-4. Study_4_GREY,4,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_4_grey_spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449.9980000000005,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
6,1591587447512,08/06/2020 03:37:27,1591587446217,-5,07/06/2020 22:37:26,19134,4,task-gb72,,5463169,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,E-4. Study_4_GREY,4,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_4_grey_spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,891.8549999361858,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
7,1591587448434,08/06/2020 03:37:28,1591587447131,-5,07/06/2020 22:37:27,19134,4,task-gb72,,5463169,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,E-4. Study_4_GREY,4,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_4_grey_spreadsheet,13,1,1,fixation,fixation,fixation,499.97300000000087,,,,0,1,0,,,,,2,study_4_grey,line-drawing.png,grey_line_guitar.png
8,1591587449778,08/06/2020 03:37:29,1591587448478,-5,07/06/2020 22:37:28,19134,4,task-gb72,,5463169,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,E-4. Study_4_GREY,4,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_4_grey_spreadsheet,13,1,2,stim_4_grey,Zone1,response_button_image,1322.054999996908,,line-drawing.png,1,1,0,0,,,,,2,study_4_grey,line-drawing.png,grey_line_guitar.png
9,1591587450715,08/06/2020 03:37:30,1591587449397,-5,07/06/2020 22:37:29,19134,4,task-gb72,,5463169,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,E-4. Study_4_GREY,4,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_4_grey_spreadsheet,50,2,1,fixation,fixation,fixation,499.8719999999994,,,,0,1,0,,,,,2,study_4_grey,word.png,word_kettle.png
10,1591587452077,08/06/2020 03:37:32,1591587450773,-5,07/06/2020 22:37:30,19134,4,task-gb72,,5463169,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,E-4. Study_4_GREY,4,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_4_grey_spreadsheet,50,2,2,stim_4_grey,buttonA,response_button_image,1368.335000006482,,word.png,1,1,0,0,,,,,2,study_4_grey,word.png,word_kettle.png
