Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1592270270619,16/06/2020 01:17:50,1592270270491,-5,15/06/2020 20:17:50,19134,4,task-zde5,,5624349,4apm5q99,1571142,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x941,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1592270272994,16/06/2020 01:17:52,1592270272942,-5,15/06/2020 20:17:52,19134,4,task-zde5,,5624349,4apm5q99,1571142,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x941,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,1,1,1,check,script,force_advance,2433.574,,,,0,1,0,,,,,,fullscreen_check,,
3,1592270273463,16/06/2020 01:17:53,1592270273393,-5,15/06/2020 20:17:53,19134,4,task-zde5,,5624349,4apm5q99,1571142,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x1080,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,466.59900000000016,,,,0,1,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
4,1592270275198,16/06/2020 01:17:55,1592270275151,-5,15/06/2020 20:17:55,19134,4,task-zde5,,5624349,4apm5q99,1571142,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x1080,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,3,1,2,filler_start_stim,Zone1,response_button_image,1739.78999996325,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
5,1592270276060,16/06/2020 01:17:56,1592270276008,-5,15/06/2020 20:17:56,19134,4,task-zde5,,5624349,4apm5q99,1571142,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x1080,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449.70899999999983,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
6,1592270277562,16/06/2020 01:17:57,1592270277528,-5,15/06/2020 20:17:57,19134,4,task-zde5,,5624349,4apm5q99,1571142,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x1080,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,1509.920000040438,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
7,1592270278484,16/06/2020 01:17:58,1592270278442,-5,15/06/2020 20:17:58,19134,4,task-zde5,,5624349,4apm5q99,1571142,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x1080,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,65,1,1,fixation,fixation,fixation,500.2420000000002,,,,0,1,0,,,,,2,study_3_grey,word.png,word_violin.png
8,1592270279703,16/06/2020 01:17:59,1592270279664,-5,15/06/2020 20:17:59,19134,4,task-zde5,,5624349,4apm5q99,1571142,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x1080,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,65,1,2,stim_3_grey,buttonA,response_button_image,1207.620000001043,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_violin.png
9,1592270280625,16/06/2020 01:18:00,1592270280576,-5,15/06/2020 20:18:00,19134,4,task-zde5,,5624349,4apm5q99,1571142,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x1080,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,10,2,1,fixation,fixation,fixation,499.987000000001,,,,0,1,0,,,,,2,study_3_grey,line-drawing.png,grey_line_camel.png
10,1592270281874,16/06/2020 01:18:01,1592270281822,-5,15/06/2020 20:18:01,19134,4,task-zde5,,5624349,4apm5q99,1571142,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x1080,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,10,2,2,stim_3_grey,Zone1,response_button_image,1234.1000000014901,,line-drawing.png,1,1,0,0,,,,,2,study_3_grey,line-drawing.png,grey_line_camel.png
