Trial,Subject,Phase,Stimulus,Stimulus Type,Probe,Probe Type,Response,Accuracy,RT
2,PSE-129,Study,owl,BW_Picture,none,none,none,-1,-1
5,PSE-129,Study,shoe,BW_Picture,none,none,none,-1,-1
6,PSE-129,Study,purse,BW_Picture,none,none,none,-1,-1
21,PSE-129,Study,horse,BW_Picture,none,none,none,-1,-1
23,PSE-129,Study,corn,BW_Picture,none,none,none,-1,-1
27,PSE-129,Study,basket,BW_Picture,none,none,none,-1,-1
29,PSE-129,Study,axe,BW_Picture,none,none,none,-1,-1
31,PSE-129,Study,bed,BW_Picture,none,none,none,-1,-1
34,PSE-129,Study,mountain,BW_Picture,none,none,none,-1,-1
39,PSE-129,Study,paintbrush,BW_Picture,none,none,none,-1,-1
3,PSE-129,Study,violin,BW_Word,none,none,none,-1,-1
11,PSE-129,Study,couch,BW_Word,none,none,none,-1,-1
12,PSE-129,Study,chicken,BW_Word,none,none,none,-1,-1
14,PSE-129,Study,balloon,BW_Word,none,none,none,-1,-1
16,PSE-129,Study,belt,BW_Word,none,none,none,-1,-1
19,PSE-129,Study,motorcycle,BW_Word,none,none,none,-1,-1
20,PSE-129,Study,pineapple,BW_Word,none,none,none,-1,-1
25,PSE-129,Study,iron,BW_Word,none,none,none,-1,-1
28,PSE-129,Study,pitcher,BW_Word,none,none,none,-1,-1
38,PSE-129,Study,lightbulb,BW_Word,none,none,none,-1,-1
4,PSE-129,Study,bat,Colour_Picture,none,none,none,-1,-1
9,PSE-129,Study,tortoise,Colour_Picture,none,none,none,-1,-1
15,PSE-129,Study,grapes,Colour_Picture,none,none,none,-1,-1
17,PSE-129,Study,potato,Colour_Picture,none,none,none,-1,-1
22,PSE-129,Study,kangaroo,Colour_Picture,none,none,none,-1,-1
24,PSE-129,Study,penguin,Colour_Picture,none,none,none,-1,-1
26,PSE-129,Study,pepper,Colour_Picture,none,none,none,-1,-1
32,PSE-129,Study,spool,Colour_Picture,none,none,none,-1,-1
35,PSE-129,Study,sweater,Colour_Picture,none,none,none,-1,-1
36,PSE-129,Study,bowl,Colour_Picture,none,none,none,-1,-1
