Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1606400669587,26/11/2020 14:24:29,1606400668693,0,26/11/2020 14:24:28,30809,11,task-peds,,8134754,14474,2420038,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1603x902,1604x792,Test finished,Purple A - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_A,,,,,,,Purple A: study finished,,Distractor finished,,,,,,,PurpleA-Study-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1606400671760,26/11/2020 14:24:31,1606400670750,0,26/11/2020 14:24:30,30809,11,task-peds,,8134754,14474,2420038,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1603x902,1604x792,Test finished,Purple A - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_A,,,,,,,Purple A: study finished,,Distractor finished,,,,,,,PurpleA-Study-Spreadsheet,PurpleA-Study-Spreadsheet,1,1,1,check,script,force_advance,2048.634,,,,,0,1,0,,,,,,fullscreen_check,,
3,1606400672088,26/11/2020 14:24:32,1606400671220,0,26/11/2020 14:24:31,30809,11,task-peds,,8134754,14474,2420038,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1603x902,1604x902,Test finished,Purple A - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_A,,,,,,,Purple A: study finished,,Distractor finished,,,,,,,PurpleA-Study-Spreadsheet,PurpleA-Study-Spreadsheet,2,1,1,filler_start_fixation,fixation,fixation,482.9200000000001,,,,,0,1,0,,,,,1,purple_A_study_filler_start,drawing.png,cake--col-drawing.png
4,1606400673978,26/11/2020 14:24:33,1606400673107,0,26/11/2020 14:24:33,30809,11,task-peds,,8134754,14474,2420038,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1603x902,1604x902,Test finished,Purple A - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_A,,,,,,,Purple A: study finished,,Distractor finished,,,,,,,PurpleA-Study-Spreadsheet,PurpleA-Study-Spreadsheet,2,1,2,filler_start_stim,Zone2,response_button_image,1842.644999967888,,,drawing.png,1,1,0,0,,,,,1,purple_A_study_filler_start,drawing.png,cake--col-drawing.png
5,1606400675474,26/11/2020 14:24:35,1606400673967,0,26/11/2020 14:24:33,30809,11,task-peds,,8134754,14474,2420038,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1603x902,1604x902,Test finished,Purple A - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_A,,,,,,,Purple A: study finished,,Distractor finished,,,,,,,PurpleA-Study-Spreadsheet,PurpleA-Study-Spreadsheet,3,2,1,filler_start_fixation,fixation,fixation,449.58799999999974,,,,,0,1,0,,,,,1,purple_A_study_filler_start,photo.png,stool--grey-photo.png
6,1606400676584,26/11/2020 14:24:36,1606400675609,0,26/11/2020 14:24:35,30809,11,task-peds,,8134754,14474,2420038,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1603x902,1604x902,Test finished,Purple A - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_A,,,,,,,Purple A: study finished,,Distractor finished,,,,,,,PurpleA-Study-Spreadsheet,PurpleA-Study-Spreadsheet,3,2,2,filler_start_stim,Zone1,response_button_image,1600.464999966789,,,photo.png,1,1,0,0,,,,,1,purple_A_study_filler_start,photo.png,stool--grey-photo.png
7,1606400677411,26/11/2020 14:24:37,1606400676515,0,26/11/2020 14:24:36,30809,11,task-peds,,8134754,14474,2420038,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1603x902,1604x902,Test finished,Purple A - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_A,,,,,,,Purple A: study finished,,Distractor finished,,,,,,,PurpleA-Study-Spreadsheet,PurpleA-Study-Spreadsheet,24,1,1,fixation,fixation,fixation,500.15099999999984,,,,,0,1,0,,,,,2,purple_A_study,drawing.png,flag--grey-drawing.png
8,1606400678287,26/11/2020 14:24:38,1606400677331,0,26/11/2020 14:24:37,30809,11,task-peds,,8134754,14474,2420038,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1603x902,1604x902,Test finished,Purple A - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_A,,,,,,,Purple A: study finished,,Distractor finished,,,,,,,PurpleA-Study-Spreadsheet,PurpleA-Study-Spreadsheet,24,1,2,study_stim,Zone1,response_button_image,770.1649999944493,,,photo.png,1,0,1,0,,,,,2,purple_A_study,drawing.png,flag--grey-drawing.png
9,1606400679115,26/11/2020 14:24:39,1606400678247,0,26/11/2020 14:24:38,30809,11,task-peds,,8134754,14474,2420038,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1603x902,1604x902,Test finished,Purple A - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_A,,,,,,,Purple A: study finished,,Distractor finished,,,,,,,PurpleA-Study-Spreadsheet,PurpleA-Study-Spreadsheet,47,2,1,fixation,fixation,fixation,500.1040000000012,,,,,0,1,0,,,,,2,purple_A_study,photo.png,potato--grey-photo.png
10,1606400685334,26/11/2020 14:24:45,1606400684414,0,26/11/2020 14:24:44,30809,11,task-peds,,8134754,14474,2420038,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1603x902,1604x902,Test finished,Purple A - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_A,,,,,,,Purple A: study finished,,Distractor finished,,,,,,,PurpleA-Study-Spreadsheet,PurpleA-Study-Spreadsheet,47,2,2,study_stim,Zone2,response_button_image,6122.089999960735,,,drawing.png,1,0,1,0,,,,,2,purple_A_study,photo.png,potato--grey-photo.png
