Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1606403558023,26/11/2020 15:12:38,1606403557535,0,26/11/2020 15:12:37,30809,11,task-wynt,,8137038,14702,2420856,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 86.0.622.69,1280x720,1280x610,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1606403559820,26/11/2020 15:12:39,1606403559437,0,26/11/2020 15:12:39,30809,11,task-wynt,,8137038,14702,2420856,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 86.0.622.69,1280x720,1280x610,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,1,1,1,check,script,force_advance,1898.3940000000002,,,,,0,1,0,,,,,,fullscreen_check,,
3,1606403560805,26/11/2020 15:12:40,1606403560320,0,26/11/2020 15:12:40,30809,11,task-wynt,,8137038,14702,2420856,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 86.0.622.69,1280x720,1280x720,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,2,1,1,filler_start_fixation,fixation,fixation,450.0949999999998,,,,,0,1,0,,,,,1,blue_A_study_filler_start,drawing.png,cake--grey-drawing.png
4,1606403562992,26/11/2020 15:12:42,1606403562606,0,26/11/2020 15:12:42,30809,11,task-wynt,,8137038,14702,2420856,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 86.0.622.69,1280x720,1280x720,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,2,1,2,filler_start_stim,Zone2,response_button_image,2203.179999953136,,,drawing.png,1,1,0,0,,,,,1,blue_A_study_filler_start,drawing.png,cake--grey-drawing.png
5,1606403563913,26/11/2020 15:12:43,1606403563484,0,26/11/2020 15:12:43,30809,11,task-wynt,,8137038,14702,2420856,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 86.0.622.69,1280x720,1280x720,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,3,2,1,filler_start_fixation,fixation,fixation,449.41600000000017,,,,,0,1,0,,,,,1,blue_A_study_filler_start,drawing.png,stool--col-drawing.png
6,1606403566883,26/11/2020 15:12:46,1606403566488,0,26/11/2020 15:12:46,30809,11,task-wynt,,8137038,14702,2420856,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 86.0.622.69,1280x720,1280x720,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,3,2,2,filler_start_stim,Zone2,response_button_image,2952.9749997891486,,,drawing.png,1,1,0,0,,,,,1,blue_A_study_filler_start,drawing.png,stool--col-drawing.png
7,1606403567820,26/11/2020 15:12:47,1606403567412,0,26/11/2020 15:12:47,30809,11,task-wynt,,8137038,14702,2420856,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 86.0.622.69,1280x720,1280x720,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,35,1,1,fixation,fixation,fixation,499.40099999999984,,,,,0,1,0,,,,,2,blue_A_study,drawing.png,tree--col-drawing.png
8,1606403569338,26/11/2020 15:12:49,1606403568951,0,26/11/2020 15:12:48,30809,11,task-wynt,,8137038,14702,2420856,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 86.0.622.69,1280x720,1280x720,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,35,1,2,study_stim,Zone2,response_button_image,1475.3349998500198,,,drawing.png,1,1,0,0,,,,,2,blue_A_study,drawing.png,tree--col-drawing.png
9,1606403570260,26/11/2020 15:12:50,1606403569876,0,26/11/2020 15:12:49,30809,11,task-wynt,,8137038,14702,2420856,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 86.0.622.69,1280x720,1280x720,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,57,2,1,fixation,fixation,fixation,499.4879999999994,,,,,0,1,0,,,,,2,blue_A_study,photo.png,doll--col-photo.png
10,1606403572151,26/11/2020 15:12:52,1606403571751,0,26/11/2020 15:12:51,30809,11,task-wynt,,8137038,14702,2420856,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 86.0.622.69,1280x720,1280x720,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,57,2,2,study_stim,Zone1,response_button_image,1829.6350000891834,,,photo.png,1,1,0,0,,,,,2,blue_A_study,photo.png,doll--col-photo.png
