Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
1,1607031706749,03/12/2020 21:41:46,1607031706678,0,03/12/2020 21:41:46,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x385,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1607031707814,03/12/2020 21:41:47,1607031707752,0,03/12/2020 21:41:47,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x385,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,1,1,1,check,script,force_advance,1050.255,,,,,0,1,0,,,,,,fullscreen_check,,
3,1607031708267,03/12/2020 21:41:48,1607031708238,0,03/12/2020 21:41:48,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,2,1,1,Screen 1,fixation,fixation,499.547,,,,,0,1,0,,,,,,fixation,,
4,1607031711507,03/12/2020 21:41:51,1607031711468,0,03/12/2020 21:41:51,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,3,1,1,OldNew,old,response_button_image,3188.3649999508634,,,old.png,1,0,1,0,,,,,1,filler,cake--col-drawing.png,new.png
5,1607031713007,03/12/2020 21:41:53,1607031712981,0,03/12/2020 21:41:52,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,3,1,2,RFG,old,response_button_image,1288.725000107661,,,recollection.png,1,0,1,0,,,,,1,filler,cake--col-drawing.png,new.png
6,1607031713710,03/12/2020 21:41:53,1607031713686,0,03/12/2020 21:41:53,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,3,1,3,Fixation,fixation,fixation,500.41399999999976,,,,,0,1,0,,,,,1,filler,cake--col-drawing.png,new.png
7,1607031715117,03/12/2020 21:41:55,1607031715081,0,03/12/2020 21:41:55,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,6,2,1,OldNew,old,response_button_image,1381.6250000381842,,,old.png,1,0,1,0,,,,,1,filler,ashtray--col-photo.png,new.png
8,1607031715904,03/12/2020 21:41:55,1607031715878,0,03/12/2020 21:41:55,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,6,2,2,RFG,old,response_button_image,578.9400000358,,,recollection.png,1,0,1,0,,,,,1,filler,ashtray--col-photo.png,new.png
9,1607031716610,03/12/2020 21:41:56,1607031716586,0,03/12/2020 21:41:56,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,6,2,3,Fixation,fixation,fixation,500.3169999999991,,,,,0,1,0,,,,,1,filler,ashtray--col-photo.png,new.png
10,1607031717995,03/12/2020 21:41:57,1607031717973,0,03/12/2020 21:41:57,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,5,3,1,OldNew,old,response_button_image,1369.7950000641868,,,old.png,1,0,1,0,,,,,1,filler,broom--grey-drawing.png,new.png
