Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
1,1607069725912,04/12/2020 08:15:25,1607069726099,0,04/12/2020 08:15:26,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x850,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1607069728383,04/12/2020 08:15:28,1607069728529,0,04/12/2020 08:15:28,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x850,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,1,1,1,check,script,force_advance,2418.553,,,,,0,1,0,,,,,,fullscreen_check,,
3,1607069728789,04/12/2020 08:15:28,1607069729022,0,04/12/2020 08:15:29,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,2,1,1,Screen 1,fixation,fixation,500.32400000000007,,,,,0,1,0,,,,,,fixation,,
4,1607069731652,04/12/2020 08:15:31,1607069731901,0,04/12/2020 08:15:31,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,6,1,1,OldNew,old,response_button_image,2790.5000001192093,,,old.png,1,0,1,0,,,,,1,filler,ashtray--grey-word.png,new.png
5,1607069734107,04/12/2020 08:15:34,1607069734348,0,04/12/2020 08:15:34,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,6,1,2,RFG,Zone1,response_button_image,2185.2400000207126,,,familiarity.png,1,0,1,0,,,,,1,filler,ashtray--grey-word.png,new.png
6,1607069734795,04/12/2020 08:15:34,1607069735042,0,04/12/2020 08:15:35,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,6,1,3,Fixation,fixation,fixation,500.3580000000002,,,,,0,1,0,,,,,1,filler,ashtray--grey-word.png,new.png
7,1607069736598,04/12/2020 08:15:36,1607069736850,0,04/12/2020 08:15:36,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,7,2,1,OldNew,new,response_button_image,1724.5100000873208,,,new.png,1,1,0,0,,,,,1,filler,candle--distinctive-word.png,new.png
8,1607069737301,04/12/2020 08:15:37,1607069737543,0,04/12/2020 08:15:37,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,7,2,3,Fixation,fixation,fixation,500.46099999999933,,,,,0,1,0,,,,,1,filler,candle--distinctive-word.png,new.png
9,1607069738980,04/12/2020 08:15:38,1607069739187,0,04/12/2020 08:15:39,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,5,3,1,OldNew,old,response_button_image,1587.529999902472,,,old.png,1,0,1,0,,,,,1,filler,broom--col-drawing.png,new.png
10,1607069743797,04/12/2020 08:15:43,1607069744040,0,04/12/2020 08:15:44,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,5,3,2,RFG,old,response_button_image,4627.6899999938905,,,recollection.png,1,0,1,0,,,,,1,filler,broom--col-drawing.png,new.png
11,1607069744500,04/12/2020 08:15:44,1607069744732,0,04/12/2020 08:15:44,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,5,3,3,Fixation,fixation,fixation,500.38600000000224,,,,,0,1,0,,,,,1,filler,broom--col-drawing.png,new.png
12,1607069746229,04/12/2020 08:15:46,1607069746481,0,04/12/2020 08:15:46,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,4,4,1,OldNew,old,response_button_image,1680.1650000270456,,,old.png,1,0,1,0,,,,,1,filler,stool--col-photo.png,new.png
13,1607069747395,04/12/2020 08:15:47,1607069747643,0,04/12/2020 08:15:47,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,4,4,2,RFG,Zone1,response_button_image,910.1650000084192,,,familiarity.png,1,0,1,0,,,,,1,filler,stool--col-photo.png,new.png
14,1607069748082,04/12/2020 08:15:48,1607069748335,0,04/12/2020 08:15:48,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,4,4,3,Fixation,fixation,fixation,500.41400000000067,,,,,0,1,0,,,,,1,filler,stool--col-photo.png,new.png
15,1607069749826,04/12/2020 08:15:49,1607069750067,0,04/12/2020 08:15:50,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,10,5,1,OldNew,new,response_button_image,1666.590000037104,,,new.png,1,1,0,0,,,,,1,filler,dresser--grey-drawing.png,new.png
16,1607069750529,04/12/2020 08:15:50,1607069750770,0,04/12/2020 08:15:50,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,10,5,3,Fixation,fixation,fixation,500.42099999999846,,,,,0,1,0,,,,,1,filler,dresser--grey-drawing.png,new.png
17,1607069752094,04/12/2020 08:15:52,1607069752346,0,04/12/2020 08:15:52,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,8,6,1,OldNew,new,response_button_image,1485.0600000936538,,,new.png,1,1,0,0,,,,,1,filler,apple--grey-drawing.png,new.png
18,1607069752798,04/12/2020 08:15:52,1607069753039,0,04/12/2020 08:15:53,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,8,6,3,Fixation,fixation,fixation,500.3739999999998,,,,,0,1,0,,,,,1,filler,apple--grey-drawing.png,new.png
19,1607069754188,04/12/2020 08:15:54,1607069754417,0,04/12/2020 08:15:54,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,3,7,1,OldNew,old,response_button_image,1322.4549998994917,,,old.png,1,0,1,0,,,,,1,filler,cake--grey-photo.png,new.png
20,1607069755460,04/12/2020 08:15:55,1607069755712,0,04/12/2020 08:15:55,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,3,7,2,RFG,Zone1,response_button_image,1059.6000000368804,,,familiarity.png,1,0,1,0,,,,,1,filler,cake--grey-photo.png,new.png
21,1607069756163,04/12/2020 08:15:56,1607069756391,0,04/12/2020 08:15:56,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,3,7,3,Fixation,fixation,fixation,500.32700000000114,,,,,0,1,0,,,,,1,filler,cake--grey-photo.png,new.png
22,1607069757475,04/12/2020 08:15:57,1607069757716,0,04/12/2020 08:15:57,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,9,8,1,OldNew,new,response_button_image,1259.9850001279265,,,new.png,1,1,0,0,,,,,1,filler,bicycle--grey-word.png,new.png
23,1607069758163,04/12/2020 08:15:58,1607069758409,0,04/12/2020 08:15:58,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,9,8,3,Fixation,fixation,fixation,500.33600000000297,,,,,0,1,0,,,,,1,filler,bicycle--grey-word.png,new.png
