Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1607422710416,08/12/2020 10:18:30,1607422709125,0,08/12/2020 10:18:29,30809,14,task-25hn,,8416570,14438,2562484,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1536x722,Test finished,Green A - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_A,,,,,Green A: study finished,,,,,,Distractor finished,,,,,,,GreenA-Study-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1607422712596,08/12/2020 10:18:32,1607422711339,0,08/12/2020 10:18:31,30809,14,task-25hn,,8416570,14438,2562484,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1536x722,Test finished,Green A - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_A,,,,,Green A: study finished,,,,,,Distractor finished,,,,,,,GreenA-Study-Spreadsheet,GreenA-Study-Spreadsheet,1,1,1,check,script,force_advance,2216.6130000000003,,,,,0,1,0,,,,,,fullscreen_check,,
3,1607422713050,08/12/2020 10:18:33,1607422711799,0,08/12/2020 10:18:31,30809,14,task-25hn,,8416570,14438,2562484,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1536x864,Test finished,Green A - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_A,,,,,Green A: study finished,,,,,,Distractor finished,,,,,,,GreenA-Study-Spreadsheet,GreenA-Study-Spreadsheet,2,1,1,filler_start_fixation,fixation,fixation,466.6819999999998,,,,,0,1,0,,,,,1,green_A_study_filler_start,word.png,cake--distinctive-word.png
4,1607422714649,08/12/2020 10:18:34,1607422713410,0,08/12/2020 10:18:33,30809,14,task-25hn,,8416570,14438,2562484,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1536x864,Test finished,Green A - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_A,,,,,Green A: study finished,,,,,,Distractor finished,,,,,,,GreenA-Study-Spreadsheet,GreenA-Study-Spreadsheet,2,1,2,filler_start_stim,buttonA,response_button_image,1575.215000018943,,,word.png,1,1,0,0,,,,,1,green_A_study_filler_start,word.png,cake--distinctive-word.png
5,1607422715524,08/12/2020 10:18:35,1607422714282,0,08/12/2020 10:18:34,30809,14,task-25hn,,8416570,14438,2562484,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1536x864,Test finished,Green A - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_A,,,,,Green A: study finished,,,,,,Distractor finished,,,,,,,GreenA-Study-Spreadsheet,GreenA-Study-Spreadsheet,3,2,1,filler_start_fixation,fixation,fixation,449.9960000000001,,,,,0,1,0,,,,,1,green_A_study_filler_start,drawing.png,stool--grey-drawing.png
6,1607422716855,08/12/2020 10:18:36,1607422715621,0,08/12/2020 10:18:35,30809,14,task-25hn,,8416570,14438,2562484,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1536x864,Test finished,Green A - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_A,,,,,Green A: study finished,,,,,,Distractor finished,,,,,,,GreenA-Study-Spreadsheet,GreenA-Study-Spreadsheet,3,2,2,filler_start_stim,Zone2,response_button_image,1319.9700000113808,,,drawing.png,1,1,0,0,,,,,1,green_A_study_filler_start,drawing.png,stool--grey-drawing.png
7,1607422717761,08/12/2020 10:18:37,1607422716532,0,08/12/2020 10:18:36,30809,14,task-25hn,,8416570,14438,2562484,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1536x864,Test finished,Green A - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_A,,,,,Green A: study finished,,,,,,Distractor finished,,,,,,,GreenA-Study-Spreadsheet,GreenA-Study-Spreadsheet,37,1,1,fixation,fixation,fixation,499.98699999999917,,,,,0,1,0,,,,,2,green_A_study,drawing.png,seal--col-drawing.png
8,1607422718902,08/12/2020 10:18:38,1607422717674,0,08/12/2020 10:18:37,30809,14,task-25hn,,8416570,14438,2562484,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1536x864,Test finished,Green A - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_A,,,,,Green A: study finished,,,,,,Distractor finished,,,,,,,GreenA-Study-Spreadsheet,GreenA-Study-Spreadsheet,37,1,2,study_stim,Zone2,response_button_image,1116.5250000194646,,,drawing.png,1,1,0,0,,,,,2,green_A_study,drawing.png,seal--col-drawing.png
9,1607422719824,08/12/2020 10:18:39,1607422718582,0,08/12/2020 10:18:38,30809,14,task-25hn,,8416570,14438,2562484,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1536x864,Test finished,Green A - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_A,,,,,Green A: study finished,,,,,,Distractor finished,,,,,,,GreenA-Study-Spreadsheet,GreenA-Study-Spreadsheet,24,2,1,fixation,fixation,fixation,499.96799999999894,,,,,0,1,0,,,,,2,green_A_study,drawing.png,fish--grey-drawing.png
10,1607422721591,08/12/2020 10:18:41,1607422720362,0,08/12/2020 10:18:40,30809,14,task-25hn,,8416570,14438,2562484,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1536x864,Test finished,Green A - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_A,,,,,Green A: study finished,,,,,,Distractor finished,,,,,,,GreenA-Study-Spreadsheet,GreenA-Study-Spreadsheet,24,2,2,study_stim,Zone2,response_button_image,1757.3149999952875,,,drawing.png,1,1,0,0,,,,,2,green_A_study,drawing.png,fish--grey-drawing.png
