Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1607288695055,06/12/2020 21:04:55,1607288696237,0,06/12/2020 21:04:56,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x625,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1607288696930,06/12/2020 21:04:56,1607288698123,0,06/12/2020 21:04:58,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x625,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,1,1,1,check,script,force_advance,1899.174,,,,,0,1,0,,,,,,fullscreen_check,,
3,1607288697323,06/12/2020 21:04:57,1607288698561,0,06/12/2020 21:04:58,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,449.7950000000001,,,,,0,1,0,,,,,1,yellow_A_study_filler_start,word.png,stool--grey-word.png
4,1607288699433,06/12/2020 21:04:59,1607288700654,0,06/12/2020 21:05:00,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,3,1,2,filler_start_stim,buttonA,response_button_image,2031.0450000106357,,,word.png,1,1,0,0,,,,,1,yellow_A_study_filler_start,word.png,stool--grey-word.png
5,1607288700277,06/12/2020 21:05:00,1607288701509,0,06/12/2020 21:05:01,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449.84400000000005,,,,,0,1,0,,,,,1,yellow_A_study_filler_start,photo.png,cake--col-photo.png
6,1607288702814,06/12/2020 21:05:02,1607288703961,0,06/12/2020 21:05:03,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,2,2,2,filler_start_stim,Zone1,response_button_image,2407.535000005737,,,photo.png,1,1,0,0,,,,,1,yellow_A_study_filler_start,photo.png,cake--col-photo.png
7,1607288703613,06/12/2020 21:05:03,1607288704858,0,06/12/2020 21:05:04,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,61,1,1,fixation,fixation,fixation,499.8169999999991,,,,,0,1,0,,,,,2,yellow_A_study,photo.png,peacock--col-photo.png
8,1607288704706,06/12/2020 21:05:04,1607288705938,0,06/12/2020 21:05:05,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,61,1,2,study_stim,Zone1,response_button_image,1031.7700000014156,,,photo.png,1,1,0,0,,,,,2,yellow_A_study,photo.png,peacock--col-photo.png
9,1607288705597,06/12/2020 21:05:05,1607288706835,0,06/12/2020 21:05:06,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,21,2,1,fixation,fixation,fixation,499.78399999999965,,,,,0,1,0,,,,,2,yellow_A_study,word.png,socks--distinctive-word.png
10,1607288706850,06/12/2020 21:05:06,1607288708070,0,06/12/2020 21:05:08,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,21,2,2,study_stim,buttonA,response_button_image,1146.2399999727495,,,word.png,1,1,0,0,,,,,2,yellow_A_study,word.png,socks--distinctive-word.png
11,1607288707741,06/12/2020 21:05:07,1607288708971,0,06/12/2020 21:05:08,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,11,3,1,fixation,fixation,fixation,499.8160000000007,,,,,0,1,0,,,,,2,yellow_A_study,word.png,hammer--grey-word.png
12,1607288708916,06/12/2020 21:05:08,1607288710147,0,06/12/2020 21:05:10,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,11,3,2,study_stim,buttonA,response_button_image,1128.595000016503,,,word.png,1,1,0,0,,,,,2,yellow_A_study,word.png,hammer--grey-word.png
13,1607288709806,06/12/2020 21:05:09,1607288711056,0,06/12/2020 21:05:11,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,63,4,1,fixation,fixation,fixation,499.78799999999865,,,,,0,1,0,,,,,2,yellow_A_study,photo.png,lamp--col-photo.png
14,1607288711228,06/12/2020 21:05:11,1607288712446,0,06/12/2020 21:05:12,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,63,4,2,study_stim,Zone1,response_button_image,1340.459999977611,,,photo.png,1,1,0,0,,,,,2,yellow_A_study,photo.png,lamp--col-photo.png
15,1607288712119,06/12/2020 21:05:12,1607288713352,0,06/12/2020 21:05:13,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,42,5,1,fixation,fixation,fixation,499.8060000000005,,,,,0,1,0,,,,,2,yellow_A_study,drawing.png,goat--col-drawing.png
16,1607288713181,06/12/2020 21:05:13,1607288714409,0,06/12/2020 21:05:14,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,42,5,2,study_stim,Zone2,response_button_image,1005.0049999845214,,,drawing.png,1,1,0,0,,,,,2,yellow_A_study,drawing.png,goat--col-drawing.png
17,1607288714078,06/12/2020 21:05:14,1607288715304,0,06/12/2020 21:05:15,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,57,6,1,fixation,fixation,fixation,499.8100000000013,,,,,0,1,0,,,,,2,yellow_A_study,photo.png,cannon--col-photo.png
18,1607288715188,06/12/2020 21:05:15,1607288716434,0,06/12/2020 21:05:16,30809,14,task-t98p,,8368946,14424,2551064,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Yellow A - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,Yellow A: study finished,,,yellow_A,YellowA-Study-Spreadsheet,YellowA-Study-Spreadsheet,57,6,2,study_stim,Zone1,response_button_image,1085.3950000018813,,,photo.png,1,1,0,0,,,,,2,yellow_A_study,photo.png,cannon--col-photo.png
