Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1607358842193,07/12/2020 16:34:02,1607358842129,0,07/12/2020 16:34:02,30809,14,task-u43z,,8390080,14087,2556329,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.55,1536x864,1536x706,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1607358843867,07/12/2020 16:34:03,1607358843812,0,07/12/2020 16:34:03,30809,14,task-u43z,,8390080,14087,2556329,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.55,1536x864,1536x706,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,1,1,1,check,script,force_advance,1668.3729999999998,,,,,0,1,0,,,,,,fullscreen_check,,
3,1607358844289,07/12/2020 16:34:04,1607358844252,0,07/12/2020 16:34:04,30809,14,task-u43z,,8390080,14087,2556329,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.55,1536x816,1536x816,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,2,1,1,filler_start_fixation,fixation,fixation,450.19100000000026,,,,,0,1,0,,,,,1,yellow_B_study_filler_start,photo.png,broom--grey-photo.png
4,1607358847134,07/12/2020 16:34:07,1607358847067,0,07/12/2020 16:34:07,30809,14,task-u43z,,8390080,14087,2556329,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.55,1536x816,1536x816,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,2,1,2,filler_start_stim,Zone1,response_button_image,2782.450000056997,,,photo.png,1,1,0,0,,,,,1,yellow_B_study_filler_start,photo.png,broom--grey-photo.png
5,1607358848025,07/12/2020 16:34:08,1607358847922,0,07/12/2020 16:34:07,30809,14,task-u43z,,8390080,14087,2556329,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.55,1536x816,1536x816,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,3,2,1,filler_start_fixation,fixation,fixation,450.40099999999984,,,,,0,1,0,,,,,1,yellow_B_study_filler_start,word.png,ashtray--distinctive-word.png
6,1607358849648,07/12/2020 16:34:09,1607358849575,0,07/12/2020 16:34:09,30809,14,task-u43z,,8390080,14087,2556329,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.55,1536x816,1536x816,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,3,2,2,filler_start_stim,buttonA,response_button_image,1625.9399999398738,,,word.png,1,1,0,0,,,,,1,yellow_B_study_filler_start,word.png,ashtray--distinctive-word.png
7,1607358850532,07/12/2020 16:34:10,1607358850492,0,07/12/2020 16:34:10,30809,14,task-u43z,,8390080,14087,2556329,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.55,1536x816,1536x816,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,24,1,1,fixation,fixation,fixation,500.22600000000057,,,,,0,1,0,,,,,2,yellow_B_study,drawing.png,violin--grey-drawing.png
8,1607358852611,07/12/2020 16:34:12,1607358852572,0,07/12/2020 16:34:12,30809,14,task-u43z,,8390080,14087,2556329,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.55,1536x816,1536x816,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,24,1,2,study_stim,Zone2,response_button_image,2069.1199998836964,,,drawing.png,1,1,0,0,,,,,2,yellow_B_study,drawing.png,violin--grey-drawing.png
9,1607358853533,07/12/2020 16:34:13,1607358853478,0,07/12/2020 16:34:13,30809,14,task-u43z,,8390080,14087,2556329,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.55,1536x816,1536x816,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,57,2,1,fixation,fixation,fixation,500.33500000000095,,,,,0,1,0,,,,,2,yellow_B_study,photo.png,snake--col-photo.png
10,1607358855938,07/12/2020 16:34:15,1607358855884,0,07/12/2020 16:34:15,30809,14,task-u43z,,8390080,14087,2556329,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.55,1536x816,1536x816,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,57,2,2,study_stim,Zone1,response_button_image,2378.9349999278784,,,photo.png,1,1,0,0,,,,,2,yellow_B_study,photo.png,snake--col-photo.png
