Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1607339006422,07/12/2020 11:03:26,1607339006340,0,07/12/2020 11:03:26,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x820,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1607339009270,07/12/2020 11:03:29,1607339009210,0,07/12/2020 11:03:29,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x820,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,1,1,1,check,script,force_advance,2794,,,,,0,1,0,,,,,,fullscreen_check,,
3,1607339009676,07/12/2020 11:03:29,1607339009626,0,07/12/2020 11:03:29,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,2,1,1,filler_start_fixation,fixation,fixation,437,,,,,0,1,0,,,,,1,orange_A_study_filler_start,photo.png,cake--grey-photo.png
4,1607339013356,07/12/2020 11:03:33,1607339013306,0,07/12/2020 11:03:33,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,2,1,2,filler_start_stim,Zone1,response_button_image,3666,,,photo.png,1,1,0,0,,,,,1,orange_A_study_filler_start,photo.png,cake--grey-photo.png
5,1607339014231,07/12/2020 11:03:34,1607339014186,0,07/12/2020 11:03:34,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,3,2,1,filler_start_fixation,fixation,fixation,460,,,,,0,1,0,,,,,1,orange_A_study_filler_start,photo.png,stool--col-photo.png
6,1607339015895,07/12/2020 11:03:35,1607339015854,0,07/12/2020 11:03:35,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,3,2,2,filler_start_stim,Zone1,response_button_image,1657,,,photo.png,1,1,0,0,,,,,1,orange_A_study_filler_start,photo.png,stool--col-photo.png
7,1607339016823,07/12/2020 11:03:36,1607339016783,0,07/12/2020 11:03:36,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,63,1,1,fixation,fixation,fixation,504,,,,,0,1,0,,,,,2,orange_A_study,photo.png,fish--col-photo.png
8,1607339020137,07/12/2020 11:03:40,1607339019972,0,07/12/2020 11:03:39,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,63,1,2,study_stim,Zone2,response_button_image,3179,,,drawing.png,1,0,1,0,,,,,2,orange_A_study,photo.png,fish--col-photo.png
9,1607339020950,07/12/2020 11:03:40,1607339020893,0,07/12/2020 11:03:40,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,9,2,1,fixation,fixation,fixation,503,,,,,0,1,0,,,,,2,orange_A_study,word.png,lion--grey-word.png
10,1607339022044,07/12/2020 11:03:42,1607339021991,0,07/12/2020 11:03:41,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,9,2,2,study_stim,buttonA,response_button_image,1087,,,word.png,1,1,0,0,,,,,2,orange_A_study,word.png,lion--grey-word.png
11,1607339022952,07/12/2020 11:03:42,1607339022916,0,07/12/2020 11:03:42,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,26,3,1,fixation,fixation,fixation,502,,,,,0,1,0,,,,,2,orange_A_study,drawing.png,camel--grey-drawing.png
12,1607339024234,07/12/2020 11:03:44,1607339024204,0,07/12/2020 11:03:44,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,26,3,2,study_stim,Zone2,response_button_image,1278,,,drawing.png,1,1,0,0,,,,,2,orange_A_study,drawing.png,camel--grey-drawing.png
