Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1608480162225,20/12/2020 16:02:42,1608480161740,0,20/12/2020 16:02:41,30809,15,task-d4d8,,8759253,14699,2663461,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 87.0.4280.88,1440x900,1440x789,Test finished,Orange B - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,OrangeB-Study-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1608480164142,20/12/2020 16:02:44,1608480163690,0,20/12/2020 16:02:43,30809,15,task-d4d8,,8759253,14699,2663461,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 87.0.4280.88,1440x900,1440x789,Test finished,Orange B - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,OrangeB-Study-Spreadsheet,OrangeB-Study-Spreadsheet,1,1,1,check,script,force_advance,1916.705,,,,,0,1,0,,,,,,fullscreen_check,,
3,1608480164532,20/12/2020 16:02:44,1608480164115,0,20/12/2020 16:02:44,30809,15,task-d4d8,,8759253,14699,2663461,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 87.0.4280.88,1440x900,1440x900,Test finished,Orange B - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,OrangeB-Study-Spreadsheet,OrangeB-Study-Spreadsheet,2,1,1,filler_start_fixation,fixation,fixation,450.009,,,,,0,1,0,,,,,1,orange_B_study_filler_start,drawing.png,broom--col-drawing.png
4,1608480166646,20/12/2020 16:02:46,1608480166226,0,20/12/2020 16:02:46,30809,15,task-d4d8,,8759253,14699,2663461,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 87.0.4280.88,1440x900,1440x900,Test finished,Orange B - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,OrangeB-Study-Spreadsheet,OrangeB-Study-Spreadsheet,2,1,2,filler_start_stim,Zone2,response_button_image,2089.684999999008,,,drawing.png,1,1,0,0,,,,,1,orange_B_study_filler_start,drawing.png,broom--col-drawing.png
5,1608480167537,20/12/2020 16:02:47,1608480167099,0,20/12/2020 16:02:47,30809,15,task-d4d8,,8759253,14699,2663461,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 87.0.4280.88,1440x900,1440x900,Test finished,Orange B - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,OrangeB-Study-Spreadsheet,OrangeB-Study-Spreadsheet,3,2,1,filler_start_fixation,fixation,fixation,450.009,,,,,0,1,0,,,,,1,orange_B_study_filler_start,word.png,ashtray--grey-word.png
6,1608480169146,20/12/2020 16:02:49,1608480168607,0,20/12/2020 16:02:48,30809,15,task-d4d8,,8759253,14699,2663461,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 87.0.4280.88,1440x900,1440x900,Test finished,Orange B - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,OrangeB-Study-Spreadsheet,OrangeB-Study-Spreadsheet,3,2,2,filler_start_stim,buttonA,response_button_image,1490.6149999987974,,,word.png,1,1,0,0,,,,,1,orange_B_study_filler_start,word.png,ashtray--grey-word.png
7,1608480169927,20/12/2020 16:02:49,1608480169515,0,20/12/2020 16:02:49,30809,15,task-d4d8,,8759253,14699,2663461,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 87.0.4280.88,1440x900,1440x900,Test finished,Orange B - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,OrangeB-Study-Spreadsheet,OrangeB-Study-Spreadsheet,15,1,1,fixation,fixation,fixation,500.0100000000002,,,,,0,1,0,,,,,2,orange_B_study,word.png,bottle--distinctive-word.png
8,1608480172061,20/12/2020 16:02:52,1608480171658,0,20/12/2020 16:02:51,30809,15,task-d4d8,,8759253,14699,2663461,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 87.0.4280.88,1440x900,1440x900,Test finished,Orange B - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,OrangeB-Study-Spreadsheet,OrangeB-Study-Spreadsheet,15,1,2,study_stim,buttonA,response_button_image,2123.7199999995937,,,word.png,1,1,0,0,,,,,2,orange_B_study,word.png,bottle--distinctive-word.png
9,1608480173014,20/12/2020 16:02:53,1608480172582,0,20/12/2020 16:02:52,30809,15,task-d4d8,,8759253,14699,2663461,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 87.0.4280.88,1440x900,1440x900,Test finished,Orange B - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,OrangeB-Study-Spreadsheet,OrangeB-Study-Spreadsheet,39,2,1,fixation,fixation,fixation,500.0099999999984,,,,,0,1,0,,,,,2,orange_B_study,drawing.png,drum--col-drawing.png
10,1608480174578,20/12/2020 16:02:54,1608480174164,0,20/12/2020 16:02:54,30809,15,task-d4d8,,8759253,14699,2663461,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 87.0.4280.88,1440x900,1440x900,Test finished,Orange B - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,OrangeB-Study-Spreadsheet,OrangeB-Study-Spreadsheet,39,2,2,study_stim,Zone2,response_button_image,1563.6699999995471,,,drawing.png,1,1,0,0,,,,,2,orange_B_study,drawing.png,drum--col-drawing.png
