Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1608476116903,20/12/2020 14:55:16,1608476117167,0,20/12/2020 14:55:17,30809,15,task-j366,,8758429,14618,2663290,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.66,1280x720,1280x610,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1608476119936,20/12/2020 14:55:19,1608476120225,0,20/12/2020 14:55:20,30809,15,task-j366,,8758429,14618,2663290,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.66,1280x720,1280x610,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,1,1,1,check,script,force_advance,3049.383,,,,,0,1,0,,,,,,fullscreen_check,,
3,1608476120408,20/12/2020 14:55:20,1608476120704,0,20/12/2020 14:55:20,30809,15,task-j366,,8758429,14618,2663290,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.66,1280x720,1280x720,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,483.28999999999996,,,,,0,1,0,,,,,1,red_B_study_filler_start,drawing.png,ashtray--grey-drawing.png
4,1608476128617,20/12/2020 14:55:28,1608476128906,0,20/12/2020 14:55:28,30809,15,task-j366,,8758429,14618,2663290,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.66,1280x720,1280x720,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,3,1,2,filler_start_stim,Zone2,response_button_image,8178.224999981467,,,drawing.png,1,1,0,0,,,,,1,red_B_study_filler_start,drawing.png,ashtray--grey-drawing.png
5,1608476129476,20/12/2020 14:55:29,1608476129768,0,20/12/2020 14:55:29,30809,15,task-j366,,8758429,14618,2663290,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.66,1280x720,1280x720,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449.58100000000013,,,,,0,1,0,,,,,1,red_B_study_filler_start,photo.png,broom--col-photo.png
6,1608476132340,20/12/2020 14:55:32,1608476132635,0,20/12/2020 14:55:32,30809,15,task-j366,,8758429,14618,2663290,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.66,1280x720,1280x720,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,2,2,2,filler_start_stim,Zone1,response_button_image,2846.305000013672,,,photo.png,1,1,0,0,,,,,1,red_B_study_filler_start,photo.png,broom--col-photo.png
7,1608476133246,20/12/2020 14:55:33,1608476133551,0,20/12/2020 14:55:33,30809,15,task-j366,,8758429,14618,2663290,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.66,1280x720,1280x720,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,22,1,1,fixation,fixation,fixation,500.29899999999907,,,,,0,1,0,,,,,2,red_B_study,word.png,swan--distinctive-word.png
8,1608476141592,20/12/2020 14:55:41,1608476141882,0,20/12/2020 14:55:41,30809,15,task-j366,,8758429,14618,2663290,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.66,1280x720,1280x720,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,22,1,2,study_stim,buttonA,response_button_image,8310.874999966472,,,word.png,1,1,0,0,,,,,2,red_B_study,word.png,swan--distinctive-word.png
9,1608476142499,20/12/2020 14:55:42,1608476142799,0,20/12/2020 14:55:42,30809,15,task-j366,,8758429,14618,2663290,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.66,1280x720,1280x720,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,59,2,1,fixation,fixation,fixation,499.7089999999989,,,,,0,1,0,,,,,2,red_B_study,photo.png,pear--col-photo.png
10,1608476147548,20/12/2020 14:55:47,1608476147842,0,20/12/2020 14:55:47,30809,15,task-j366,,8758429,14618,2663290,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.66,1280x720,1280x720,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,59,2,2,study_stim,Zone1,response_button_image,5018.464999971911,,,photo.png,1,1,0,0,,,,,2,red_B_study,photo.png,pear--col-photo.png
