Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
1,1609951069230,06/01/2021 16:37:49,1609951069148,0,06/01/2021 16:37:49,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1609951071043,06/01/2021 16:37:51,1609951070996,0,06/01/2021 16:37:50,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,1,1,1,check,script,force_advance,1772,,,,,0,1,0,,,,,,fullscreen_check,,
3,1609951071574,06/01/2021 16:37:51,1609951071530,0,06/01/2021 16:37:51,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,2,1,1,Screen 1,fixation,fixation,548,,,,,0,1,0,,,,,,fixation,,
4,1609951077808,06/01/2021 16:37:57,1609951077753,0,06/01/2021 16:37:57,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,7,1,1,OldNew,old,response_button_image,6206,,,old.png,1,0,1,0,,,,,1,filler,candle--grey-photo.png,new.png
5,1609951099763,06/01/2021 16:38:19,1609951099706,0,06/01/2021 16:38:19,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,7,1,2,RFG,old,response_button_image,21731,,,recollection.png,1,0,1,0,,,,,1,filler,candle--grey-photo.png,new.png
6,1609951100452,06/01/2021 16:38:20,1609951100408,0,06/01/2021 16:38:20,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,7,1,3,Fixation,fixation,fixation,500,,,,,0,1,0,,,,,1,filler,candle--grey-photo.png,new.png
7,1609951102735,06/01/2021 16:38:22,1609951102683,0,06/01/2021 16:38:22,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,4,2,1,OldNew,old,response_button_image,2239,,,old.png,1,0,1,0,,,,,1,filler,stool--col-drawing.png,new.png
8,1609951104409,06/01/2021 16:38:24,1609951104358,0,06/01/2021 16:38:24,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,4,2,2,RFG,Zone1,response_button_image,1446,,,familiarity.png,1,0,1,0,,,,,1,filler,stool--col-drawing.png,new.png
9,1609951105119,06/01/2021 16:38:25,1609951105061,0,06/01/2021 16:38:25,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,4,2,3,Fixation,fixation,fixation,503,,,,,0,1,0,,,,,1,filler,stool--col-drawing.png,new.png
10,1609951106464,06/01/2021 16:38:26,1609951106414,0,06/01/2021 16:38:26,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,3,3,1,OldNew,old,response_button_image,1323,,,old.png,1,0,1,0,,,,,1,filler,cake--grey-drawing.png,new.png
