Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1610306775491,10/01/2021 19:26:15,1610306775409,0,10/01/2021 19:26:15,30809,18,task-4uo8,,9009093,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1518x858,Test finished,Red A - Study,4,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,RedA-Study-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1610306779503,10/01/2021 19:26:19,1610306779265,0,10/01/2021 19:26:19,30809,18,task-4uo8,,9009093,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1518x858,Test finished,Red A - Study,4,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,RedA-Study-Spreadsheet,RedA-Study-Spreadsheet,1,1,1,check,script,force_advance,3833.18,,,,,0,1,0,,,,,,fullscreen_check,,
3,1610306779847,10/01/2021 19:26:19,1610306779701,0,10/01/2021 19:26:19,30809,18,task-4uo8,,9009093,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red A - Study,4,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,RedA-Study-Spreadsheet,RedA-Study-Spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,449.98199999999997,,,,,0,1,0,,,,,1,red_A_study_filler_start,word.png,stool--distinctive-word.png
4,1610306782537,10/01/2021 19:26:22,1610306782505,0,10/01/2021 19:26:22,30809,18,task-4uo8,,9009093,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red A - Study,4,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,RedA-Study-Spreadsheet,RedA-Study-Spreadsheet,3,1,2,filler_start_stim,buttonA,response_button_image,2768.9299999619834,,,word.png,1,1,0,0,,,,,1,red_A_study_filler_start,word.png,stool--distinctive-word.png
5,1610306783415,10/01/2021 19:26:23,1610306783372,0,10/01/2021 19:26:23,30809,18,task-4uo8,,9009093,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red A - Study,4,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,RedA-Study-Spreadsheet,RedA-Study-Spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449.98199999999906,,,,,0,1,0,,,,,1,red_A_study_filler_start,word.png,cake--grey-word.png
6,1610306785619,10/01/2021 19:26:25,1610306785580,0,10/01/2021 19:26:25,30809,18,task-4uo8,,9009093,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red A - Study,4,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,RedA-Study-Spreadsheet,RedA-Study-Spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,2194.7849999996834,,,word.png,1,1,0,0,,,,,1,red_A_study_filler_start,word.png,cake--grey-word.png
7,1610306786541,10/01/2021 19:26:26,1610306786504,0,10/01/2021 19:26:26,30809,18,task-4uo8,,9009093,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red A - Study,4,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,RedA-Study-Spreadsheet,RedA-Study-Spreadsheet,37,1,1,fixation,fixation,fixation,499.97999999999956,,,,,0,1,0,,,,,2,red_A_study,drawing.png,peanut--col-drawing.png
8,1610306789213,10/01/2021 19:26:29,1610306789168,0,10/01/2021 19:26:29,30809,18,task-4uo8,,9009093,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red A - Study,4,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,RedA-Study-Spreadsheet,RedA-Study-Spreadsheet,37,1,2,study_stim,Zone2,response_button_image,2652.5750000146218,,,drawing.png,1,1,0,0,,,,,2,red_A_study,drawing.png,peanut--col-drawing.png
9,1610306790142,10/01/2021 19:26:30,1610306790089,0,10/01/2021 19:26:30,30809,18,task-4uo8,,9009093,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red A - Study,4,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,RedA-Study-Spreadsheet,RedA-Study-Spreadsheet,29,2,1,fixation,fixation,fixation,499.97999999999956,,,,,0,1,0,,,,,2,red_A_study,drawing.png,nose--grey-drawing.png
10,1610306791393,10/01/2021 19:26:31,1610306791336,0,10/01/2021 19:26:31,30809,18,task-4uo8,,9009093,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red A - Study,4,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,RedA-Study-Spreadsheet,RedA-Study-Spreadsheet,29,2,2,study_stim,Zone2,response_button_image,1235.454999958165,,,drawing.png,1,1,0,0,,,,,2,red_A_study,drawing.png,nose--grey-drawing.png
