Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Randomise questionnaire elements?,Question Key,Response
1,1610015434760,07/01/2021 10:30:34,1610015430942,-5,07/01/2021 05:30:30,37334,2,questionnaire-lo29,,8950522,5fd993f9ab00c64aa9f73da5,2726271,,complete,,5ff6e0fe530ada2ad78e6624,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x937,Test finished,Test Instructions,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1610015465139,07/01/2021 10:31:05,1610015461360,-5,07/01/2021 05:31:01,37334,2,questionnaire-lo29,,8950522,5fd993f9ab00c64aa9f73da5,2726271,,complete,,5ff6e0fe530ada2ad78e6624,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x937,Test finished,Test Instructions,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,No,END QUESTIONNAIRE,30418
1,1610015533093,07/01/2021 10:32:13,1610015536271,0,07/01/2021 10:32:16,37334,2,questionnaire-lo29,,8950573,5b2dde1da8327d0001ffbcc2,2726282,,complete,,5ff6e205a89e1b2a771b21e7,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1404x739,Test finished,Test Instructions,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1610015558830,07/01/2021 10:32:38,1610015562093,0,07/01/2021 10:32:42,37334,2,questionnaire-lo29,,8950573,5b2dde1da8327d0001ffbcc2,2726282,,complete,,5ff6e205a89e1b2a771b21e7,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1404x739,Test finished,Test Instructions,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,No,END QUESTIONNAIRE,25822
1,1610015598474,07/01/2021 10:33:18,1610015594387,0,07/01/2021 10:33:14,37334,2,questionnaire-lo29,,8950594,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x969,Test finished,Test Instructions,3,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1610015650892,07/01/2021 10:34:10,1610015646806,0,07/01/2021 10:34:06,37334,2,questionnaire-lo29,,8950594,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x969,Test finished,Test Instructions,3,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,No,END QUESTIONNAIRE,52419
1,1610015611957,07/01/2021 10:33:31,1610015616654,1,07/01/2021 11:33:36,37334,2,questionnaire-lo29,,8950597,5fae86e0f1667402bed99f91,2726274,,complete,,5ff6e19c1da6882a78544eeb,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1440x960,1440x856,Test finished,Test Instructions,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1610015659108,07/01/2021 10:34:19,1610015663879,1,07/01/2021 11:34:23,37334,2,questionnaire-lo29,,8950597,5fae86e0f1667402bed99f91,2726274,,complete,,5ff6e19c1da6882a78544eeb,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1440x960,1440x856,Test finished,Test Instructions,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,No,END QUESTIONNAIRE,47226
1,1610016876167,07/01/2021 10:54:36,1610016876300,0,07/01/2021 10:54:36,37334,2,questionnaire-lo29,,8950891,5a6f7604ff6f2300013edcd8,2726395,,complete,,5ff6e714e313fd2b4b64f21a,computer,Desktop or Laptop,Chromium OS 13505.73.0,Chrome 87.0.4280.109,1536x864,1536x714,Test finished,Test Instructions,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1610016924135,07/01/2021 10:55:24,1610016924276,0,07/01/2021 10:55:24,37334,2,questionnaire-lo29,,8950891,5a6f7604ff6f2300013edcd8,2726395,,complete,,5ff6e714e313fd2b4b64f21a,computer,Desktop or Laptop,Chromium OS 13505.73.0,Chrome 87.0.4280.109,1536x864,1536x714,Test finished,Test Instructions,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,No,END QUESTIONNAIRE,47976
