Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Randomise questionnaire elements?,Question Key,Response
1,1618930914795,20/04/2021 15:01:54,1618930914674,1,20/04/2021 16:01:54,47727,10,questionnaire-z6yh,,12043041,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x795,Test finished,Demographics,1,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,No,BEGIN QUESTIONNAIRE,
2,1618930939392,20/04/2021 15:02:19,1618930939324,1,20/04/2021 16:02:19,47727,10,questionnaire-z6yh,,12043041,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x795,Test finished,Demographics,1,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,No,age,25
3,1618930939490,20/04/2021 15:02:19,1618930939326,1,20/04/2021 16:02:19,47727,10,questionnaire-z6yh,,12043041,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x795,Test finished,Demographics,1,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,No,age-quantised,8
4,1618930939490,20/04/2021 15:02:19,1618930939326,1,20/04/2021 16:02:19,47727,10,questionnaire-z6yh,,12043041,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x795,Test finished,Demographics,1,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,No,gender,Male
5,1618930939490,20/04/2021 15:02:19,1618930939326,1,20/04/2021 16:02:19,47727,10,questionnaire-z6yh,,12043041,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x795,Test finished,Demographics,1,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,No,EngFirstLang,Yes
6,1618930939490,20/04/2021 15:02:19,1618930939326,1,20/04/2021 16:02:19,47727,10,questionnaire-z6yh,,12043041,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x795,Test finished,Demographics,1,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,No,EngFirstLang-quantised,1
7,1618930939490,20/04/2021 15:02:19,1618930939326,1,20/04/2021 16:02:19,47727,10,questionnaire-z6yh,,12043041,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x795,Test finished,Demographics,1,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,No,ethnicity,White
8,1618930939490,20/04/2021 15:02:19,1618930939327,1,20/04/2021 16:02:19,47727,10,questionnaire-z6yh,,12043041,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x795,Test finished,Demographics,1,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,No,ethnicity-quantised,1
9,1618930939490,20/04/2021 15:02:19,1618930939327,1,20/04/2021 16:02:19,47727,10,questionnaire-z6yh,,12043041,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x795,Test finished,Demographics,1,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,No,white_other,
10,1618930939490,20/04/2021 15:02:19,1618930939327,1,20/04/2021 16:02:19,47727,10,questionnaire-z6yh,,12043041,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x795,Test finished,Demographics,1,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,No,ethnicity2,
