Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1619096312514,22/04/2021 12:58:32,1619092731038,1,22/04/2021 12:58:51,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x657,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1619096315032,22/04/2021 12:58:35,1619092733519,1,22/04/2021 12:58:53,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x657,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,yellow.study__pics.word,1,1,1,check,script,force_advance,2464.48,,,,,0,1,0,,,,,,fullscreen_check,,
3,1619096315593,22/04/2021 12:58:35,1619092734195,1,22/04/2021 12:58:54,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,yellow.study__pics.word,2,1,1,filler_start_fixation,fixation,fixation,717.6440000000002,,,,,0,1,0,,,,,1,yellow.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
4,1619096319712,22/04/2021 12:58:39,1619092738186,1,22/04/2021 12:58:58,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,yellow.study__pics.word,2,1,2,filler_start_stim,Zone2,response_button_image,3895.124999999098,,,drawingplusword.png,1,1,0,0,,,,,1,yellow.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
5,1619096320409,22/04/2021 12:58:40,1619092739013,1,22/04/2021 12:58:59,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,yellow.study__pics.word,3,2,1,filler_start_fixation,fixation,fixation,450.32600000000093,,,,,0,1,0,,,,,1,yellow.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
6,1619096322159,22/04/2021 12:58:42,1619092740763,1,22/04/2021 12:59:00,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,yellow.study__pics.word,3,2,2,filler_start_stim,Zone1,response_button_image,1647.1199999996315,,,photoplusword.png,1,1,0,0,,,,,1,yellow.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
7,1619096323046,22/04/2021 12:58:43,1619092741653,1,22/04/2021 12:59:01,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,yellow.study__pics.word,12,1,1,fixation,fixation,fixation,500.23099999999977,,,,,0,1,0,,,,,2,yellow.study__pics.word,drawingplusword.png,lamp--drawing-word.png
8,1619096324112,22/04/2021 12:58:44,1619092742710,1,22/04/2021 12:59:02,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,yellow.study__pics.word,12,1,2,study_stim,Zone2,response_button_image,954.8099999992701,,,drawingplusword.png,1,1,0,0,,,,,2,yellow.study__pics.word,drawingplusword.png,lamp--drawing-word.png
9,1619096324988,22/04/2021 12:58:44,1619092743587,1,22/04/2021 12:59:03,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,yellow.study__pics.word,32,2,1,fixation,fixation,fixation,500.259,,,,,0,1,0,,,,,2,yellow.study__pics.word,photoplusword.png,balloon--photo-word.png
10,1619096326270,22/04/2021 12:58:46,1619092744882,1,22/04/2021 12:59:04,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,yellow.study__pics.word,32,2,2,study_stim,Zone1,response_button_image,1188.2499999992433,,,photoplusword.png,1,1,0,0,,,,,2,yellow.study__pics.word,photoplusword.png,balloon--photo-word.png
11,1619096327166,22/04/2021 12:58:47,1619092745767,1,22/04/2021 12:59:05,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,yellow.study__pics.word,25,3,1,fixation,fixation,fixation,500.4840000000004,,,,,0,1,0,,,,,2,yellow.study__pics.word,photoplusword.png,camel--photo-word.png
12,1619096328479,22/04/2021 12:58:48,1619092746971,1,22/04/2021 12:59:06,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,yellow.study__pics.word,25,3,2,study_stim,Zone1,response_button_image,1117.5100000000384,,,photoplusword.png,1,1,0,0,,,,,2,yellow.study__pics.word,photoplusword.png,camel--photo-word.png
13,1619096329307,22/04/2021 12:58:49,1619092747873,1,22/04/2021 12:59:07,47727,10,task-1v1k,,12106518,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.word,4,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.word,yellow.study__pics.word,13,4,1,fixation,fixation,fixation,501.4579999999987,,,,,0,1,0,,,,,2,yellow.study__pics.word,drawingplusword.png,basket--drawing-word.png
