Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1618931110652,20/04/2021 15:05:10,1618931110555,1,20/04/2021 16:05:10,47727,10,task-2j1b,,12043106,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x900,Test finished,pink.study__pics.only,3,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618931112440,20/04/2021 15:05:12,1618931112334,1,20/04/2021 16:05:12,47727,10,task-2j1b,,12043106,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x900,Test finished,pink.study__pics.only,3,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.only,pink.study__pics.only,1,1,1,check,script,force_advance,1753,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618931112862,20/04/2021 15:05:12,1618931112786,1,20/04/2021 16:05:12,47727,10,task-2j1b,,12043106,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x900,Test finished,pink.study__pics.only,3,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.only,pink.study__pics.only,3,1,1,filler_start_fixation,fixation,fixation,463,,,,,0,1,0,,,,,1,pink.study__pics.only__filler.start,photo.png,hand--photo.png
4,1618931114805,20/04/2021 15:05:14,1618931114663,1,20/04/2021 16:05:14,47727,10,task-2j1b,,12043106,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x900,Test finished,pink.study__pics.only,3,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.only,pink.study__pics.only,3,1,2,filler_start_stim,Zone1,response_button_image,1864,,,photo.png,1,1,0,0,,,,,1,pink.study__pics.only__filler.start,photo.png,hand--photo.png
5,1618931115649,20/04/2021 15:05:15,1618931115548,1,20/04/2021 16:05:15,47727,10,task-2j1b,,12043106,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x900,Test finished,pink.study__pics.only,3,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.only,pink.study__pics.only,2,2,1,filler_start_fixation,fixation,fixation,462,,,,,0,1,0,,,,,1,pink.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
6,1618931116712,20/04/2021 15:05:16,1618931116603,1,20/04/2021 16:05:16,47727,10,task-2j1b,,12043106,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x900,Test finished,pink.study__pics.only,3,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.only,pink.study__pics.only,2,2,2,filler_start_stim,Zone2,response_button_image,1042.000000000001,,,drawing.png,1,1,0,0,,,,,1,pink.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
7,1618931117663,20/04/2021 15:05:17,1618931117530,1,20/04/2021 16:05:17,47727,10,task-2j1b,,12043106,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x900,Test finished,pink.study__pics.only,3,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.only,pink.study__pics.only,6,1,1,fixation,fixation,fixation,501,,,,,0,1,0,,,,,2,pink.study__pics.only,drawing.png,pumpkin--drawing.png
8,1618931118996,20/04/2021 15:05:18,1618931118831,1,20/04/2021 16:05:18,47727,10,task-2j1b,,12043106,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x900,Test finished,pink.study__pics.only,3,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.only,pink.study__pics.only,6,1,2,study_stim,Zone2,response_button_image,1287,,,drawing.png,1,1,0,0,,,,,2,pink.study__pics.only,drawing.png,pumpkin--drawing.png
9,1618931119825,20/04/2021 15:05:19,1618931119753,1,20/04/2021 16:05:19,47727,10,task-2j1b,,12043106,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x900,Test finished,pink.study__pics.only,3,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.only,pink.study__pics.only,30,2,1,fixation,fixation,fixation,503,,,,,0,1,0,,,,,2,pink.study__pics.only,photo.png,ruler--photo.png
10,1618931120858,20/04/2021 15:05:20,1618931120774,1,20/04/2021 16:05:20,47727,10,task-2j1b,,12043106,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x900,Test finished,pink.study__pics.only,3,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.only,pink.study__pics.only,30,2,2,study_stim,Zone2,response_button_image,1007,,,drawing.png,1,0,1,0,,,,,2,pink.study__pics.only,photo.png,ruler--photo.png
11,1618931121812,20/04/2021 15:05:21,1618931121699,1,20/04/2021 16:05:21,47727,10,task-2j1b,,12043106,14623,3642434,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x900,Test finished,pink.study__pics.only,3,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.only,pink.study__pics.only,13,3,1,fixation,fixation,fixation,503,,,,,0,1,0,,,,,2,pink.study__pics.only,drawing.png,seal--drawing.png
