Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1619087418804,22/04/2021 10:30:18,1619087420462,1,22/04/2021 11:30:20,47727,10,task-5ium,,12101682,14514,3654872,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.72,1536x864,1536x722,Test finished,orange.study__pics.word,4,Consent Given,Consented,Test finished,orange,Orange,,orange.order2,,,,,,orange.order2__finished,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1619087422156,22/04/2021 10:30:22,1619087423751,1,22/04/2021 11:30:23,47727,10,task-5ium,,12101682,14514,3654872,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.72,1536x864,1536x722,Test finished,orange.study__pics.word,4,Consent Given,Consented,Test finished,orange,Orange,,orange.order2,,,,,,orange.order2__finished,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.word,orange.study__pics.word,1,1,1,check,script,force_advance,3277.6679999999997,,,,,0,1,0,,,,,,fullscreen_check,,
3,1619087422500,22/04/2021 10:30:22,1619087424213,1,22/04/2021 11:30:24,47727,10,task-5ium,,12101682,14514,3654872,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.72,1536x864,1536x864,Test finished,orange.study__pics.word,4,Consent Given,Consented,Test finished,orange,Orange,,orange.order2,,,,,,orange.order2__finished,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.word,orange.study__pics.word,2,1,1,filler_start_fixation,fixation,fixation,466.3100000000004,,,,,0,1,0,,,,,1,orange.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
4,1619087424438,22/04/2021 10:30:24,1619087426171,1,22/04/2021 11:30:26,47727,10,task-5ium,,12101682,14514,3654872,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.72,1536x864,1536x864,Test finished,orange.study__pics.word,4,Consent Given,Consented,Test finished,orange,Orange,,orange.order2,,,,,,orange.order2__finished,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.word,orange.study__pics.word,2,1,2,filler_start_stim,Zone2,response_button_image,1939.2900000093505,,,drawingplusword.png,1,1,0,0,,,,,1,orange.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
5,1619087425329,22/04/2021 10:30:25,1619087427042,1,22/04/2021 11:30:27,47727,10,task-5ium,,12101682,14514,3654872,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.72,1536x864,1536x864,Test finished,orange.study__pics.word,4,Consent Given,Consented,Test finished,orange,Orange,,orange.order2,,,,,,orange.order2__finished,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.word,orange.study__pics.word,3,2,1,filler_start_fixation,fixation,fixation,449.15600000000086,,,,,0,1,0,,,,,1,orange.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
6,1619087426883,22/04/2021 10:30:26,1619087428610,1,22/04/2021 11:30:28,47727,10,task-5ium,,12101682,14514,3654872,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.72,1536x864,1536x864,Test finished,orange.study__pics.word,4,Consent Given,Consented,Test finished,orange,Orange,,orange.order2,,,,,,orange.order2__finished,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.word,orange.study__pics.word,3,2,2,filler_start_stim,Zone1,response_button_image,1544.5249999174848,,,photoplusword.png,1,1,0,0,,,,,1,orange.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
7,1619087427810,22/04/2021 10:30:27,1619087429538,1,22/04/2021 11:30:29,47727,10,task-5ium,,12101682,14514,3654872,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.72,1536x864,1536x864,Test finished,orange.study__pics.word,4,Consent Given,Consented,Test finished,orange,Orange,,orange.order2,,,,,,orange.order2__finished,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.word,orange.study__pics.word,17,1,1,fixation,fixation,fixation,499.2930000000015,,,,,0,1,0,,,,,2,orange.study__pics.word,drawingplusword.png,bottle--drawing-word.png
8,1619087429395,22/04/2021 10:30:29,1619087431112,1,22/04/2021 11:30:31,47727,10,task-5ium,,12101682,14514,3654872,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.72,1536x864,1536x864,Test finished,orange.study__pics.word,4,Consent Given,Consented,Test finished,orange,Orange,,orange.order2,,,,,,orange.order2__finished,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.word,orange.study__pics.word,17,1,2,study_stim,Zone2,response_button_image,1559.2600000090897,,,drawingplusword.png,1,1,0,0,,,,,2,orange.study__pics.word,drawingplusword.png,bottle--drawing-word.png
9,1619087430301,22/04/2021 10:30:30,1619087432034,1,22/04/2021 11:30:32,47727,10,task-5ium,,12101682,14514,3654872,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.72,1536x864,1536x864,Test finished,orange.study__pics.word,4,Consent Given,Consented,Test finished,orange,Orange,,orange.order2,,,,,,orange.order2__finished,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.word,orange.study__pics.word,19,2,1,fixation,fixation,fixation,499.15899999999965,,,,,0,1,0,,,,,2,orange.study__pics.word,drawingplusword.png,knife--drawing-word.png
10,1619087431686,22/04/2021 10:30:31,1619087433418,1,22/04/2021 11:30:33,47727,10,task-5ium,,12101682,14514,3654872,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.72,1536x864,1536x864,Test finished,orange.study__pics.word,4,Consent Given,Consented,Test finished,orange,Orange,,orange.order2,,,,,,orange.order2__finished,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.word,orange.study__pics.word,19,2,2,study_stim,Zone2,response_button_image,1372.2100000595674,,,drawingplusword.png,1,1,0,0,,,,,2,orange.study__pics.word,drawingplusword.png,knife--drawing-word.png
