Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1619030583285,21/04/2021 18:43:03,1619030583215,1,21/04/2021 19:43:03,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x707,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1619030617798,21/04/2021 18:43:37,1619030617742,1,21/04/2021 19:43:37,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x707,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,1,1,1,check,script,force_advance,33384,,,,,0,1,0,,,,,,fullscreen_check,,
3,1619030618146,21/04/2021 18:43:38,1619030618129,1,21/04/2021 19:43:38,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,3,1,1,filler_start_fixation,fixation,fixation,448,,,,,0,1,0,,,,,1,teal.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
4,1619030625517,21/04/2021 18:43:45,1619030625474,1,21/04/2021 19:43:45,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,3,1,2,filler_start_stim,Zone1,response_button_image,7331,,,photoplusword.png,1,1,0,0,,,,,1,teal.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
5,1619030626323,21/04/2021 18:43:46,1619030626292,1,21/04/2021 19:43:46,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,2,2,1,filler_start_fixation,fixation,fixation,450,,,,,0,1,0,,,,,1,teal.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
6,1619030627524,21/04/2021 18:43:47,1619030627474,1,21/04/2021 19:43:47,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,2,2,2,filler_start_stim,Zone2,response_button_image,1148,,,drawingplusword.png,1,1,0,0,,,,,1,teal.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
7,1619030628386,21/04/2021 18:43:48,1619030628358,1,21/04/2021 19:43:48,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,7,1,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,teal.study__pics.word,drawingplusword.png,lion--drawing-word.png
8,1619030629613,21/04/2021 18:43:49,1619030629560,1,21/04/2021 19:43:49,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,7,1,2,study_stim,Zone2,response_button_image,1155,,,drawingplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,drawingplusword.png,lion--drawing-word.png
9,1619030630484,21/04/2021 18:43:50,1619030630455,1,21/04/2021 19:43:50,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,4,2,1,fixation,fixation,fixation,499,,,,,0,1,0,,,,,2,teal.study__pics.word,drawingplusword.png,shoe--drawing-word.png
10,1619030631545,21/04/2021 18:43:51,1619030631497,1,21/04/2021 19:43:51,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,4,2,2,study_stim,Zone2,response_button_image,1026,,,drawingplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,drawingplusword.png,shoe--drawing-word.png
11,1619030632412,21/04/2021 18:43:52,1619030632389,1,21/04/2021 19:43:52,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,8,3,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,teal.study__pics.word,drawingplusword.png,train--drawing-word.png
12,1619030633503,21/04/2021 18:43:53,1619030633477,1,21/04/2021 19:43:53,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,8,3,2,study_stim,Zone2,response_button_image,1038,,,drawingplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,drawingplusword.png,train--drawing-word.png
13,1619030634396,21/04/2021 18:43:54,1619030634371,1,21/04/2021 19:43:54,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,27,4,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,teal.study__pics.word,photoplusword.png,tomato--photo-word.png
14,1619030635787,21/04/2021 18:43:55,1619030635757,1,21/04/2021 19:43:55,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,27,4,2,study_stim,Zone1,response_button_image,1342,,,photoplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,photoplusword.png,tomato--photo-word.png
15,1619030636685,21/04/2021 18:43:56,1619030636652,1,21/04/2021 19:43:56,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,28,5,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,teal.study__pics.word,photoplusword.png,swan--photo-word.png
16,1619030638201,21/04/2021 18:43:58,1619030638174,1,21/04/2021 19:43:58,47727,10,task-7wwc,,12088062,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.word,teal.study__pics.word,28,5,2,study_stim,Zone1,response_button_image,1475.9999999999927,,,photoplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,photoplusword.png,swan--photo-word.png
