Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1619171142289,23/04/2021 09:45:42,1619171137748,1,23/04/2021 10:45:37,47727,10,task-9x5b,,12130139,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x610,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1619171144351,23/04/2021 09:45:44,1619171139773,1,23/04/2021 10:45:39,47727,10,task-9x5b,,12130139,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x610,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.word,purple.study__pics.word,1,1,1,check,script,force_advance,2016.4189999999999,,,,,0,1,0,,,,,,fullscreen_check,,
3,1619171144761,23/04/2021 09:45:44,1619171140268,1,23/04/2021 10:45:40,47727,10,task-9x5b,,12130139,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.word,purple.study__pics.word,2,1,1,filler_start_fixation,fixation,fixation,499.9839999999999,,,,,0,1,0,,,,,1,purple.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
4,1619171148126,23/04/2021 09:45:48,1619171143481,1,23/04/2021 10:45:43,47727,10,task-9x5b,,12130139,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.word,purple.study__pics.word,2,1,2,filler_start_stim,Zone2,response_button_image,3161.925000138581,,,drawingplusword.png,1,1,0,0,,,,,1,purple.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
5,1619171148843,23/04/2021 09:45:48,1619171144350,1,23/04/2021 10:45:44,47727,10,task-9x5b,,12130139,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.word,purple.study__pics.word,3,2,1,filler_start_fixation,fixation,fixation,449.9390000000003,,,,,0,1,0,,,,,1,purple.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
6,1619171150164,23/04/2021 09:45:50,1619171145658,1,23/04/2021 10:45:45,47727,10,task-9x5b,,12130139,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.word,purple.study__pics.word,3,2,2,filler_start_stim,Zone1,response_button_image,1256.3649998046458,,,photoplusword.png,1,1,0,0,,,,,1,purple.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
7,1619171151395,23/04/2021 09:45:51,1619171146583,1,23/04/2021 10:45:46,47727,10,task-9x5b,,12130139,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.word,purple.study__pics.word,35,1,1,fixation,fixation,fixation,499.89400000000023,,,,,0,1,0,,,,,2,purple.study__pics.word,photoplusword.png,window--photo-word.png
8,1619171152240,23/04/2021 09:45:52,1619171147738,1,23/04/2021 10:45:47,47727,10,task-9x5b,,12130139,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.word,purple.study__pics.word,35,1,2,study_stim,Zone1,response_button_image,1124.1550003178418,,,photoplusword.png,1,1,0,0,,,,,2,purple.study__pics.word,photoplusword.png,window--photo-word.png
9,1619171153162,23/04/2021 09:45:53,1619171148649,1,23/04/2021 10:45:48,47727,10,task-9x5b,,12130139,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.word,purple.study__pics.word,10,2,1,fixation,fixation,fixation,499.9259999999995,,,,,0,1,0,,,,,2,purple.study__pics.word,drawingplusword.png,harp--drawing-word.png
10,1619171154679,23/04/2021 09:45:54,1619171150180,1,23/04/2021 10:45:50,47727,10,task-9x5b,,12130139,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.word,purple.study__pics.word,10,2,2,study_stim,Zone2,response_button_image,1499.1600001230836,,,drawingplusword.png,1,1,0,0,,,,,2,purple.study__pics.word,drawingplusword.png,harp--drawing-word.png
11,1619171155988,23/04/2021 09:45:55,1619171151099,1,23/04/2021 10:45:51,47727,10,task-9x5b,,12130139,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.word,purple.study__pics.word,4,3,1,fixation,fixation,fixation,499.991,,,,,0,1,0,,,,,2,purple.study__pics.word,drawingplusword.png,flag--drawing-word.png
