Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1619094226642,22/04/2021 12:23:46,1619094225579,1,22/04/2021 13:23:45,47727,10,task-a3o7,,12105142,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1240x610,Test finished,orange.study__pics.only,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1619094228476,22/04/2021 12:23:48,1619094227373,1,22/04/2021 13:23:47,47727,10,task-a3o7,,12105142,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1240x610,Test finished,orange.study__pics.only,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.only,orange.study__pics.only,1,1,1,check,script,force_advance,1782.7960000000003,,,,,0,1,0,,,,,,fullscreen_check,,
3,1619094228877,22/04/2021 12:23:48,1619094227813,1,22/04/2021 13:23:47,47727,10,task-a3o7,,12105142,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1280x720,Test finished,orange.study__pics.only,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.only,orange.study__pics.only,2,1,1,filler_start_fixation,fixation,fixation,449.70099999999957,,,,,0,1,0,,,,,1,orange.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
4,1619094230675,22/04/2021 12:23:50,1619094229539,1,22/04/2021 13:23:49,47727,10,task-a3o7,,12105142,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1280x720,Test finished,orange.study__pics.only,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.only,orange.study__pics.only,2,1,2,filler_start_stim,Zone2,response_button_image,1704.2549999896437,,,drawing.png,1,1,0,0,,,,,1,orange.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
5,1619094231445,22/04/2021 12:23:51,1619094230395,1,22/04/2021 13:23:50,47727,10,task-a3o7,,12105142,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1280x720,Test finished,orange.study__pics.only,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.only,orange.study__pics.only,3,2,1,filler_start_fixation,fixation,fixation,449.71199999999953,,,,,0,1,0,,,,,1,orange.study__pics.only__filler.start,photo.png,hand--photo.png
6,1619094233207,22/04/2021 12:23:53,1619094232165,1,22/04/2021 13:23:52,47727,10,task-a3o7,,12105142,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1280x720,Test finished,orange.study__pics.only,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.only,orange.study__pics.only,3,2,2,filler_start_stim,Zone1,response_button_image,1738.9899999834597,,,photo.png,1,1,0,0,,,,,1,orange.study__pics.only__filler.start,photo.png,hand--photo.png
7,1619094234120,22/04/2021 12:23:54,1619094233078,1,22/04/2021 13:23:53,47727,10,task-a3o7,,12105142,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1280x720,Test finished,orange.study__pics.only,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.only,orange.study__pics.only,26,1,1,fixation,fixation,fixation,499.86199999999917,,,,,0,1,0,,,,,2,orange.study__pics.only,photo.png,cloud--photo.png
8,1619094235543,22/04/2021 12:23:55,1619094234499,1,22/04/2021 13:23:54,47727,10,task-a3o7,,12105142,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1280x720,Test finished,orange.study__pics.only,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.only,orange.study__pics.only,26,1,2,study_stim,Zone1,response_button_image,1394.5199999725446,,,photo.png,1,1,0,0,,,,,2,orange.study__pics.only,photo.png,cloud--photo.png
9,1619094236549,22/04/2021 12:23:56,1619094235427,1,22/04/2021 13:23:55,47727,10,task-a3o7,,12105142,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1280x720,Test finished,orange.study__pics.only,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.only,orange.study__pics.only,20,2,1,fixation,fixation,fixation,499.880000000001,,,,,0,1,0,,,,,2,orange.study__pics.only,photo.png,violin--photo.png
10,1619094237709,22/04/2021 12:23:57,1619094236665,1,22/04/2021 13:23:56,47727,10,task-a3o7,,12105142,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1280x720,Test finished,orange.study__pics.only,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,orange.study__pics.only,orange.study__pics.only,20,2,2,study_stim,Zone1,response_button_image,1212.8300000331365,,,photo.png,1,1,0,0,,,,,2,orange.study__pics.only,photo.png,violin--photo.png
