Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1619455512578,26/04/2021 16:45:12,1619455513737,1,26/04/2021 17:45:13,47727,10,task-qacf,,12207610,13944,3684995,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x722,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1619455514984,26/04/2021 16:45:14,1619455516171,1,26/04/2021 17:45:16,47727,10,task-qacf,,12207610,13944,3684995,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x722,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.word,pink.study__pics.word,1,1,1,check,script,force_advance,2432.6180000000004,,,,,0,1,0,,,,,,fullscreen_check,,
3,1619455515419,26/04/2021 16:45:15,1619455516619,1,26/04/2021 17:45:16,47727,10,task-qacf,,12207610,13944,3684995,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.word,pink.study__pics.word,2,1,1,filler_start_fixation,fixation,fixation,449.93899999999985,,,,,0,1,0,,,,,1,pink.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
4,1619455517898,26/04/2021 16:45:17,1619455519074,1,26/04/2021 17:45:19,47727,10,task-qacf,,12207610,13944,3684995,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.word,pink.study__pics.word,2,1,2,filler_start_stim,Zone2,response_button_image,2430.115000344813,,,drawingplusword.png,1,1,0,0,,,,,1,pink.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
5,1619455518742,26/04/2021 16:45:18,1619455519952,1,26/04/2021 17:45:19,47727,10,task-qacf,,12207610,13944,3684995,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.word,pink.study__pics.word,3,2,1,filler_start_fixation,fixation,fixation,449.8730000000005,,,,,0,1,0,,,,,1,pink.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
6,1619455520371,26/04/2021 16:45:20,1619455521577,1,26/04/2021 17:45:21,47727,10,task-qacf,,12207610,13944,3684995,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.word,pink.study__pics.word,3,2,2,filler_start_stim,Zone1,response_button_image,1607.964999973774,,,photoplusword.png,1,1,0,0,,,,,1,pink.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
7,1619455521327,26/04/2021 16:45:21,1619455522510,1,26/04/2021 17:45:22,47727,10,task-qacf,,12207610,13944,3684995,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.word,pink.study__pics.word,33,1,1,fixation,fixation,fixation,499.96700000000055,,,,,0,1,0,,,,,2,pink.study__pics.word,photoplusword.png,dress--photo-word.png
8,1619455522952,26/04/2021 16:45:22,1619455524156,1,26/04/2021 17:45:24,47727,10,task-qacf,,12207610,13944,3684995,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.word,pink.study__pics.word,33,1,2,study_stim,Zone1,response_button_image,1628.8200002163649,,,photoplusword.png,1,1,0,0,,,,,2,pink.study__pics.word,photoplusword.png,dress--photo-word.png
9,1619455523889,26/04/2021 16:45:23,1619455525092,1,26/04/2021 17:45:25,47727,10,task-qacf,,12207610,13944,3684995,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.word,pink.study__pics.word,11,2,1,fixation,fixation,fixation,499.9150000000009,,,,,0,1,0,,,,,2,pink.study__pics.word,drawingplusword.png,well--drawing-word.png
10,1619455525569,26/04/2021 16:45:25,1619455526753,1,26/04/2021 17:45:26,47727,10,task-qacf,,12207610,13944,3684995,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order2,,,,pink.order2__finished,pink.study__pics.word,pink.study__pics.word,11,2,2,study_stim,Zone2,response_button_image,1644.6750001050532,,,drawingplusword.png,1,1,0,0,,,,,2,pink.study__pics.word,drawingplusword.png,well--drawing-word.png
