Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1619030710386,21/04/2021 18:45:10,1619030710318,1,21/04/2021 19:45:10,47727,10,task-qza1,,12088109,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1619030711265,21/04/2021 18:45:11,1619030711220,1,21/04/2021 19:45:11,47727,10,task-qza1,,12088109,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.only,teal.study__pics.only,1,1,1,check,script,force_advance,847,,,,,0,1,0,,,,,,fullscreen_check,,
3,1619030711686,21/04/2021 18:45:11,1619030711661,1,21/04/2021 19:45:11,47727,10,task-qza1,,12088109,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.only,teal.study__pics.only,2,1,1,filler_start_fixation,fixation,fixation,470,,,,,0,1,0,,,,,1,teal.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
4,1619030713477,21/04/2021 18:45:13,1619030713446,1,21/04/2021 19:45:13,47727,10,task-qza1,,12088109,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.only,teal.study__pics.only,2,1,2,filler_start_stim,Zone2,response_button_image,1748,,,drawing.png,1,1,0,0,,,,,1,teal.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
5,1619030714290,21/04/2021 18:45:14,1619030714272,1,21/04/2021 19:45:14,47727,10,task-qza1,,12088109,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.only,teal.study__pics.only,3,2,1,filler_start_fixation,fixation,fixation,449,,,,,0,1,0,,,,,1,teal.study__pics.only__filler.start,photo.png,hand--photo.png
6,1619030715105,21/04/2021 18:45:15,1619030715083,1,21/04/2021 19:45:15,47727,10,task-qza1,,12088109,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.only,teal.study__pics.only,3,2,2,filler_start_stim,Zone1,response_button_image,776,,,photo.png,1,1,0,0,,,,,1,teal.study__pics.only__filler.start,photo.png,hand--photo.png
7,1619030715994,21/04/2021 18:45:15,1619030715971,1,21/04/2021 19:45:15,47727,10,task-qza1,,12088109,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.only,teal.study__pics.only,25,1,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,teal.study__pics.only,photo.png,pipe--photo.png
8,1619030717322,21/04/2021 18:45:17,1619030717281,1,21/04/2021 19:45:17,47727,10,task-qza1,,12088109,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.only,teal.study__pics.only,25,1,2,study_stim,Zone1,response_button_image,1258,,,photo.png,1,1,0,0,,,,,2,teal.study__pics.only,photo.png,pipe--photo.png
9,1619030718218,21/04/2021 18:45:18,1619030718169,1,21/04/2021 19:45:18,47727,10,task-qza1,,12088109,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.only,teal.study__pics.only,18,2,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,teal.study__pics.only,drawing.png,deer--drawing.png
10,1619030719152,21/04/2021 18:45:19,1619030719118,1,21/04/2021 19:45:19,47727,10,task-qza1,,12088109,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,teal.study__pics.only,teal.study__pics.only,18,2,2,study_stim,Zone2,response_button_image,905,,,drawing.png,1,1,0,0,,,,,2,teal.study__pics.only,drawing.png,deer--drawing.png
