Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1619171018015,23/04/2021 09:43:38,1619171013484,1,23/04/2021 10:43:33,47727,10,task-s7up,,12130089,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x610,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1619171021884,23/04/2021 09:43:41,1619171017303,1,23/04/2021 10:43:37,47727,10,task-s7up,,12130089,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x610,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.only,purple.study__pics.only,1,1,1,check,script,force_advance,3799.4860000000003,,,,,0,1,0,,,,,,fullscreen_check,,
3,1619171022298,23/04/2021 09:43:42,1619171017803,1,23/04/2021 10:43:37,47727,10,task-s7up,,12130089,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.only,purple.study__pics.only,3,1,1,filler_start_fixation,fixation,fixation,516.5829999999996,,,,,0,1,0,,,,,1,purple.study__pics.only__filler.start,photo.png,hand--photo.png
4,1619171024699,23/04/2021 09:43:44,1619171020200,1,23/04/2021 10:43:40,47727,10,task-s7up,,12130089,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.only,purple.study__pics.only,3,1,2,filler_start_stim,Zone1,response_button_image,2356.5850001759827,,,photo.png,1,1,0,0,,,,,1,purple.study__pics.only__filler.start,photo.png,hand--photo.png
5,1619171025668,23/04/2021 09:43:45,1619171021067,1,23/04/2021 10:43:41,47727,10,task-s7up,,12130089,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.only,purple.study__pics.only,2,2,1,filler_start_fixation,fixation,fixation,449.9210000000003,,,,,0,1,0,,,,,1,purple.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
6,1619171027671,23/04/2021 09:43:47,1619171023158,1,23/04/2021 10:43:43,47727,10,task-s7up,,12130089,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.only,purple.study__pics.only,2,2,2,filler_start_stim,Zone2,response_button_image,2056.440000422299,,,drawing.png,1,1,0,0,,,,,1,purple.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
7,1619171028577,23/04/2021 09:43:48,1619171024069,1,23/04/2021 10:43:44,47727,10,task-s7up,,12130089,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.only,purple.study__pics.only,15,1,1,fixation,fixation,fixation,499.5669999999991,,,,,0,1,0,,,,,2,purple.study__pics.only,drawing.png,nose--drawing.png
8,1619171029937,23/04/2021 09:43:49,1619171025341,1,23/04/2021 10:43:45,47727,10,task-s7up,,12130089,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.only,purple.study__pics.only,15,1,2,study_stim,Zone2,response_button_image,1243.2400002144277,,,drawing.png,1,1,0,0,,,,,2,purple.study__pics.only,drawing.png,nose--drawing.png
9,1619171030767,23/04/2021 09:43:50,1619171026250,1,23/04/2021 10:43:46,47727,10,task-s7up,,12130089,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.only,purple.study__pics.only,5,2,1,fixation,fixation,fixation,498.96799999999894,,,,,0,1,0,,,,,2,purple.study__pics.only,drawing.png,book--drawing.png
10,1619171032319,23/04/2021 09:43:52,1619171027824,1,23/04/2021 10:43:47,47727,10,task-s7up,,12130089,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,purple.study__pics.only,purple.study__pics.only,5,2,2,study_stim,Zone2,response_button_image,1537.4150001443923,,,drawing.png,1,1,0,0,,,,,2,purple.study__pics.only,drawing.png,book--drawing.png
