Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1618188314135,12/04/2021 00:45:14,1618188314059,1,12/04/2021 01:45:14,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x657,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618188315623,12/04/2021 00:45:15,1618188315564,1,12/04/2021 01:45:15,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x657,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,1,1,1,check,script,force_advance,1500.0559999999998,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618188316013,12/04/2021 00:45:16,1618188316003,1,12/04/2021 01:45:16,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,3,1,1,filler_start_fixation,fixation,fixation,449.9010000000003,,,,,0,1,0,,,,,1,yellow.study__pics.only__filler.start,photo.png,hand--photo.png
4,1618188318751,12/04/2021 00:45:18,1618188318737,1,12/04/2021 01:45:18,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,3,1,2,filler_start_stim,Zone1,response_button_image,2692.639999790117,,,photo.png,1,1,0,0,,,,,1,yellow.study__pics.only__filler.start,photo.png,hand--photo.png
5,1618188319625,12/04/2021 00:45:19,1618188319603,1,12/04/2021 01:45:19,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,2,2,1,filler_start_fixation,fixation,fixation,449.91300000000047,,,,,0,1,0,,,,,1,yellow.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
6,1618188320531,12/04/2021 00:45:20,1618188320525,1,12/04/2021 01:45:20,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,2,2,2,filler_start_stim,Zone2,response_button_image,901.3250002171844,,,drawing.png,1,1,0,0,,,,,1,yellow.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
7,1618188321452,12/04/2021 00:45:21,1618188321453,1,12/04/2021 01:45:21,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,17,1,1,fixation,fixation,fixation,500.0450000000001,,,,,0,1,0,,,,,2,yellow.study__pics.only,drawing.png,candle--drawing.png
8,1618188322397,12/04/2021 00:45:22,1618188322405,1,12/04/2021 01:45:22,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,17,1,2,study_stim,Zone2,response_button_image,925.5200000479817,,,drawing.png,1,1,0,0,,,,,2,yellow.study__pics.only,drawing.png,candle--drawing.png
9,1618188323311,12/04/2021 00:45:23,1618188323319,1,12/04/2021 01:45:23,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,13,2,1,fixation,fixation,fixation,499.90600000000086,,,,,0,1,0,,,,,2,yellow.study__pics.only,drawing.png,skunk--drawing.png
10,1618188323975,12/04/2021 00:45:23,1618188323978,1,12/04/2021 01:45:23,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,13,2,2,study_stim,Zone2,response_button_image,637.6949998084456,,,drawing.png,1,1,0,0,,,,,2,yellow.study__pics.only,drawing.png,skunk--drawing.png
11,1618188324905,12/04/2021 00:45:24,1618188324902,1,12/04/2021 01:45:24,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,11,3,1,fixation,fixation,fixation,500.0599999999995,,,,,0,1,0,,,,,2,yellow.study__pics.only,drawing.png,toaster--drawing.png
12,1618188325721,12/04/2021 00:45:25,1618188325729,1,12/04/2021 01:45:25,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,11,3,2,study_stim,Zone2,response_button_image,803.6400000564754,,,drawing.png,1,1,0,0,,,,,2,yellow.study__pics.only,drawing.png,toaster--drawing.png
13,1618188326661,12/04/2021 00:45:26,1618188326652,1,12/04/2021 01:45:26,47727,6,task-bqu6,,11801877,14675,3581852,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order2,,,,,,,yellow.order2__finished,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,12,4,1,fixation,fixation,fixation,500.1060000000016,,,,,0,1,0,,,,,2,yellow.study__pics.only,drawing.png,onion--drawing.png
