Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1617465086330,03/04/2021 15:51:26,1617465086530,1,03/04/2021 16:51:26,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x969,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1617465087644,03/04/2021 15:51:27,1617465087884,1,03/04/2021 16:51:27,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x969,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,1,1,1,check,script,force_advance,1333.5439999999999,,,,,0,1,0,,,,,,fullscreen_check,,
3,1617465088064,03/04/2021 15:51:28,1617465088322,1,03/04/2021 16:51:28,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,2,1,1,filler_start_fixation,fixation,fixation,449.903,,,,,0,1,0,,,,,1,teal.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
4,1617465090480,03/04/2021 15:51:30,1617465090585,1,03/04/2021 16:51:30,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,2,1,2,filler_start_stim,Zone2,response_button_image,2235.1800000178628,,,drawingplusword.png,1,1,0,0,,,,,1,teal.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
5,1617465091182,03/04/2021 15:51:31,1617465091451,1,03/04/2021 16:51:31,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,3,2,1,filler_start_fixation,fixation,fixation,449.78099999999995,,,,,0,1,0,,,,,1,teal.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
6,1617465092799,03/04/2021 15:51:32,1617465093053,1,03/04/2021 16:51:33,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,3,2,2,filler_start_stim,Zone1,response_button_image,1579.6149999951012,,,photoplusword.png,1,1,0,0,,,,,1,teal.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
7,1617465093745,03/04/2021 15:51:33,1617465093985,1,03/04/2021 16:51:33,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,23,1,1,fixation,fixation,fixation,499.9449999999997,,,,,0,1,0,,,,,2,teal.study__pics.word,photoplusword.png,apple--photo-word.png
8,1617465094984,03/04/2021 15:51:34,1617465095238,1,03/04/2021 16:51:35,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,23,1,2,study_stim,Zone1,response_button_image,1227.2649999940768,,,photoplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,photoplusword.png,apple--photo-word.png
9,1617465095909,03/04/2021 15:51:35,1617465096168,1,03/04/2021 16:51:36,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,19,2,1,fixation,fixation,fixation,499.9449999999997,,,,,0,1,0,,,,,2,teal.study__pics.word,drawingplusword.png,window--drawing-word.png
10,1617465097118,03/04/2021 15:51:37,1617465097382,1,03/04/2021 16:51:37,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,19,2,2,study_stim,Zone2,response_button_image,1186.4850000129081,,,drawingplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,drawingplusword.png,window--drawing-word.png
11,1617465098061,03/04/2021 15:51:38,1617465098302,1,03/04/2021 16:51:38,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,9,3,1,fixation,fixation,fixation,499.9969999999994,,,,,0,1,0,,,,,2,teal.study__pics.word,drawingplusword.png,duck--drawing-word.png
12,1617465099141,03/04/2021 15:51:39,1617465099398,1,03/04/2021 16:51:39,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,9,3,2,study_stim,Zone2,response_button_image,1070.2649999875575,,,drawingplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,drawingplusword.png,duck--drawing-word.png
13,1617465100051,03/04/2021 15:51:40,1617465100318,1,03/04/2021 16:51:40,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,8,4,1,fixation,fixation,fixation,500.0609999999997,,,,,0,1,0,,,,,2,teal.study__pics.word,drawingplusword.png,train--drawing-word.png
14,1617465100706,03/04/2021 15:51:40,1617465100974,1,03/04/2021 16:51:40,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,8,4,2,study_stim,Zone2,response_button_image,642.0250000082888,,,drawingplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,drawingplusword.png,train--drawing-word.png
15,1617465101646,03/04/2021 15:51:41,1617465101902,1,03/04/2021 16:51:41,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,29,5,1,fixation,fixation,fixation,499.96500000000015,,,,,0,1,0,,,,,2,teal.study__pics.word,photoplusword.png,seal--photo-word.png
16,1617465102693,03/04/2021 15:51:42,1617465102951,1,03/04/2021 16:51:42,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,29,5,2,study_stim,Zone1,response_button_image,1025.2600000239909,,,photoplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,photoplusword.png,seal--photo-word.png
17,1617465103616,03/04/2021 15:51:43,1617465103868,1,03/04/2021 16:51:43,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,18,6,1,fixation,fixation,fixation,499.96900000000096,,,,,0,1,0,,,,,2,teal.study__pics.word,drawingplusword.png,cherry--drawing-word.png
