Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1617671075411,06/04/2021 01:04:35,1617671081587,1,06/04/2021 02:04:41,47727,6,task-j5hw,,11656463,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x610,Test finished,blue.study__pics.only,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1617671076804,06/04/2021 01:04:36,1617671083067,1,06/04/2021 02:04:43,47727,6,task-j5hw,,11656463,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x610,Test finished,blue.study__pics.only,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.only,blue.study__pics.only,1,1,1,check,script,force_advance,1466.504,,,,,0,1,0,,,,,,fullscreen_check,,
3,1617671077211,06/04/2021 01:04:37,1617671083507,1,06/04/2021 02:04:43,47727,6,task-j5hw,,11656463,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.only,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.only,blue.study__pics.only,2,1,1,filler_start_fixation,fixation,fixation,449.92800000000034,,,,,0,1,0,,,,,1,blue.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
4,1617671078985,06/04/2021 01:04:38,1617671085259,1,06/04/2021 02:04:45,47727,6,task-j5hw,,11656463,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.only,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.only,blue.study__pics.only,2,1,2,filler_start_stim,Zone2,response_button_image,1740.350000000035,,,drawing.png,1,1,0,0,,,,,1,blue.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
5,1617671079847,06/04/2021 01:04:39,1617671086124,1,06/04/2021 02:04:46,47727,6,task-j5hw,,11656463,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.only,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.only,blue.study__pics.only,3,2,1,filler_start_fixation,fixation,fixation,449.9349999999995,,,,,0,1,0,,,,,1,blue.study__pics.only__filler.start,photo.png,hand--photo.png
6,1617671082443,06/04/2021 01:04:42,1617671088734,1,06/04/2021 02:04:48,47727,6,task-j5hw,,11656463,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.only,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.only,blue.study__pics.only,3,2,2,filler_start_stim,Zone1,response_button_image,2591.289999999958,,,photo.png,1,1,0,0,,,,,1,blue.study__pics.only__filler.start,photo.png,hand--photo.png
7,1617671083371,06/04/2021 01:04:43,1617671089656,1,06/04/2021 02:04:49,47727,6,task-j5hw,,11656463,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.only,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.only,blue.study__pics.only,15,1,1,fixation,fixation,fixation,499.89799999999923,,,,,0,1,0,,,,,2,blue.study__pics.only,drawing.png,foot--drawing.png
8,1617671084506,06/04/2021 01:04:44,1617671090742,1,06/04/2021 02:04:50,47727,6,task-j5hw,,11656463,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.only,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.only,blue.study__pics.only,15,1,2,study_stim,Zone2,response_button_image,1065.3449999999793,,,drawing.png,1,1,0,0,,,,,2,blue.study__pics.only,drawing.png,foot--drawing.png
9,1617671085464,06/04/2021 01:04:45,1617671091656,1,06/04/2021 02:04:51,47727,6,task-j5hw,,11656463,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.only,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.only,blue.study__pics.only,31,2,1,fixation,fixation,fixation,499.95700000000033,,,,,0,1,0,,,,,2,blue.study__pics.only,photo.png,crown--photo.png
10,1617671086464,06/04/2021 01:04:46,1617671092760,1,06/04/2021 02:04:52,47727,6,task-j5hw,,11656463,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.only,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.only,blue.study__pics.only,31,2,2,study_stim,Zone1,response_button_image,1093.5899999999492,,,photo.png,1,1,0,0,,,,,2,blue.study__pics.only,photo.png,crown--photo.png
