Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1617671182106,06/04/2021 01:06:22,1617671188330,1,06/04/2021 02:06:28,47727,6,task-jayr,,11656467,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x610,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1617671183462,06/04/2021 01:06:23,1617671189742,1,06/04/2021 02:06:29,47727,6,task-jayr,,11656467,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x610,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.word,blue.study__pics.word,1,1,1,check,script,force_advance,1399.725,,,,,0,1,0,,,,,,fullscreen_check,,
3,1617671183903,06/04/2021 01:06:23,1617671190176,1,06/04/2021 02:06:30,47727,6,task-jayr,,11656467,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.word,blue.study__pics.word,2,1,1,filler_start_fixation,fixation,fixation,449.9350000000002,,,,,0,1,0,,,,,1,blue.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
4,1617671185809,06/04/2021 01:06:25,1617671192081,1,06/04/2021 02:06:32,47727,6,task-jayr,,11656467,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.word,blue.study__pics.word,2,1,2,filler_start_stim,Zone2,response_button_image,1893.5399999999163,,,drawingplusword.png,1,1,0,0,,,,,1,blue.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
5,1617671186668,06/04/2021 01:06:26,1617671192959,1,06/04/2021 02:06:32,47727,6,task-jayr,,11656467,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.word,blue.study__pics.word,3,2,1,filler_start_fixation,fixation,fixation,450.20400000000063,,,,,0,1,0,,,,,1,blue.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
6,1617671188562,06/04/2021 01:06:28,1617671194833,1,06/04/2021 02:06:34,47727,6,task-jayr,,11656467,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.word,blue.study__pics.word,3,2,2,filler_start_stim,Zone1,response_button_image,1861.1300000000028,,,photoplusword.png,1,1,0,0,,,,,1,blue.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
7,1617671189474,06/04/2021 01:06:29,1617671195759,1,06/04/2021 02:06:35,47727,6,task-jayr,,11656467,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.word,blue.study__pics.word,7,1,1,fixation,fixation,fixation,499.8019999999997,,,,,0,1,0,,,,,2,blue.study__pics.word,drawingplusword.png,bell--drawing-word.png
8,1617671190562,06/04/2021 01:06:30,1617671196844,1,06/04/2021 02:06:36,47727,6,task-jayr,,11656467,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.word,blue.study__pics.word,7,1,2,study_stim,Zone2,response_button_image,1076.9199999999719,,,drawingplusword.png,1,1,0,0,,,,,2,blue.study__pics.word,drawingplusword.png,bell--drawing-word.png
9,1617671191501,06/04/2021 01:06:31,1617671197759,1,06/04/2021 02:06:37,47727,6,task-jayr,,11656467,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.word,blue.study__pics.word,21,2,1,fixation,fixation,fixation,500.1769999999997,,,,,0,1,0,,,,,2,blue.study__pics.word,photoplusword.png,book--photo-word.png
10,1617671192963,06/04/2021 01:06:32,1617671199259,1,06/04/2021 02:06:39,47727,6,task-jayr,,11656467,14590,3543354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1280x720,1280x720,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,blue.order1__finished,,,blue.order1,,,,,,,blue.study__pics.word,blue.study__pics.word,21,2,2,study_stim,Zone1,response_button_image,1491.4750000000386,,,photoplusword.png,1,1,0,0,,,,,2,blue.study__pics.word,photoplusword.png,book--photo-word.png
