Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1618523315772,15/04/2021 21:48:35,1618523316260,1,15/04/2021 22:48:36,47727,6,task-jlur,,11953469,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618523317394,15/04/2021 21:48:37,1618523317892,1,15/04/2021 22:48:37,47727,6,task-jlur,,11953469,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,1,1,1,check,script,force_advance,1568,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618523317826,15/04/2021 21:48:37,1618523318330,1,15/04/2021 22:48:38,47727,6,task-jlur,,11953469,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,2,1,1,filler_start_fixation,fixation,fixation,450,,,,,0,1,0,,,,,1,green.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
4,1618523319684,15/04/2021 21:48:39,1618523320204,1,15/04/2021 22:48:40,47727,6,task-jlur,,11953469,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,2,1,2,filler_start_stim,Zone2,response_button_image,1857,,,drawingplusword.png,1,1,0,0,,,,,1,green.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
5,1618523320528,15/04/2021 21:48:40,1618523321064,1,15/04/2021 22:48:41,47727,6,task-jlur,,11953469,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,3,2,1,filler_start_fixation,fixation,fixation,450,,,,,0,1,0,,,,,1,green.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
6,1618523322184,15/04/2021 21:48:42,1618523322715,1,15/04/2021 22:48:42,47727,6,task-jlur,,11953469,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,3,2,2,filler_start_stim,Zone1,response_button_image,1636,,,photoplusword.png,1,1,0,0,,,,,1,green.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
7,1618523323100,15/04/2021 21:48:43,1618523323630,1,15/04/2021 22:48:43,47727,6,task-jlur,,11953469,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,9,1,1,fixation,fixation,fixation,501,,,,,0,1,0,,,,,2,green.study__pics.word,drawingplusword.png,peach--drawing-word.png
8,1618523324178,15/04/2021 21:48:44,1618523324703,1,15/04/2021 22:48:44,47727,6,task-jlur,,11953469,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,9,1,2,study_stim,Zone2,response_button_image,1057.999999999999,,,drawingplusword.png,1,1,0,0,,,,,2,green.study__pics.word,drawingplusword.png,peach--drawing-word.png
9,1618523325106,15/04/2021 21:48:45,1618523325631,1,15/04/2021 22:48:45,47727,6,task-jlur,,11953469,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,24,2,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,green.study__pics.word,photoplusword.png,kite--photo-word.png
10,1618523326637,15/04/2021 21:48:46,1618523327164,1,15/04/2021 22:48:47,47727,6,task-jlur,,11953469,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,24,2,2,study_stim,Zone1,response_button_image,1516,,,photoplusword.png,1,1,0,0,,,,,2,green.study__pics.word,photoplusword.png,kite--photo-word.png
11,1618523327560,15/04/2021 21:48:47,1618523328081,1,15/04/2021 22:48:48,47727,6,task-jlur,,11953469,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,23,3,1,fixation,fixation,fixation,499,,,,,0,1,0,,,,,2,green.study__pics.word,photoplusword.png,guitar--photo-word.png
