Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1618072120786,10/04/2021 16:28:40,1618072145268,1,10/04/2021 17:29:05,47727,6,task-jsz4,,11778427,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x722,Test finished,pink.study__pics.only,2,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618072147298,10/04/2021 16:29:07,1618072171775,1,10/04/2021 17:29:31,47727,6,task-jsz4,,11778427,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x722,Test finished,pink.study__pics.only,2,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.only,pink.study__pics.only,1,1,1,check,script,force_advance,26494.527,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618072147657,10/04/2021 16:29:07,1618072172213,1,10/04/2021 17:29:32,47727,6,task-jsz4,,11778427,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.only,2,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.only,pink.study__pics.only,2,1,1,filler_start_fixation,fixation,fixation,449.97799999999916,,,,,0,1,0,,,,,1,pink.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
4,1618072149789,10/04/2021 16:29:09,1618072174332,1,10/04/2021 17:29:34,47727,6,task-jsz4,,11778427,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.only,2,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.only,pink.study__pics.only,2,1,2,filler_start_stim,Zone2,response_button_image,2106.274999969173,,,drawing.png,1,1,0,0,,,,,1,pink.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
5,1618072150648,10/04/2021 16:29:10,1618072175195,1,10/04/2021 17:29:35,47727,6,task-jsz4,,11778427,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.only,2,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.only,pink.study__pics.only,3,2,1,filler_start_fixation,fixation,fixation,449.8839999999982,,,,,0,1,0,,,,,1,pink.study__pics.only__filler.start,photo.png,hand--photo.png
6,1618072152321,10/04/2021 16:29:12,1618072176863,1,10/04/2021 17:29:36,47727,6,task-jsz4,,11778427,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.only,2,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.only,pink.study__pics.only,3,2,2,filler_start_stim,Zone1,response_button_image,1646.4550000382587,,,photo.png,1,1,0,0,,,,,1,pink.study__pics.only__filler.start,photo.png,hand--photo.png
7,1618072153247,10/04/2021 16:29:13,1618072177778,1,10/04/2021 17:29:37,47727,6,task-jsz4,,11778427,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.only,2,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.only,pink.study__pics.only,4,1,1,fixation,fixation,fixation,499.877999999997,,,,,0,1,0,,,,,2,pink.study__pics.only,drawing.png,flag--drawing-word.png
8,1618072154352,10/04/2021 16:29:14,1618072178884,1,10/04/2021 17:29:38,47727,6,task-jsz4,,11778427,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.only,2,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.only,pink.study__pics.only,4,1,2,study_stim,Zone2,response_button_image,1094.4049999816343,,,drawing.png,1,1,0,0,,,,,2,pink.study__pics.only,drawing.png,flag--drawing-word.png
9,1618072155262,10/04/2021 16:29:15,1618072179811,1,10/04/2021 17:29:39,47727,6,task-jsz4,,11778427,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.only,2,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.only,pink.study__pics.only,17,2,1,fixation,fixation,fixation,499.90000000000146,,,,,0,1,0,,,,,2,pink.study__pics.only,drawing.png,brush--drawing-word.png
10,1618072158144,10/04/2021 16:29:18,1618072182689,1,10/04/2021 17:29:42,47727,6,task-jsz4,,11778427,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.only,2,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.only,pink.study__pics.only,17,2,2,study_stim,Zone2,response_button_image,2866.8499999912456,,,drawing.png,1,1,0,0,,,,,2,pink.study__pics.only,drawing.png,brush--drawing-word.png
11,1618072159098,10/04/2021 16:29:19,1618072183610,1,10/04/2021 17:29:43,47727,6,task-jsz4,,11778427,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.only,2,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.only,pink.study__pics.only,20,3,1,fixation,fixation,fixation,499.9030000000057,,,,,0,1,0,,,,,2,pink.study__pics.only,photo.png,shoe--photo-word.png
12,1618072160176,10/04/2021 16:29:20,1618072184728,1,10/04/2021 17:29:44,47727,6,task-jsz4,,11778427,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.only,2,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.only,pink.study__pics.only,20,3,2,study_stim,Zone1,response_button_image,1106.3450000365265,,,photo.png,1,1,0,0,,,,,2,pink.study__pics.only,photo.png,shoe--photo-word.png
