Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1618393140334,14/04/2021 09:39:00,1618393140156,1,14/04/2021 10:39:00,47727,6,task-l7li,,11892696,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x657,Test finished,red.study__pics.only,2,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618393142255,14/04/2021 09:39:02,1618393142119,1,14/04/2021 10:39:02,47727,6,task-l7li,,11892696,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x657,Test finished,red.study__pics.only,2,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.only,red.study__pics.only,1,1,1,check,script,force_advance,1949.962,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618393143945,14/04/2021 09:39:03,1618393143829,1,14/04/2021 10:39:03,47727,6,task-l7li,,11892696,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.only,2,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.only,red.study__pics.only,3,1,1,filler_start_fixation,fixation,fixation,449.9889999999996,,,,,0,1,0,,,,,1,red.study__pics.only__filler.start,photo.png,hand--photo.png
4,1618393146413,14/04/2021 09:39:06,1618393146021,1,14/04/2021 10:39:06,47727,6,task-l7li,,11892696,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.only,2,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.only,red.study__pics.only,3,1,2,filler_start_stim,Zone1,response_button_image,2173.2200000005832,,,photo.png,1,1,0,0,,,,,1,red.study__pics.only__filler.start,photo.png,hand--photo.png
5,1618393147015,14/04/2021 09:39:07,1618393146879,1,14/04/2021 10:39:06,47727,6,task-l7li,,11892696,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.only,2,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.only,red.study__pics.only,2,2,1,filler_start_fixation,fixation,fixation,449.9989999999998,,,,,0,1,0,,,,,1,red.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
6,1618393148094,14/04/2021 09:39:08,1618393147972,1,14/04/2021 10:39:07,47727,6,task-l7li,,11892696,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.only,2,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.only,red.study__pics.only,2,2,2,filler_start_stim,Zone2,response_button_image,1071.885000000293,,,drawing.png,1,1,0,0,,,,,1,red.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
7,1618393149016,14/04/2021 09:39:09,1618393148895,1,14/04/2021 10:39:08,47727,6,task-l7li,,11892696,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.only,2,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.only,red.study__pics.only,27,1,1,fixation,fixation,fixation,500.0010000000002,,,,,0,1,0,,,,,2,red.study__pics.only,photo.png,toaster--photo.png
8,1618393150657,14/04/2021 09:39:10,1618393150532,1,14/04/2021 10:39:10,47727,6,task-l7li,,11892696,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.only,2,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.only,red.study__pics.only,27,1,2,study_stim,Zone1,response_button_image,1622.4499999998443,,,photo.png,1,1,0,0,,,,,2,red.study__pics.only,photo.png,toaster--photo.png
9,1618393151567,14/04/2021 09:39:11,1618393151445,1,14/04/2021 10:39:11,47727,6,task-l7li,,11892696,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.only,2,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.only,red.study__pics.only,6,2,1,fixation,fixation,fixation,500.0619999999999,,,,,0,1,0,,,,,2,red.study__pics.only,drawing.png,ring--drawing.png
10,1618393152587,14/04/2021 09:39:12,1618393152465,1,14/04/2021 10:39:12,47727,6,task-l7li,,11892696,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.only,2,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.only,red.study__pics.only,6,2,2,study_stim,Zone2,response_button_image,1006.8599999995058,,,drawing.png,1,1,0,0,,,,,2,red.study__pics.only,drawing.png,ring--drawing.png
