Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1618072277657,10/04/2021 16:31:17,1618072302166,1,10/04/2021 17:31:42,47727,6,task-od4o,,11778480,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x722,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618072279164,10/04/2021 16:31:19,1618072303651,1,10/04/2021 17:31:43,47727,6,task-od4o,,11778480,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x722,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.word,pink.study__pics.word,1,1,1,check,script,force_advance,1466.343,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618072279564,10/04/2021 16:31:19,1618072304086,1,10/04/2021 17:31:44,47727,6,task-od4o,,11778480,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.word,pink.study__pics.word,2,1,1,filler_start_fixation,fixation,fixation,449.90099999999984,,,,,0,1,0,,,,,1,pink.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
4,1618072282871,10/04/2021 16:31:22,1618072307418,1,10/04/2021 17:31:47,47727,6,task-od4o,,11778480,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.word,pink.study__pics.word,2,1,2,filler_start_stim,Zone2,response_button_image,3317.9549999767914,,,drawingplusword.png,1,1,0,0,,,,,1,pink.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
5,1618072283731,10/04/2021 16:31:23,1618072308285,1,10/04/2021 17:31:48,47727,6,task-od4o,,11778480,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.word,pink.study__pics.word,3,2,1,filler_start_fixation,fixation,fixation,449.90299999999934,,,,,0,1,0,,,,,1,pink.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
6,1618072285021,10/04/2021 16:31:25,1618072309572,1,10/04/2021 17:31:49,47727,6,task-od4o,,11778480,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.word,pink.study__pics.word,3,2,2,filler_start_stim,Zone1,response_button_image,1272.7699999813922,,,photoplusword.png,1,1,0,0,,,,,1,pink.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
7,1618072285990,10/04/2021 16:31:25,1618072310501,1,10/04/2021 17:31:50,47727,6,task-od4o,,11778480,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.word,pink.study__pics.word,4,1,1,fixation,fixation,fixation,499.89899999999943,,,,,0,1,0,,,,,2,pink.study__pics.word,drawingplusword.png,flower--drawing-word.png
8,1618072287443,10/04/2021 16:31:27,1618072311995,1,10/04/2021 17:31:51,47727,6,task-od4o,,11778480,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.word,pink.study__pics.word,4,1,2,study_stim,Zone2,response_button_image,1483.3399999770336,,,drawingplusword.png,1,1,0,0,,,,,2,pink.study__pics.word,drawingplusword.png,flower--drawing-word.png
9,1618072288374,10/04/2021 16:31:28,1618072312918,1,10/04/2021 17:31:52,47727,6,task-od4o,,11778480,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.word,pink.study__pics.word,27,2,1,fixation,fixation,fixation,499.8939999999984,,,,,0,1,0,,,,,2,pink.study__pics.word,photoplusword.png,cannon--photo-word.png
10,1618072290566,10/04/2021 16:31:30,1618072315113,1,10/04/2021 17:31:55,47727,6,task-od4o,,11778480,14020,3576481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.114,1536x864,1536x864,Test finished,pink.study__pics.word,4,Consent Given,Consented,Test finished,pink,Pink,,,,,,,,,,,,,Distractor finished,,,,,,,,pink.order1,,,pink.order1__finished,,pink.study__pics.word,pink.study__pics.word,27,2,2,study_stim,Zone1,response_button_image,2184.285000024829,,,photoplusword.png,1,1,0,0,,,,,2,pink.study__pics.word,photoplusword.png,cannon--photo-word.png
