Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1618523218769,15/04/2021 21:46:58,1618523219254,1,15/04/2021 22:46:59,47727,6,task-okc7,,11953449,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618523221751,15/04/2021 21:47:01,1618523222271,1,15/04/2021 22:47:02,47727,6,task-okc7,,11953449,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,1,1,1,check,script,force_advance,2942,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618523222192,15/04/2021 21:47:02,1618523222710,1,15/04/2021 22:47:02,47727,6,task-okc7,,11953449,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,2,1,1,filler_start_fixation,fixation,fixation,449,,,,,0,1,0,,,,,1,green.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
4,1618523224142,15/04/2021 21:47:04,1618523224675,1,15/04/2021 22:47:04,47727,6,task-okc7,,11953449,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,2,1,2,filler_start_stim,Zone2,response_button_image,1950,,,drawing.png,1,1,0,0,,,,,1,green.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
5,1618523225014,15/04/2021 21:47:05,1618523225542,1,15/04/2021 22:47:05,47727,6,task-okc7,,11953449,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,3,2,1,filler_start_fixation,fixation,fixation,449,,,,,0,1,0,,,,,1,green.study__pics.only__filler.start,photo.png,hand--photo.png
6,1618523226614,15/04/2021 21:47:06,1618523227163,1,15/04/2021 22:47:07,47727,6,task-okc7,,11953449,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,3,2,2,filler_start_stim,Zone1,response_button_image,1604,,,photo.png,1,1,0,0,,,,,1,green.study__pics.only__filler.start,photo.png,hand--photo.png
7,1618523227538,15/04/2021 21:47:07,1618523228077,1,15/04/2021 22:47:08,47727,6,task-okc7,,11953449,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,25,1,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,green.study__pics.only,photo.png,camel--photo.png
8,1618523228694,15/04/2021 21:47:08,1618523229235,1,15/04/2021 22:47:09,47727,6,task-okc7,,11953449,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,25,1,2,study_stim,Zone1,response_button_image,1144,,,photo.png,1,1,0,0,,,,,2,green.study__pics.only,photo.png,camel--photo.png
9,1618523229652,15/04/2021 21:47:09,1618523230160,1,15/04/2021 22:47:10,47727,6,task-okc7,,11953449,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,31,2,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,green.study__pics.only,photo.png,drum--photo.png
10,1618523230939,15/04/2021 21:47:10,1618523231329,1,15/04/2021 22:47:11,47727,6,task-okc7,,11953449,13960,3617990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order1,,,,,,,green.order1__finished,,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,31,2,2,study_stim,Zone1,response_button_image,1154,,,photo.png,1,1,0,0,,,,,2,green.study__pics.only,photo.png,drum--photo.png
